 % Watched Cells Output (dead cell outpus 'd' if any)
time	pres(0)	sat(0)	sat(0)	pres(499)	sat(499)	sat(499)	
day	psi	**	**	psi	**	**	
0	3000	1	0	3007.195	1	0	
0.1	3021.285	1	0	2968.316	1	0	
0.3160164	3051.435	1	0	2944.122	0.6248551	0.3751449	
0.4506775	3066.557	1	0	2931.316	0.6013043	0.3986957	
0.7776549	3091.321	1	0	2906.843	0.5776231	0.4223769	
1.56346	3124.372	1	0	2855.617	0.5541971	0.4458029	
2.105742	3140.553	1	0	2828.487	0.5464598	0.4535402	
3.031094	3159.135	1	0	2795.412	0.5374681	0.4625319	
3.6827	3169.488	1	0	2777.292	0.532526	0.467474	
4.130607	3175.659	1	0	2766.508	0.5294765	0.4705235	
4.442197	3179.576	1	0	2759.626	0.5274742	0.4725258	
4.663002	3182.188	1	0	2755.036	0.5261038	0.4738962	
5.254058	3188.288	1	0	2743.958	0.5225848	0.4774152	
5.656725	3192.098	1	0	2736.995	0.5203157	0.4796843	
5.944887	3194.669	1	0	2732.298	0.5187455	0.4812545	
6.716123	3200.678	1	0	2721.293	0.5147324	0.4852676	
7.244583	3204.449	1	0	2714.429	0.5121319	0.4878681	
8.55379	3212.213	1	0	2700.279	0.5062021	0.4937979	
9.407384	3216.718	1	0	2692.127	0.5026349	0.4973651	
10.00456	3219.628	1	0	2686.872	0.5002632	0.4997368	
10.42006	3221.544	1	0	2683.413	0.4986774	0.5013226	
10.7137	3222.847	1	0	2681.06	0.4975879	0.5024121	
10.92263	3223.749	1	0	2679.43	0.4968279	0.5031721	
11.51704	3226.131	1	0	2675.093	0.4947593	0.5052407	
11.93331	3227.715	1	0	2672.2	0.4933662	0.5066338	
13.06175	3231.48	1	0	2665.249	0.4898822	0.5101178	
13.83822	3233.848	1	0	2660.866	0.4876398	0.5123602	
15.89261	3238.875	1	0	2651.372	0.4825472	0.5174528	
17.24645	3241.732	1	0	2645.918	0.4795813	0.5204187	
18.20628	3243.552	1	0	2642.411	0.4776587	0.5223413	
18.86649	3244.713	1	0	2640.154	0.476419	0.523581	
19.3269	3245.481	1	0	2638.65	0.4755938	0.5244062	
20.63825	3247.37	1	0	2634.839	0.4735349	0.5264651	
21.55439	3248.561	1	0	2632.392	0.4722432	0.5277568	
24.08392	3251.065	1	0	2626.784	0.4696838	0.5303162	
25.80243	3252.468	1	0	2623.447	0.4683927	0.5316073	
30.25982	3254.675	1	0	2617.228	0.4674067	0.5325933	
33.30507	3255.67	1	0	2613.909	0.4676925	0.5323075	
41.14975	3256.223	1	0	2608.9	0.4722834	0.5277166	
46.10701	3256.021	1	0	2606.913	0.4762306	0.5237694	
