Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.1       	4000      	70        	-38295    	0         	
0.315867  	4000      	70        	-37019.6  	0         	
0.451659  	4000      	70        	-36391.1  	0         	
0.758226  	4000      	70        	-35463    	0         	
1.48602   	4000      	70        	-34332    	0         	
2.03952   	4000      	70        	-33781.4  	0         	
2.41474   	4000      	70        	-33499.1  	0         	
3.18638   	4000      	70        	-33120.6  	0         	
3.78556   	4000      	70        	-32901.6  	0         	
4.21774   	4000      	70        	-32771.9  	0         	
4.56027   	4000      	70        	-32683.2  	0         	
4.82299   	4000      	70        	-32622.1  	0         	
5.02638   	4000      	70        	-32578.4  	0         	
5.18998   	4000      	70        	-32545.4  	0         	
5.60496   	4000      	70        	-32473    	0         	
5.91856   	4000      	70        	-32423.6  	0         	
6.67746   	4000      	70        	-32327.1  	0         	
7.23292   	4000      	70        	-32265.9  	0         	
7.65686   	4000      	70        	-32223.9  	0         	
8.5835    	4000      	70        	-32149.5  	0         	
9.23939   	4000      	70        	-32103.6  	0         	
9.74367   	4000      	70        	-32071.7  	0         	
10.1347   	4000      	70        	-32049    	0         	
10.4367   	4000      	70        	-32032.4  	0         	
11.2062   	4000      	70        	-31996.2  	0         	
11.7806   	4000      	70        	-31971.9  	0         	
12.2261   	4000      	70        	-31954.5  	0         	
12.5697   	4000      	70        	-31942    	0         	
12.836    	4000      	70        	-31932.7  	0         	
13.047    	4000      	70        	-31925.7  	0         	
13.6279   	4000      	70        	-31908.4  	0         	
14.0708   	4000      	70        	-31896.3  	0         	
14.4274   	4000      	70        	-31887.1  	0         	
15.3686   	4000      	70        	-31867    	0         	
16.108    	4000      	70        	-31853.1  	0         	
17.9098   	4000      	70        	-31829.3  	0         	
21.8585   	4000      	70        	-31807.4  	0         	
24.7036   	4000      	70        	-31802.8  	0         	
26.8528   	4000      	70        	-31804.5  	0         	
28.4957   	4000      	70        	-31808.3  	0         	
29.7749   	4000      	70        	-31812.7  	0         	
30.762    	4000      	70        	-31816.8  	0         	
33.4167   	4000      	70        	-31832.6  	0         	
35.4541   	4000      	70        	-31846.8  	0         	
40.6058   	4000      	70        	-31893.7  	0         	
44.3847   	4000      	70        	-31932.3  	0         	
52.8154   	4000      	70        	-32033.3  	0         	
58.8307   	4000      	70        	-32108.2  	0         	
63.3022   	4000      	70        	-32165.1  	0         	
66.7247   	4000      	70        	-32209.1  	0         	
69.2951   	4000      	70        	-32242.4  	0         	
75.9074   	4000      	70        	-32328.2  	0         	
80.7837   	4000      	70        	-32391.4  	0         	
91.7959   	4000      	70        	-32535    	0         	
99.3021   	4000      	70        	-32631.2  	0         	
104.866   	4000      	70        	-32701.1  	0         	
109.035   	4000      	70        	-32752.6  	0         	
112.3     	4000      	70        	-32792.5  	0         	
114.876   	4000      	70        	-32823.9  	0         	
121.742   	4000      	70        	-32904.8  	0         	
126.826   	4000      	70        	-32963.2  	0         	
130.688   	4000      	70        	-33007.4  	0         	
133.525   	4000      	70        	-33039.6  	0         	
