Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.1       	1000      	70        	67352.9   	2953.14   	
0.315867  	1000      	70        	44129.1   	1955.86   	
0.451659  	1000      	70        	42499.5   	1912.3    	
0.758226  	1000      	70        	42556.4   	1938.27   	
1.48602   	1000      	70        	42073.3   	1934.42   	
2.03952   	1000      	70        	41534.3   	1913.38   	
2.41474   	1000      	70        	41208.1   	1899.54   	
3.18638   	1000      	70        	40682.3   	1880.58   	
3.78556   	1000      	70        	40345.7   	1870.44   	
4.21774   	1000      	70        	40129.4   	1864.95   	
4.56027   	1000      	70        	39970.5   	1861.49   	
4.82299   	1000      	70        	39854.2   	1859.21   	
5.02638   	1000      	70        	39766.6   	1857.61   	
5.18998   	1000      	70        	39697.9   	1856.44   	
5.60496   	1000      	70        	39532.3   	1854.08   	
5.91856   	1000      	70        	39412.3   	1852.6    	
6.67746   	1000      	70        	39150.6   	1850.92   	
7.23292   	1000      	70        	38971.8   	1850.33   	
7.65686   	1000      	70        	38842.2   	1850.24   	
8.5835    	1000      	70        	38587     	1851.42   	
9.23939   	1000      	70        	38419     	1852.75   	
9.74367   	1000      	70        	38300.2   	1854.29   	
10.1347   	1000      	70        	38221.5   	1856.36   	
10.4367   	1000      	70        	38162.4   	1857.97   	
11.2062   	1000      	70        	38022.1   	1862.15   	
11.7806   	1000      	70        	37922     	1865.19   	
12.2261   	1000      	70        	37847.2   	1867.53   	
12.5697   	1000      	70        	37791.5   	1869.35   	
12.836    	1000      	70        	37749.3   	1870.77   	
13.047    	1000      	70        	37716.6   	1871.89   	
13.6279   	1000      	70        	37631.2   	1875      	
14.0708   	1000      	70        	37568.5   	1877.35   	
14.4274   	1000      	70        	37519.5   	1879.22   	
15.3686   	1000      	70        	37400.1   	1884.03   	
16.108    	1000      	70        	37311.9   	1887.68   	
17.9098   	1000      	70        	37127.9   	1895.87   	
21.8585   	1000      	70        	36831.9   	1908.03   	
24.7036   	1000      	70        	36661.3   	1913.13   	
26.8528   	1000      	70        	36553.1   	1914.86   	
28.4957   	1000      	70        	36481.3   	1914.98   	
29.7749   	1000      	70        	36432     	1914.43   	
30.762    	1000      	70        	36397.5   	1913.62   	
33.4167   	1000      	70        	36326     	1908.83   	
35.4541   	1000      	70        	36282.1   	1903.74   	
40.6058   	1000      	70        	36216.9   	1884.61   	
44.3847   	1000      	70        	36194     	1868.44   	
52.8154   	1000      	70        	36200.4   	1828.53   	
58.8307   	1000      	70        	36222.2   	1798.58   	
63.3022   	1000      	70        	36244.7   	1777.04   	
66.7247   	1000      	70        	36262.7   	1761.2    	
69.2951   	1000      	70        	36277.3   	1749.88   	
75.9074   	1000      	70        	36312.5   	1724.64   	
80.7837   	1000      	70        	36359.4   	1709.56   	
91.7959   	1000      	70        	36436     	1682.79   	
99.3021   	1000      	70        	36476.1   	1667.58   	
104.866   	1000      	70        	36498.7   	1657.77   	
109.035   	1000      	70        	36511.9   	1651.25   	
112.3     	1000      	70        	36520.4   	1646.55   	
114.876   	1000      	70        	36526.3   	1643.07   	
121.742   	1000      	70        	36535.1   	1634.86   	
126.826   	1000      	70        	36538.6   	1629.33   	
130.688   	1000      	70        	36541.2   	1625.41   	
133.525   	1000      	70        	36542.7   	1622.65   	
135.704   	1000      	70        	36543.6   	1620.58   	
137.366   	1000      	70        	36544.2   	1619.04   	
141.957   	1000      	70        	36543.8   	1615.05   	
145.454   	1000      	70        	36542.6   	1612.2    	
154.112   	1000      	70        	36535.9   	1606.27   	
160.363   	1000      	70        	36530.3   	1602.54   	
165.238   	1000      	70        	36524.8   	1599.89   	
168.843   	1000      	70        	36520.4   	1598.07   	
178.102   	1000      	70        	36504.5   	1593.98   	
184.571   	1000      	70        	36492     	1591.42   	
189.442   	1000      	70        	36481.8   	1589.62   	
192.998   	1000      	70        	36473.9   	1588.37   	
