 % Watched Cells Output (dead cell outpus 'd' if any)
time	pres(0)	sat(0)	sat(0)	pres(499)	sat(499)	sat(499)	
day	psi	**	**	psi	**	**	
0	3000	1	0	3007.21	1	0	
0.1	3021.325	1	0	2968.235	1	0	
0.3158668	3051.496	1	0	2940.659	0.6336408	0.3663592	
0.4516585	3066.737	1	0	2928.163	0.6007583	0.3992417	
0.7582264	3090.349	1	0	2905.417	0.5743898	0.4256102	
1.486021	3122.191	1	0	2864.875	0.5530813	0.4469187	
2.039516	3139.161	1	0	2833.618	0.5440612	0.4559388	
2.414743	3148.48	1	0	2816.167	0.5399276	0.4600724	
3.186384	3162.599	1	0	2789.455	0.5333028	0.4666972	
3.785564	3171.573	1	0	2773.192	0.5290797	0.4709203	
4.217737	3177.261	1	0	2763.074	0.5263077	0.4736923	
4.560273	3181.367	1	0	2755.805	0.5242253	0.4757747	
4.822995	3184.311	1	0	2750.569	0.5226859	0.4773141	
5.026384	3186.48	1	0	2746.671	0.5215255	0.4784745	
5.189985	3188.158	1	0	2743.64	0.52061	0.47939	
5.604957	3192.059	1	0	2736.44	0.518345	0.481655	
5.918559	3194.828	1	0	2731.306	0.5166932	0.4833068	
6.677462	3200.704	1	0	2720.414	0.5128671	0.4871329	
7.232923	3204.63	1	0	2713.159	0.5102197	0.4897803	
7.656861	3207.434	1	0	2708	0.5082748	0.4917252	
8.583495	3212.805	1	0	2698.125	0.5042507	0.4957493	
9.239386	3216.279	1	0	2691.79	0.5015595	0.4984405	
9.74367	3218.774	1	0	2687.258	0.4995749	0.5004251	
10.13468	3220.609	1	0	2683.916	0.4980923	0.5019077	
10.43666	3221.972	1	0	2681.433	0.4969789	0.5030211	
11.20622	3225.123	1	0	2675.619	0.4942969	0.5057031	
11.7806	3227.313	1	0	2671.531	0.4923996	0.5076004	
12.22609	3228.921	1	0	2668.517	0.4909838	0.5090162	
12.56968	3230.109	1	0	2666.287	0.4899217	0.5100783	
12.83604	3231	1	0	2664.613	0.4891154	0.5108846	
13.04703	3231.688	1	0	2663.32	0.488487	0.511513	
13.62791	3233.454	1	0	2659.976	0.4868226	0.5131774	
14.07079	3234.731	1	0	2657.544	0.4855985	0.5144015	
14.42742	3235.716	1	0	2655.659	0.4846408	0.5153592	
15.36857	3238.047	1	0	2651.119	0.4822775	0.5177225	
16.10804	3239.73	1	0	2647.81	0.480531	0.519469	
17.90983	3243.095	1	0	2641.038	0.4768292	0.5231708	
21.85846	3248.037	1	0	2630.401	0.4712219	0.5287781	
24.70357	3250.642	1	0	2624.329	0.4684304	0.5315696	
26.85275	3252.165	1	0	2620.45	0.4669727	0.5330273	
28.49566	3253.108	1	0	2617.839	0.4662106	0.5337894	
29.77486	3253.724	1	0	2616.02	0.4658109	0.5341891	
30.76195	3254.135	1	0	2614.728	0.4656148	0.5343852	
33.41668	3254.867	1	0	2611.883	0.4658052	0.5341948	
35.45413	3255.249	1	0	2610.022	0.4663334	0.5336666	
40.6058	3255.419	1	0	2606.585	0.4693139	0.5306861	
44.38467	3255.232	1	0	2604.817	0.4721516	0.5278484	
52.81545	3253.911	1	0	2602.661	0.4797701	0.5202299	
58.83067	3252.721	1	0	2601.581	0.485618	0.514382	
63.30222	3251.736	1	0	2601.031	0.4898867	0.5101133	
66.72474	3250.942	1	0	2600.667	0.4930325	0.5069675	
