Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.1       	4000      	70        	-38295    	0         	
0.315866  	4000      	70        	-37019.7  	0         	
0.451657  	4000      	70        	-36391.2  	0         	
0.758224  	4000      	70        	-35463.1  	0         	
1.48602   	4000      	70        	-34332    	0         	
2.03951   	4000      	70        	-33781.5  	0         	
2.41473   	4000      	70        	-33499.1  	0         	
3.18636   	4000      	70        	-33120.7  	0         	
3.78554   	4000      	70        	-32901.6  	0         	
4.2177    	4000      	70        	-32771.9  	0         	
4.56023   	4000      	70        	-32683.2  	0         	
4.82294   	4000      	70        	-32622.1  	0         	
5.02632   	4000      	70        	-32578.4  	0         	
5.18992   	4000      	70        	-32545.5  	0         	
5.60488   	4000      	70        	-32473.1  	0         	
5.91847   	4000      	70        	-32423.6  	0         	
6.67736   	4000      	70        	-32327.2  	0         	
7.23281   	4000      	70        	-32266    	0         	
7.65674   	4000      	70        	-32224    	0         	
8.58335   	4000      	70        	-32149.5  	0         	
9.23923   	4000      	70        	-32103.6  	0         	
9.74351   	4000      	70        	-32071.8  	0         	
10.1345   	4000      	70        	-32049    	0         	
10.4365   	4000      	70        	-32032.4  	0         	
11.206    	4000      	70        	-31996.2  	0         	
11.7804   	4000      	70        	-31971.9  	0         	
12.2259   	4000      	70        	-31954.5  	0         	
12.5695   	4000      	70        	-31942    	0         	
12.8359   	4000      	70        	-31932.8  	0         	
13.0468   	4000      	70        	-31925.7  	0         	
13.6277   	4000      	70        	-31908.5  	0         	
14.0706   	4000      	70        	-31896.3  	0         	
14.4272   	4000      	70        	-31887.2  	0         	
15.3684   	4000      	70        	-31867    	0         	
16.1078   	4000      	70        	-31853.1  	0         	
17.9096   	4000      	70        	-31829.3  	0         	
21.8582   	4000      	70        	-31807.4  	0         	
24.7033   	4000      	70        	-31802.8  	0         	
26.8524   	4000      	70        	-31804.5  	0         	
28.4953   	4000      	70        	-31808.4  	0         	
29.7744   	4000      	70        	-31812.7  	0         	
30.7615   	4000      	70        	-31816.9  	0         	
33.4161   	4000      	70        	-31832.6  	0         	
35.4535   	4000      	70        	-31846.8  	0         	
40.605    	4000      	70        	-31893.7  	0         	
44.3837   	4000      	70        	-31932.3  	0         	
52.8142   	4000      	70        	-32033.3  	0         	
58.8293   	4000      	70        	-32108.2  	0         	
63.3007   	4000      	70        	-32165.1  	0         	
66.7232   	4000      	70        	-32209.1  	0         	
69.2935   	4000      	70        	-32242.4  	0         	
75.9057   	4000      	70        	-32328.2  	0         	
80.782    	4000      	70        	-32391.4  	0         	
91.794    	4000      	70        	-32535    	0         	
99.3002   	4000      	70        	-32631.2  	0         	
104.864   	4000      	70        	-32701.1  	0         	
109.033   	4000      	70        	-32752.6  	0         	
112.298   	4000      	70        	-32792.5  	0         	
114.874   	4000      	70        	-32823.9  	0         	
121.74    	4000      	70        	-32904.8  	0         	
126.824   	4000      	70        	-32963.2  	0         	
130.687   	4000      	70        	-33007.4  	0         	
133.524   	4000      	70        	-33039.6  	0         	
