Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.1       	1000      	70        	67352.9   	2953.14   	
0.315866  	1000      	70        	44129.1   	1955.85   	
0.451657  	1000      	70        	42499.5   	1912.3    	
0.758224  	1000      	70        	42556.4   	1938.27   	
1.48602   	1000      	70        	42073.3   	1934.42   	
2.03951   	1000      	70        	41534.3   	1913.38   	
2.41473   	1000      	70        	41208.1   	1899.54   	
3.18636   	1000      	70        	40682.3   	1880.58   	
3.78554   	1000      	70        	40345.7   	1870.44   	
4.2177    	1000      	70        	40129.4   	1864.95   	
4.56023   	1000      	70        	39970.5   	1861.49   	
4.82294   	1000      	70        	39854.2   	1859.21   	
5.02632   	1000      	70        	39766.6   	1857.61   	
5.18992   	1000      	70        	39697.9   	1856.44   	
5.60488   	1000      	70        	39532.3   	1854.08   	
5.91847   	1000      	70        	39412.3   	1852.6    	
6.67736   	1000      	70        	39150.7   	1850.91   	
7.23281   	1000      	70        	38971.8   	1850.33   	
7.65674   	1000      	70        	38842.2   	1850.24   	
8.58335   	1000      	70        	38587.1   	1851.42   	
9.23923   	1000      	70        	38419     	1852.74   	
9.74351   	1000      	70        	38300.3   	1854.29   	
10.1345   	1000      	70        	38221.5   	1856.36   	
10.4365   	1000      	70        	38162.4   	1857.97   	
11.206    	1000      	70        	38022.2   	1862.15   	
11.7804   	1000      	70        	37922     	1865.19   	
12.2259   	1000      	70        	37847.2   	1867.53   	
12.5695   	1000      	70        	37791.5   	1869.35   	
12.8359   	1000      	70        	37749.3   	1870.77   	
13.0468   	1000      	70        	37716.6   	1871.89   	
13.6277   	1000      	70        	37631.2   	1875      	
14.0706   	1000      	70        	37568.5   	1877.35   	
14.4272   	1000      	70        	37519.5   	1879.22   	
15.3684   	1000      	70        	37400.2   	1884.03   	
16.1078   	1000      	70        	37312     	1887.68   	
17.9096   	1000      	70        	37128     	1895.87   	
21.8582   	1000      	70        	36831.9   	1908.03   	
24.7033   	1000      	70        	36661.3   	1913.13   	
26.8524   	1000      	70        	36553.1   	1914.86   	
28.4953   	1000      	70        	36481.3   	1914.98   	
29.7744   	1000      	70        	36432     	1914.43   	
30.7615   	1000      	70        	36397.5   	1913.62   	
33.4161   	1000      	70        	36326     	1908.83   	
35.4535   	1000      	70        	36282.1   	1903.74   	
40.605    	1000      	70        	36216.9   	1884.61   	
44.3837   	1000      	70        	36194     	1868.44   	
52.8142   	1000      	70        	36200.4   	1828.53   	
58.8293   	1000      	70        	36222.2   	1798.59   	
63.3007   	1000      	70        	36244.7   	1777.04   	
66.7232   	1000      	70        	36262.7   	1761.21   	
69.2935   	1000      	70        	36277.3   	1749.89   	
75.9057   	1000      	70        	36312.5   	1724.65   	
80.782    	1000      	70        	36359.3   	1709.56   	
91.794    	1000      	70        	36436     	1682.79   	
99.3002   	1000      	70        	36476.1   	1667.58   	
104.864   	1000      	70        	36498.7   	1657.77   	
109.033   	1000      	70        	36511.9   	1651.25   	
112.298   	1000      	70        	36520.4   	1646.55   	
114.874   	1000      	70        	36526.3   	1643.07   	
121.74    	1000      	70        	36535.1   	1634.86   	
126.824   	1000      	70        	36538.6   	1629.33   	
130.687   	1000      	70        	36541.1   	1625.41   	
133.524   	1000      	70        	36542.7   	1622.65   	
135.703   	1000      	70        	36543.6   	1620.58   	
137.365   	1000      	70        	36544.2   	1619.04   	
141.956   	1000      	70        	36543.8   	1615.05   	
145.453   	1000      	70        	36542.6   	1612.2    	
154.112   	1000      	70        	36535.9   	1606.27   	
160.362   	1000      	70        	36530.3   	1602.54   	
165.238   	1000      	70        	36524.8   	1599.89   	
168.843   	1000      	70        	36520.4   	1598.07   	
178.101   	1000      	70        	36504.5   	1593.98   	
184.57    	1000      	70        	36492     	1591.42   	
189.441   	1000      	70        	36481.8   	1589.62   	
192.998   	1000      	70        	36473.9   	1588.37   	
