 % Watched Cells Output (dead cell outpus 'd' if any)
time	pres(0)	sat(0)	sat(0)	pres(499)	sat(499)	sat(499)	
day	psi	**	**	psi	**	**	
0	3000	1	0	3007.21	1	0	
0.1	3021.325	1	0	2968.235	1	0	
0.3158658	3051.495	1	0	2940.659	0.6336395	0.3663605	
0.4516567	3066.736	1	0	2928.163	0.6007578	0.3992422	
0.7582244	3090.349	1	0	2905.417	0.5743895	0.4256105	
1.48602	3122.19	1	0	2864.874	0.5530811	0.4469189	
2.039507	3139.16	1	0	2833.618	0.5440611	0.4559389	
2.414727	3148.479	1	0	2816.167	0.5399276	0.4600724	
3.186365	3162.598	1	0	2789.455	0.5333029	0.4666971	
3.785535	3171.572	1	0	2773.192	0.5290798	0.4709202	
4.217701	3177.26	1	0	2763.074	0.5263079	0.4736921	
4.560227	3181.366	1	0	2755.805	0.5242255	0.4757745	
4.822941	3184.31	1	0	2750.569	0.5226861	0.4773139	
5.026323	3186.478	1	0	2746.672	0.5215258	0.4784742	
5.189919	3188.157	1	0	2743.641	0.5206102	0.4793898	
5.604879	3192.058	1	0	2736.44	0.5183453	0.4816547	
5.918473	3194.827	1	0	2731.306	0.5166935	0.4833065	
6.677358	3200.702	1	0	2720.414	0.5128675	0.4871325	
7.232808	3204.629	1	0	2713.16	0.5102202	0.4897798	
7.656739	3207.432	1	0	2708.001	0.5082752	0.4917248	
8.583352	3212.804	1	0	2698.126	0.5042512	0.4957488	
9.23923	3216.278	1	0	2691.791	0.50156	0.49844	
9.743507	3218.772	1	0	2687.259	0.4995754	0.5004246	
10.13452	3220.608	1	0	2683.917	0.4980928	0.5019072	
10.4365	3221.971	1	0	2681.433	0.4969794	0.5030206	
11.20605	3225.122	1	0	2675.62	0.4942974	0.5057026	
11.78042	3227.312	1	0	2671.531	0.4924	0.5076	
12.22591	3228.92	1	0	2668.517	0.4909843	0.5090157	
12.56949	3230.108	1	0	2666.288	0.4899222	0.5100778	
12.83585	3230.999	1	0	2664.614	0.4891158	0.5108842	
13.04685	3231.687	1	0	2663.32	0.4884875	0.5115125	
13.62772	3233.453	1	0	2659.976	0.486823	0.513177	
14.0706	3234.73	1	0	2657.545	0.4855989	0.5144011	
14.42723	3235.715	1	0	2655.66	0.4846411	0.5153589	
15.36837	3238.046	1	0	2651.12	0.4822778	0.5177222	
16.10783	3239.729	1	0	2647.81	0.4805314	0.5194686	
17.9096	3243.094	1	0	2641.038	0.4768295	0.5231705	
21.8582	3248.036	1	0	2630.401	0.4712221	0.5287779	
24.70328	3250.641	1	0	2624.329	0.4684306	0.5315694	
26.85241	3252.165	1	0	2620.45	0.4669728	0.5330272	
28.49528	3253.108	1	0	2617.839	0.4662106	0.5337894	
29.77443	3253.724	1	0	2616.02	0.4658109	0.5341891	
30.76148	3254.135	1	0	2614.728	0.4656148	0.5343852	
33.41611	3254.867	1	0	2611.883	0.465805	0.534195	
35.45347	3255.249	1	0	2610.022	0.466333	0.533667	
40.60496	3255.418	1	0	2606.585	0.4693132	0.5306868	
44.38369	3255.232	1	0	2604.817	0.4721507	0.5278493	
52.81422	3253.911	1	0	2602.661	0.4797688	0.5202312	
58.82927	3252.721	1	0	2601.581	0.4856166	0.5143834	
63.30072	3251.736	1	0	2601.031	0.4898853	0.5101147	
66.72318	3250.942	1	0	2600.666	0.4930312	0.5069688	
