Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.01      	4500      	160       	-39935.4  	0         	0         	
0.0250931 	4500      	160       	-39094.4  	0         	0         	
0.0473453 	4500      	160       	-38248.1  	0         	0         	
0.0784875 	4500      	160       	-37375.4  	0         	0         	
0.120292  	4500      	160       	-36522    	0         	0         	
0.175547  	4500      	160       	-35737.4  	0         	0         	
0.249568  	4500      	160       	-35055.9  	0         	0         	
0.350993  	4500      	160       	-34512.5  	0         	0         	
0.493486  	4500      	160       	-34155.2  	0         	0         	
0.698606  	4500      	160       	-34058.5  	0         	0         	
1.00037   	4500      	160       	-34346.2  	0         	0         	
1.44721   	4500      	160       	-35213.8  	0         	0         	
2.1041    	4500      	160       	-36939.8  	0         	0         	
3.07891   	4500      	160       	-39935.7  	0         	0         	
4.52774   	4500      	160       	-43152.4  	0         	0         	
6.7029    	4500      	160       	-20709.4  	0         	0         	
9.76585   	4500      	160       	-16242.2  	0         	0         	
14.1537   	4500      	160       	-15543.4  	0         	0         	
20.7875   	4500      	160       	-20837.8  	0         	0         	
30.6924   	4500      	160       	-37732.8  	0         	0         	
42.9492   	4500      	160       	-47310.9  	0         	0         	
53.3218   	4500      	160       	-58280.3  	0         	0         	
65.1446   	4500      	160       	-62058.1  	0         	0         	
80.3184   	4500      	160       	-62283.5  	0         	0         	
92.6964   	4500      	160       	-70469.7  	0         	0         	
109.159   	4500      	160       	-72219.8  	0         	0         	
123.732   	4500      	160       	-74857.4  	0         	0         	
139.081   	4500      	160       	-78740.8  	0         	0         	
156.643   	4500      	160       	-83616.1  	0         	0         	
174.208   	4500      	160       	-88615.8  	0         	0         	
194.043   	4500      	160       	-91210.8  	0         	0         	
211.674   	4500      	160       	-95105.6  	0         	0         	
230.087   	4500      	160       	-97082.9  	0         	0         	
248.28    	4500      	160       	-99565.7  	0         	0         	
268.28    	4500      	160       	-101876   	0         	0         	
287.512   	4500      	160       	-105775   	0         	0         	
307.042   	4500      	160       	-107213   	0         	0         	
327.042   	4500      	160       	-109149   	0         	0         	
347.042   	4500      	160       	-110732   	0         	0         	
367.042   	4500      	160       	-112418   	0         	0         	
387.042   	4500      	160       	-114452   	0         	0         	
407.042   	4500      	160       	-115873   	0         	0         	
427.042   	4500      	160       	-117481   	0         	0         	
447.042   	4500      	160       	-117977   	0         	0         	
467.042   	4500      	160       	-118649   	0         	0         	
487.042   	4500      	160       	-119258   	0         	0         	
500       	4500      	160       	-119077   	0         	0         	
