Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.01      	500       	160       	77159.7   	139314    	0.230778  	
0.0250931 	500       	160       	75418     	136169    	0.458233  	
0.0473453 	500       	160       	73465.1   	132643    	0.69252   	
0.0784875 	500       	160       	71334.9   	128797    	0.924026  	
0.120292  	500       	160       	69136.5   	124828    	1.13774   	
0.175547  	500       	160       	66959.3   	120897    	1.32528   	
0.249568  	500       	160       	64835.6   	117062    	1.48613   	
0.350993  	500       	160       	62775.2   	113342    	1.62227   	
0.493486  	500       	160       	60777.4   	109735    	1.73638   	
0.698606  	500       	160       	58836.4   	106231    	1.8311    	
1.00037   	500       	160       	56945.6   	102817    	1.90872   	
1.44721   	500       	160       	55116.8   	99515     	1.97063   	
2.1041    	500       	160       	53371.9   	96364.4   	2.01811   	
3.07891   	500       	160       	51701.9   	93349.3   	2.05337   	
4.52774   	500       	160       	50108.5   	90472.2   	2.07809   	
6.7029    	500       	160       	48581.6   	87715.4   	2.09389   	
9.76585   	500       	160       	47189.4   	85201.7   	2.10181   	
14.1537   	500       	160       	44349     	80770.9   	2.1024    	
20.7875   	500       	160       	41477.5   	75930.3   	2.10068   	
30.6924   	500       	160       	38926.8   	71260.3   	2.09663   	
42.9492   	500       	160       	36935.3   	67448.5   	2.0905    	
53.3218   	500       	160       	35709.6   	65069.3   	2.08477   	
65.1446   	500       	160       	34661.3   	63033.8   	2.0778    	
80.3184   	500       	160       	33644     	61076.8   	2.06839   	
92.6964   	500       	160       	32958     	59770.6   	2.06049   	
109.159   	500       	160       	32255.3   	58416     	2.04984   	
123.732   	500       	160       	31755.7   	57449.6   	2.04041   	
139.081   	500       	160       	31301.6   	56597     	2.03046   	
156.643   	500       	160       	30857.1   	55774.9   	2.01904   	
174.208   	500       	160       	30476.9   	55076.3   	2.00762   	
194.043   	500       	160       	30119.4   	54421.2   	1.99475   	
211.674   	500       	160       	29853.2   	53933.7   	1.98337   	
230.087   	500       	160       	29625.7   	53516.9   	1.97157   	
248.28    	500       	160       	29445.7   	53186.6   	1.96003   	
268.28    	500       	160       	29294.7   	52909.1   	1.94749   	
287.512   	500       	160       	29186.5   	52709.7   	1.93561   	
307.042   	500       	160       	29110.4   	52568.9   	1.92374   	
327.042   	500       	160       	29063.7   	52481.5   	1.9118    	
347.042   	500       	160       	29045.4   	52445.7   	1.90009   	
367.042   	500       	160       	29053.2   	52457.2   	1.88863   	
387.042   	500       	160       	29084.1   	52510.7   	1.87742   	
407.042   	500       	160       	29135.5   	52601.5   	1.86647   	
427.042   	500       	160       	29204.1   	52723.8   	1.85579   	
447.042   	500       	160       	29286.6   	52871.2   	1.84538   	
467.042   	500       	160       	29379.5   	53037.8   	1.83525   	
487.042   	500       	160       	29481.3   	53220.7   	1.8254    	
500       	500       	160       	29551     	53346     	1.81912   	
