 % Watched Cells Output (dead cell outpus 'd' if any)
time	pres(0)	sat(0)	sat(0)	sat(0)	pres(2699)	sat(2699)	sat(2699)	sat(2699)	
day	psi	**	**	**	psi	**	**	**	
0	3984.101	0	0.8	0.2	4000	0	0.8	0.2	
0.01	3997.871	0	0.8000229	0.1999771	3901.234	0	0.799836	0.200164	
0.02509311	4009.446	0	0.8000421	0.1999579	3797.752	0	0.799664	0.200336	
0.04734533	4021.679	0	0.8000624	0.1999376	3683.391	0	0.7994738	0.2005262	
0.07848751	4034.891	0	0.8000843	0.1999157	3560.645	0	0.7992694	0.2007306	
0.1202924	4048.591	0	0.800107	0.199893	3436.135	0	0.7990619	0.2009381	
0.1755471	4062.314	0	0.8001298	0.1998702	3314.974	0	0.7988598	0.2011402	
0.2495684	4075.96	0	0.8001524	0.1998476	3198.825	0	0.7986658	0.2013342	
0.3509931	4089.63	0	0.8001751	0.1998249	3088.045	0	0.7984807	0.2015193	
0.4934858	4103.594	0	0.8001983	0.1998017	2982.404	0	0.798304	0.201696	
0.6986056	4118.316	0	0.8002227	0.1997773	2881.418	0	0.7981351	0.2018649	
1.000373	4134.543	0	0.8002496	0.1997504	2784.598	0	0.797973	0.202027	
1.447208	4153.301	0	0.8002807	0.1997193	2692.391	0	0.7978185	0.2021815	
2.104103	4176.092	0	0.8003185	0.1996815	2605.718	0	0.7976734	0.2023266	
3.078914	4205.686	0	0.8003675	0.1996325	2523.952	0	0.7975364	0.2024636	
4.527743	4242.632	0.004841037	0.7955877	0.1995713	2447.001	0	0.7974076	0.2025924	
6.702897	4221.524	0.117851	0.6825427	0.1996063	2374.233	0	0.7972858	0.2027142	
9.765848	4195.589	0.2272248	0.573126	0.1996493	2308.701	0	0.7971762	0.2028238	
14.15368	4179.642	0.3256283	0.4746961	0.1996757	2284.739	0.006395512	0.7907417	0.2028628	
20.7875	4196.283	0.4265538	0.3737981	0.1996481	2276.124	0.01508788	0.7820377	0.2028744	
30.6924	4272.148	0.568988	0.2314896	0.1995224	2276.138	0.02438786	0.7727433	0.2028688	
42.94921	4373.033	0.7211042	0.07954033	0.1993554	2280.258	0.03235831	0.7647879	0.2028538	
53.32183	4407.964	0.8007024	0	0.1992976	2283.888	0.0374057	0.7597542	0.2028401	
65.14464	4407.934	0.8007023	0	0.1992977	2287.223	0.04172572	0.755449	0.2028253	
80.31841	4409.514	0.8007049	0	0.1992951	2290.161	0.04584123	0.7513509	0.2028079	
92.69644	4398.361	0.8006865	0	0.1993135	2291.873	0.04855949	0.748646	0.2027945	
109.1594	4396.046	0.8006826	0	0.1993174	2292.306	0.05126728	0.7459534	0.2027793	
123.7317	4392.352	0.8006765	0	0.1993235	2291.322	0.05309943	0.7441325	0.2027681	
139.0806	4386.879	0.8006675	0	0.1993325	2289.79	0.05466865	0.7425744	0.202757	
156.6426	4380.012	0.8006561	0	0.1993439	2287.944	0.0561588	0.7410969	0.2027443	
174.2076	4372.985	0.8006445	0	0.1993555	2286.214	0.05741725	0.7398513	0.2027314	
194.0431	4369.344	0.8006385	0	0.1993615	2284.505	0.05859551	0.7386879	0.2027165	
211.6738	4363.887	0.8006294	0	0.1993706	2283.2	0.05947324	0.7378237	0.202703	
230.087	4361.121	0.8006248	0	0.1993752	2282.07	0.06022551	0.7370858	0.2026887	
248.2804	4357.65	0.8006191	0	0.1993809	2281.171	0.06082415	0.7365016	0.2026743	
268.2804	4354.425	0.8006138	0	0.1993862	2280.42	0.0613302	0.7360115	0.2026583	
287.5119	4348.989	0.8006048	0	0.1993952	2279.885	0.06169693	0.7356602	0.2026429	
307.0416	4346.986	0.8006015	0	0.1993985	2279.521	0.06195995	0.7354128	0.2026272	
327.0416	4344.293	0.800597	0	0.199403	2279.315	0.06212841	0.7352604	0.2026112	
347.0416	4342.092	0.8005934	0	0.1994066	2279.265	0.06220551	0.7351992	0.2025953	
367.0416	4339.751	0.8005895	0	0.1994105	2279.36	0.0621989	0.7352216	0.2025795	
387.0416	4336.927	0.8005848	0	0.1994152	2279.582	0.06211789	0.7353182	0.2025639	
407.0416	4334.957	0.8005815	0	0.1994185	2279.916	0.06197067	0.7354809	0.2025484	
427.0416	4332.728	0.8005779	0	0.1994221	2280.342	0.06176761	0.7356992	0.2025332	
447.0416	4332.041	0.8005767	0	0.1994233	2280.838	0.06151963	0.735962	0.2025183	
467.0416	4331.11	0.8005752	0	0.1994248	2281.384	0.06123712	0.7362591	0.2025037	
487.0416	4330.267	0.8005738	0	0.1994262	2281.973	0.06092544	0.7365851	0.2024895	
500	4330.518	0.8005742	0	0.1994258	2282.373	0.06071148	0.7368082	0.2024803	
