Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.01      	4500      	160       	-39935.2  	0         	0         	
0.0250932 	4500      	160       	-39094.3  	0         	0         	
0.0473455 	4500      	160       	-38248    	0         	0         	
0.0784877 	4500      	160       	-37375.3  	0         	0         	
0.120293  	4500      	160       	-36521.9  	0         	0         	
0.175547  	4500      	160       	-35737.4  	0         	0         	
0.249569  	4500      	160       	-35055.8  	0         	0         	
0.350994  	4500      	160       	-34512.5  	0         	0         	
0.493487  	4500      	160       	-34155.1  	0         	0         	
0.698607  	4500      	160       	-34058.4  	0         	0         	
1.00037   	4500      	160       	-34346.1  	0         	0         	
1.44721   	4500      	160       	-35213.7  	0         	0         	
2.10411   	4500      	160       	-36939.7  	0         	0         	
3.07892   	4500      	160       	-39935.6  	0         	0         	
4.52775   	4500      	160       	-43152.4  	0         	0         	
6.70291   	4500      	160       	-20709.3  	0         	0         	
9.76586   	4500      	160       	-16242.2  	0         	0         	
14.1537   	4500      	160       	-15543.3  	0         	0         	
20.7875   	4500      	160       	-20837.7  	0         	0         	
30.6924   	4500      	160       	-37732.6  	0         	0         	
42.9492   	4500      	160       	-47310.7  	0         	0         	
53.3219   	4500      	160       	-58280.2  	0         	0         	
65.1447   	4500      	160       	-62058    	0         	0         	
80.3185   	4500      	160       	-62283.4  	0         	0         	
92.6965   	4500      	160       	-70469.6  	0         	0         	
109.159   	4500      	160       	-72219.7  	0         	0         	
123.732   	4500      	160       	-74857.3  	0         	0         	
139.081   	4500      	160       	-78740.8  	0         	0         	
156.643   	4500      	160       	-83616.1  	0         	0         	
174.208   	4500      	160       	-88615.8  	0         	0         	
194.043   	4500      	160       	-91210.8  	0         	0         	
211.674   	4500      	160       	-95105.6  	0         	0         	
230.087   	4500      	160       	-97082.9  	0         	0         	
248.281   	4500      	160       	-99565.7  	0         	0         	
268.281   	4500      	160       	-101876   	0         	0         	
287.512   	4500      	160       	-105775   	0         	0         	
307.042   	4500      	160       	-107213   	0         	0         	
327.042   	4500      	160       	-109149   	0         	0         	
347.042   	4500      	160       	-110732   	0         	0         	
367.042   	4500      	160       	-112418   	0         	0         	
387.042   	4500      	160       	-114452   	0         	0         	
407.042   	4500      	160       	-115873   	0         	0         	
427.042   	4500      	160       	-117481   	0         	0         	
447.042   	4500      	160       	-117977   	0         	0         	
467.042   	4500      	160       	-118649   	0         	0         	
487.042   	4500      	160       	-119258   	0         	0         	
500       	4500      	160       	-119077   	0         	0         	
