 % Watched Cells Output (dead cell outpus 'd' if any)
time	pres(0)	sat(0)	sat(0)	sat(0)	pres(2699)	sat(2699)	sat(2699)	sat(2699)	
day	psi	**	**	**	psi	**	**	**	
0	3984.104	0	0.8	0.2	4000	0	0.8	0.2	
0.01	3997.873	0	0.8000229	0.1999771	3901.234	0	0.799836	0.200164	
0.02509315	4009.448	0	0.8000421	0.1999579	3797.752	0	0.799664	0.200336	
0.04734545	4021.68	0	0.8000624	0.1999376	3683.391	0	0.7994738	0.2005262	
0.07848771	4034.892	0	0.8000843	0.1999157	3560.645	0	0.7992694	0.2007306	
0.1202926	4048.592	0	0.800107	0.199893	3436.135	0	0.7990619	0.2009381	
0.1755475	4062.315	0	0.8001298	0.1998702	3314.974	0	0.7988598	0.2011402	
0.2495688	4075.961	0	0.8001524	0.1998476	3198.826	0	0.7986658	0.2013342	
0.3509937	4089.631	0	0.8001751	0.1998249	3088.046	0	0.7984807	0.2015193	
0.4934866	4103.595	0	0.8001983	0.1998017	2982.405	0	0.798304	0.201696	
0.6986066	4118.317	0	0.8002227	0.1997773	2881.419	0	0.7981351	0.2018649	
1.000375	4134.543	0	0.8002496	0.1997504	2784.598	0	0.797973	0.202027	
1.44721	4153.302	0	0.8002807	0.1997193	2692.391	0	0.7978185	0.2021815	
2.104106	4176.093	0	0.8003184	0.1996816	2605.718	0	0.7976734	0.2023266	
3.078918	4205.686	0	0.8003675	0.1996325	2523.953	0	0.7975364	0.2024636	
4.527749	4242.633	0.004840562	0.7955881	0.1995713	2447.001	0	0.7974076	0.2025924	
6.702905	4221.525	0.1178506	0.6825431	0.1996063	2374.234	0	0.7972858	0.2027142	
9.765859	4195.589	0.2272244	0.5731263	0.1996493	2308.702	0	0.7971762	0.2028238	
14.15369	4179.643	0.3256279	0.4746964	0.1996757	2284.739	0.006395465	0.7907418	0.2028628	
20.78752	4196.283	0.4265535	0.3737984	0.1996481	2276.124	0.01508782	0.7820378	0.2028744	
30.69242	4272.148	0.5689875	0.23149	0.1995224	2276.138	0.0243878	0.7727434	0.2028688	
42.94925	4373.033	0.7211036	0.07954096	0.1993554	2280.258	0.03235825	0.764788	0.2028538	
53.3219	4407.964	0.8007023	0	0.1992977	2283.888	0.03740565	0.7597542	0.2028401	
65.14473	4407.934	0.8007023	0	0.1992977	2287.223	0.04172567	0.755449	0.2028253	
80.31851	4409.514	0.8007049	0	0.1992951	2290.161	0.04584119	0.7513509	0.2028079	
92.69653	4398.362	0.8006865	0	0.1993135	2291.873	0.04855945	0.7486461	0.2027945	
109.1595	4396.046	0.8006826	0	0.1993174	2292.306	0.05126724	0.7459534	0.2027793	
123.7318	4392.353	0.8006765	0	0.1993235	2291.322	0.0530994	0.7441325	0.2027681	
139.0806	4386.879	0.8006675	0	0.1993325	2289.79	0.05466862	0.7425744	0.202757	
156.6428	4380.012	0.8006561	0	0.1993439	2287.944	0.05615878	0.7410969	0.2027443	
174.2077	4372.985	0.8006445	0	0.1993555	2286.214	0.05741723	0.7398513	0.2027314	
194.0433	4369.344	0.8006385	0	0.1993615	2284.505	0.0585955	0.738688	0.2027165	
211.674	4363.887	0.8006294	0	0.1993706	2283.2	0.05947323	0.7378237	0.202703	
230.0872	4361.121	0.8006248	0	0.1993752	2282.07	0.0602255	0.7370858	0.2026887	
248.2806	4357.65	0.8006191	0	0.1993809	2281.171	0.06082414	0.7365016	0.2026743	
268.2806	4354.425	0.8006138	0	0.1993862	2280.42	0.06133019	0.7360115	0.2026583	
287.512	4348.989	0.8006048	0	0.1993952	2279.885	0.06169692	0.7356602	0.2026429	
307.0418	4346.986	0.8006015	0	0.1993985	2279.521	0.06195994	0.7354128	0.2026272	
327.0418	4344.293	0.800597	0	0.199403	2279.315	0.06212841	0.7352604	0.2026112	
347.0418	4342.092	0.8005934	0	0.1994066	2279.265	0.06220551	0.7351992	0.2025953	
367.0418	4339.751	0.8005895	0	0.1994105	2279.36	0.0621989	0.7352216	0.2025795	
387.0418	4336.927	0.8005848	0	0.1994152	2279.582	0.06211788	0.7353182	0.2025639	
407.0418	4334.957	0.8005815	0	0.1994185	2279.916	0.06197066	0.7354809	0.2025484	
427.0418	4332.728	0.8005779	0	0.1994221	2280.342	0.0617676	0.7356992	0.2025332	
447.0418	4332.041	0.8005767	0	0.1994233	2280.838	0.06151963	0.735962	0.2025183	
467.0418	4331.11	0.8005752	0	0.1994248	2281.384	0.06123712	0.7362591	0.2025037	
487.0418	4330.267	0.8005738	0	0.1994262	2281.973	0.06092544	0.7365851	0.2024895	
500	4330.518	0.8005742	0	0.1994258	2282.373	0.06071148	0.7368082	0.2024803	
