Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.01      	500       	160       	77152.4   	139293    	0.230782  	
0.025093  	500       	160       	75410.8   	136148    	0.458237  	
0.047345  	500       	160       	73457.9   	132623    	0.692525  	
0.0784867 	500       	160       	71327.8   	128777    	0.924031  	
0.120291  	500       	160       	69129.5   	124808    	1.13774   	
0.175545  	500       	160       	66952.5   	120878    	1.32528   	
0.249565  	500       	160       	64828.8   	117044    	1.48613   	
0.350989  	500       	160       	62768.6   	113324    	1.62227   	
0.493481  	500       	160       	60770.9   	109717    	1.73638   	
0.698601  	500       	160       	58830     	106213    	1.8311    	
1.00037   	500       	160       	56939.4   	102800    	1.90872   	
1.44721   	500       	160       	55110.7   	99498.3   	1.97063   	
2.10411   	500       	160       	53365.9   	96348.1   	2.01811   	
3.07893   	500       	160       	51696.1   	93333.4   	2.05337   	
4.52779   	500       	160       	50102.7   	90456.7   	2.07809   	
6.70299   	500       	160       	48575.9   	87700.2   	2.09389   	
9.79013   	500       	160       	47176.1   	85172.8   	2.10183   	
14.2264   	500       	160       	44192.2   	80543     	2.10221   	
20.9434   	500       	160       	41319.1   	75670.6   	2.10041   	
30.9825   	500       	160       	38770.3   	70983.1   	2.09619   	
43.3413   	500       	160       	36789.9   	67182.7   	2.08985   	
53.6082   	500       	160       	35588.5   	64847     	2.08407   	
65.5015   	500       	160       	34544.5   	62818.1   	2.07693   	
80.8201   	500       	160       	33528.3   	60862.7   	2.06728   	
93.6036   	500       	160       	32830.1   	59533.3   	2.059     	
110.752   	500       	160       	32133.2   	58175.5   	2.04784   	
125.207   	500       	160       	31646.8   	57242.4   	2.03842   	
141.168   	500       	160       	31184.8   	56378.8   	2.02799   	
157.949   	500       	160       	30766.5   	55606.4   	2.017     	
174.81    	500       	160       	30405.2   	54942.9   	2.00596   	
194.424   	500       	160       	30054.6   	54300.7   	1.99315   	
211.921   	500       	160       	29792.2   	53820.2   	1.98179   	
230.49    	500       	160       	29564.7   	53403.4   	1.96981   	
248.927   	500       	160       	29384.2   	53072.3   	1.95804   	
268.927   	500       	160       	29234.8   	52797.7   	1.94543   	
288.438   	500       	160       	29126.5   	52598.3   	1.93331   	
308.371   	500       	160       	29050.7   	52457.9   	1.92113   	
328.371   	500       	160       	29005.6   	52373.3   	1.90913   	
348.371   	500       	160       	28988.6   	52340     	1.89737   	
368.371   	500       	160       	28997.5   	52353.6   	1.88584   	
388.371   	500       	160       	29029.2   	52408.6   	1.87458   	
408.371   	500       	160       	29081.3   	52500.6   	1.86357   	
428.371   	500       	160       	29150.4   	52623.7   	1.85284   	
448.371   	500       	160       	29233.3   	52771.9   	1.84238   	
468.371   	500       	160       	29326.5   	52939.1   	1.83219   	
488.371   	500       	160       	29428.6   	53122.4   	1.82229   	
500       	500       	160       	29491     	53234.5   	1.81662   	
