 % Watched Cells Output (dead cell outpus 'd' if any)
time	pres(0)	sat(0)	sat(0)	sat(0)	pres(2699)	sat(2699)	sat(2699)	sat(2699)	
day	psi	**	**	**	psi	**	**	**	
0	3984.1	0	0.8	0.2	4000	0	0.8	0.2	
0.01	3997.9	0	0.8000229	0.1999771	3901.232	0	0.799836	0.200164	
0.02509299	4009.498	0	0.8000422	0.1999578	3797.749	0	0.799664	0.200336	
0.04734497	4021.755	0	0.8000625	0.1999375	3683.388	0	0.7994738	0.2005262	
0.07848673	4034.991	0	0.8000845	0.1999155	3560.642	0	0.7992694	0.2007306	
0.120291	4048.716	0	0.8001072	0.1998928	3436.133	0	0.7990619	0.2009381	
0.175545	4062.461	0	0.80013	0.19987	3314.972	0	0.7988597	0.2011403	
0.2495655	4076.129	0	0.8001527	0.1998473	3198.824	0	0.7986658	0.2013342	
0.3509894	4089.819	0	0.8001754	0.1998246	3088.045	0	0.7984807	0.2015193	
0.4934814	4103.802	0	0.8001986	0.1998014	2982.404	0	0.798304	0.201696	
0.6986011	4118.543	0	0.8002231	0.1997769	2881.42	0	0.7981351	0.2018649	
1.00037	4134.789	0	0.80025	0.19975	2784.6	0	0.797973	0.202027	
1.447208	4153.568	0	0.8002811	0.1997189	2692.394	0	0.7978185	0.2021815	
2.104109	4176.378	0	0.8003189	0.1996811	2605.722	0	0.7976734	0.2023266	
3.078933	4205.987	0	0.800368	0.199632	2523.957	0	0.7975364	0.2024636	
4.527789	4241.416	0.007666493	0.7927602	0.1995733	2447.006	0	0.7974076	0.2025924	
6.70299	4220.469	0.1190117	0.6813803	0.199608	2374.237	0	0.7972858	0.2027142	
9.790135	4194.921	0.2277347	0.5726149	0.1996504	2308.341	0	0.7971756	0.2028244	
14.22642	4179.33	0.3258466	0.4744772	0.1996762	2287.279	0.00695923	0.7901824	0.2028584	
20.9434	4196.239	0.4265708	0.373781	0.1996482	2279.162	0.0157654	0.7813655	0.2028691	
30.98251	4272.744	0.5702631	0.2302154	0.1995215	2279.624	0.02513343	0.772004	0.2028626	
43.34127	4377.719	0.7287218	0.0719305	0.1993477	2283.994	0.03309073	0.7640624	0.2028469	
53.60823	4408.235	0.8007028	0	0.1992972	2287.673	0.03804643	0.7591205	0.2028331	
65.50149	4408.655	0.8007035	0	0.1992965	2291.07	0.04235038	0.7548316	0.202818	
80.82005	4409.178	0.8007044	0	0.1992956	2294.048	0.04645815	0.7507416	0.2028003	
93.6036	4397.337	0.8006848	0	0.1993152	2295.804	0.04922007	0.7479936	0.2027863	
110.7524	4396.036	0.8006826	0	0.1993174	2295.702	0.05188792	0.7453407	0.2027713	
125.207	4391.861	0.8006757	0	0.1993243	2294.541	0.05363933	0.7436003	0.2027604	
141.1681	4385.986	0.800666	0	0.199334	2292.863	0.05521881	0.7420323	0.2027488	
157.9488	4379.392	0.8006551	0	0.1993449	2291.068	0.0566137	0.7406496	0.2027367	
174.8099	4373.172	0.8006448	0	0.1993552	2289.39	0.05780588	0.7394698	0.2027243	
194.4241	4369.385	0.8006385	0	0.1993615	2287.687	0.05895851	0.738332	0.2027095	
211.9215	4363.971	0.8006296	0	0.1993704	2286.382	0.05982184	0.7374821	0.202696	
230.4897	4361.228	0.800625	0	0.199375	2285.236	0.06057277	0.7367458	0.2026815	
248.927	4357.801	0.8006194	0	0.1993806	2284.322	0.06117171	0.7361615	0.2026668	
268.927	4354.444	0.8006138	0	0.1993862	2283.568	0.06167164	0.7356776	0.2026508	
288.4378	4348.874	0.8006046	0	0.1993954	2283.026	0.06203772	0.7353272	0.2026351	
308.3714	4347.143	0.8006017	0	0.1993983	2282.658	0.06229971	0.7350813	0.202619	
328.3714	4344.333	0.8005971	0	0.1994029	2282.457	0.06246284	0.7349342	0.2026029	
348.3714	4342.214	0.8005936	0	0.1994064	2282.413	0.06253542	0.7348776	0.202587	
368.3714	4339.685	0.8005894	0	0.1994106	2282.514	0.06252519	0.7349037	0.2025711	
388.3714	4336.951	0.8005848	0	0.1994152	2282.742	0.06244165	0.7350029	0.2025554	
408.3714	4335.174	0.8005819	0	0.1994181	2283.084	0.06229275	0.7351673	0.2025399	
428.3714	4332.734	0.8005779	0	0.1994221	2283.517	0.0620885	0.7353868	0.2025247	
448.3714	4332.228	0.800577	0	0.199423	2284.02	0.06183976	0.7356505	0.2025097	
468.3714	4331.229	0.8005754	0	0.1994246	2284.574	0.06155669	0.7359482	0.2024951	
488.3714	4330.295	0.8005738	0	0.1994262	2285.171	0.06124504	0.7362742	0.2024807	
500	4330.631	0.8005744	0	0.1994256	2285.533	0.06105394	0.7364735	0.2024725	
