Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.01      	4500      	160       	-40020.4  	0         	0         	
0.025093  	4500      	160       	-39175.9  	0         	0         	
0.0473451 	4500      	160       	-38325.9  	0         	0         	
0.0784869 	4500      	160       	-37449.6  	0         	0         	
0.120291  	4500      	160       	-36592.6  	0         	0         	
0.175545  	4500      	160       	-35804.8  	0         	0         	
0.249566  	4500      	160       	-35120.4  	0         	0         	
0.35099   	4500      	160       	-34574.7  	0         	0         	
0.493482  	4500      	160       	-34215.5  	0         	0         	
0.698602  	4500      	160       	-34117.6  	0         	0         	
1.00037   	4500      	160       	-34405    	0         	0         	
1.44721   	4500      	160       	-35273.3  	0         	0         	
2.10411   	4500      	160       	-37001    	0         	0         	
3.07894   	4500      	160       	-39998.8  	0         	0         	
4.52779   	4500      	160       	-42376.1  	0         	0         	
6.703     	4500      	160       	-20610.6  	0         	0         	
9.79015   	4500      	160       	-16240.1  	0         	0         	
14.2264   	4500      	160       	-15581    	0         	0         	
20.9434   	4500      	160       	-20898.5  	0         	0         	
30.9825   	4500      	160       	-37950.2  	0         	0         	
43.3413   	4500      	160       	-48313.3  	0         	0         	
53.6083   	4500      	160       	-58306.3  	0         	0         	
65.5016   	4500      	160       	-61624.6  	0         	0         	
80.8201   	4500      	160       	-62534    	0         	0         	
93.6037   	4500      	160       	-71196.7  	0         	0         	
110.752   	4500      	160       	-72223    	0         	0         	
125.207   	4500      	160       	-75200.1  	0         	0         	
141.168   	4500      	160       	-79368.3  	0         	0         	
157.949   	4500      	160       	-84050.7  	0         	0         	
174.81    	4500      	160       	-88475.6  	0         	0         	
194.424   	4500      	160       	-91174.3  	0         	0         	
211.921   	4500      	160       	-95038.3  	0         	0         	
230.49    	4500      	160       	-96998.9  	0         	0         	
248.927   	4500      	160       	-99450.1  	0         	0         	
268.927   	4500      	160       	-101855   	0         	0         	
288.438   	4500      	160       	-105850   	0         	0         	
308.372   	4500      	160       	-107093   	0         	0         	
328.372   	4500      	160       	-109112   	0         	0         	
348.372   	4500      	160       	-110636   	0         	0         	
368.372   	4500      	160       	-112457   	0         	0         	
388.372   	4500      	160       	-114426   	0         	0         	
408.372   	4500      	160       	-115707   	0         	0         	
428.372   	4500      	160       	-117468   	0         	0         	
448.372   	4500      	160       	-117834   	0         	0         	
468.372   	4500      	160       	-118555   	0         	0         	
488.372   	4500      	160       	-119229   	0         	0         	
500       	4500      	160       	-118987   	0         	0         	
