 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	comp2	min0	min1	min2	
day	psi	F	**	**	**	
         0	   290.009	       573	3.4492e-019	3.4492e-019	34.492	0	0	0.0375877	
   0.00025	   291.078	       573	0.424857	3.42497e-019	34.2497	6.02668e-008	4.02372e-027	0.0375877	
0.000462352	   291.152	       573	0.527638	3.41733e-019	34.1733	1.21198e-007	7.43028e-027	0.0375877	
0.000912721	    291.35	       573	0.641626	3.40988e-019	34.0988	2.77408e-007	1.46305e-026	0.0375876	
0.00185461	   291.791	       573	0.808348	3.40074e-019	34.0074	6.85185e-007	2.96256e-026	0.0375874	
0.00384222	   292.527	       573	1.05673	3.38813e-019	33.8813	1.79395e-006	6.10817e-026	0.037587	
0.00789954	   293.632	       573	1.41273	3.37074e-019	33.7074	4.76711e-006	1.24753e-025	0.037586	
 0.0161889	   295.266	       573	1.92238	3.34654e-019	33.4654	1.2877e-005	2.5324e-025	0.0375833	
 0.0331339	   297.662	       573	2.6519	3.31264e-019	33.1264	3.52883e-005	5.11052e-025	0.0375758	
 0.0678044	   301.152	       573	3.69652	3.26489e-019	32.649	9.77565e-005	1.02357e-024	0.0375555	
       0.1	   303.751	       573	4.47806	3.22948e-019	32.2949	0.000166375	1.48894e-024	0.0375333	
   0.17569	   308.449	       573	5.86424	3.16721e-019	31.6725	0.000371528	2.5351e-024	0.0374674	
  0.341335	   315.978	       573	8.0622	3.06898e-019	30.6905	0.000960741	4.64348e-024	0.0372779	
  0.690152	   327.128	       573	11.3733	4.1744e-019	29.1726	0.00257013	3.52895e-019	0.0367562	
   1.42625	    341.78	       573	16.5007	2.44739e-018	26.4417	0.00680097	1.407e-017	0.0353468	
   2.42625	     353.1	       573	22.2193	4.92549e-018	22.7279	0.0134492	1.1741e-017	0.0330567	
         3	   357.607	       573	25.256	6.07571e-018	20.5718	0.0173494	1.05397e-017	0.0316593	
         4	   362.746	       573	30.0197	7.63006e-018	16.9126	0.0244639	8.79526e-018	0.0290008	
         5	   366.639	       573	34.2887	8.78934e-018	13.5348	0.0315885	7.3397e-018	0.0262195	
         6	   370.006	       573	38.0437	9.52997e-018	10.5523	0.0384916	6.12507e-018	0.0234134	
         7	   373.065	       573	41.2651	9.87083e-018	8.01463	0.0449704	5.11146e-018	0.0206726	
         8	   375.829	       573	43.9515	9.89848e-018	5.92676	0.0508739	4.26565e-018	0.0180695	
         9	   378.264	       573	46.1253	9.6647e-018	4.26452	0.0561115	3.55982e-018	0.0156556	
        10	   380.345	       573	47.8303	9.23507e-018	2.98429	0.0607519	2.96524e-018	0.0134529	
        11	   382.075	       573	49.1269	8.66529e-018	2.03075	0.0646802	2.47001e-018	0.0114836	
        12	   383.473	       573	50.0832	7.99085e-018	1.34396	0.0679407	2.05749e-018	0.00974844	
        13	   384.575	       573	50.7681	7.26176e-018	0.865449	0.0706001	1.71388e-018	0.00823785	
        14	   385.422	       573	51.245	6.51421e-018	0.542758	0.0727359	1.42767e-018	0.00693584	
        15	   386.058	       573	51.5685	5.77868e-018	0.331943	0.0744276	1.18926e-018	0.00582276	
        16	   386.524	       573	51.7828	5.07581e-018	0.198368	0.0757515	9.90674e-019	0.00487743	
        17	    386.86	       573	51.9217	4.42022e-018	0.116173	0.0767765	8.25238e-019	0.00407874	
        18	   387.097	       573	52.0101	3.82067e-018	0.0669649	0.077563	6.87443e-019	0.00340668	
        19	   387.261	       573	52.0656	3.28359e-018	0.0382194	0.0780828	5.78046e-019	0.00286826	
        20	   387.372	       573	52.0999	2.80364e-018	0.0218073	0.0784921	4.8606e-019	0.00241383	
        21	   387.447	       573	52.121	2.41271e-018	0.0126022	0.0788133	4.08724e-019	0.00203079	
        22	   387.497	       573	52.1339	2.06737e-018	0.00749731	0.0790646	3.43686e-019	0.0017082	
        23	    387.53	       573	52.1418	1.74546e-018	0.00467113	0.0792608	2.88996e-019	0.00143668	
        24	    387.55	       573	52.1465	1.73276e-018	0.0031297	0.0794895	2.31611e-019	0.00115189	
        25	   387.563	       573	52.1495	1.51843e-018	0.00223374	0.0796426	1.85628e-019	0.000923442	
        26	   387.572	       573	52.1514	1.35305e-018	0.00168284	0.0797449	1.48776e-019	0.000740248	
        27	   387.578	       573	52.1527	1.1949e-018	0.00131907	0.0798133	1.19244e-019	0.000593375	
        28	   387.582	       573	52.1535	1.06272e-018	0.00106062	0.079859	9.55758e-020	0.000475635	
        29	   387.584	       573	52.1541	9.76861e-019	0.000865297	0.0798895	7.6608e-020	0.000381255	
        30	   387.586	       573	52.1545	8.95163e-019	0.00071103	0.0799099	6.14071e-020	0.000305605	
        31	   387.587	       573	52.1548	8.11017e-019	0.000585817	0.0799235	4.9225e-020	0.000244967	
        32	   387.587	       573	52.155	7.24402e-019	0.000482663	0.0799326	3.94619e-020	0.000196363	
        33	   387.588	       573	52.1551	6.49672e-019	0.000397094	0.0799387	3.16371e-020	0.000157404	
        34	   387.588	       573	52.1552	5.73769e-019	0.000325961	0.0799428	2.53656e-020	0.000126176	
        35	   387.588	       573	52.1553	4.99306e-019	0.000266866	0.0799455	2.03389e-020	0.000101144	
        36	   387.588	       573	52.1554	4.37527e-019	0.000217875	0.0799474	1.63094e-020	8.10792e-005	
        37	   387.588	       573	52.1554	3.726e-019	0.000177386	0.0799486	1.30793e-020	6.49954e-005	
        38	   387.588	       573	52.1555	3.13498e-019	0.000144039	0.0799495	1.04896e-020	5.21025e-005	
        39	   387.588	       573	52.1555	2.60678e-019	0.000116675	0.0799501	8.41318e-021	4.17675e-005	
        40	   387.588	       573	52.1555	2.14395e-019	9.43039e-005	0.0799505	6.74811e-021	3.34826e-005	
        41	   387.588	       573	52.1556	1.74356e-019	7.60783e-005	0.0799508	5.41279e-021	2.68412e-005	
        42	   387.588	       573	52.1556	1.48602e-019	6.12777e-005	0.0799509	4.34183e-021	2.15173e-005	
        43	   387.588	       573	52.1556	1.20193e-019	4.92927e-005	0.0799511	3.48294e-021	1.72494e-005	
        44	   387.588	       573	52.1556	9.67391e-020	3.96111e-005	0.0799512	2.79399e-021	1.3828e-005	
        45	   387.588	       573	52.1556	7.75986e-020	3.1806e-005	0.0799512	2.24134e-021	1.10853e-005	
        46	   387.588	       573	52.1556	6.21459e-020	2.55239e-005	0.0799513	1.79801e-021	8.8866e-006	
        47	   387.588	       573	52.1556	4.97768e-020	2.04737e-005	0.0799513	1.44236e-021	7.124e-006	
        48	   387.588	       573	52.1556	3.99397e-020	1.64179e-005	0.0799514	1.15706e-021	5.711e-006	
        49	   387.588	       573	52.1556	3.21389e-020	1.31627e-005	0.0799514	9.28186e-022	4.57826e-006	
        50	   387.588	       573	52.1556	2.59464e-020	1.05515e-005	0.0799514	7.44587e-022	3.67019e-006	
        51	   387.588	       573	52.1556	2.09954e-020	8.45747e-006	0.0799514	5.9731e-022	2.94223e-006	
        52	   387.588	       573	52.1556	1.69913e-020	6.77864e-006	0.0799514	4.7917e-022	2.35866e-006	
        53	   387.588	       573	52.1556	1.37069e-020	5.43287e-006	0.0799514	3.84404e-022	1.89084e-006	
        54	   387.588	       573	52.1556	1.098e-020	4.35417e-006	0.0799514	3.08385e-022	1.5158e-006	
