Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.00025   	580       	113       	-641.222  	0         	
0.000462352	580       	113       	-182.626  	0         	
0.000912721	580       	113       	-95.4988  	0         	
0.00185461	580       	113       	-66.7887  	0         	
0.00384222	580       	113       	-47.1513  	0         	
0.00789954	580       	113       	-33.107   	0         	
0.0161889 	580       	113       	-23.1991  	0         	
0.0331339 	580       	113       	-16.2447  	0         	
0.0678044 	580       	113       	-11.3693  	0         	
0.1       	580       	113       	-9.16011  	0         	
0.17569   	580       	113       	-6.91115  	0         	
0.341335  	580       	113       	-5.00803  	0         	
0.690152  	580       	113       	-3.58339  	0         	
1.42625   	580       	113       	-2.6308   	0         	
2.42625   	580       	113       	-2.17046  	0         	
3         	580       	113       	-2.02169  	0         	
4         	580       	113       	-1.87683  	0         	
5         	580       	113       	-1.78439  	0         	
6         	580       	113       	-1.71867  	0         	
7         	580       	113       	-1.66858  	0         	
8         	580       	113       	-1.62898  	0         	
9         	580       	113       	-1.59717  	0         	
10        	580       	113       	-1.57161  	0         	
11        	580       	113       	-1.55119  	0         	
12        	580       	113       	-1.53506  	0         	
13        	580       	113       	-1.5225   	0         	
14        	580       	113       	-1.51288  	0         	
15        	580       	113       	-1.50562  	0         	
16        	580       	113       	-1.50025  	0         	
17        	580       	113       	-1.49634  	0         	
18        	580       	113       	-1.49354  	0         	
19        	580       	113       	-1.49156  	0         	
20        	580       	113       	-1.49019  	0         	
21        	580       	113       	-1.48926  	0         	
22        	580       	113       	-1.48862  	0         	
23        	580       	113       	-1.4882   	0         	
24        	580       	113       	-1.48793  	0         	
25        	580       	113       	-1.48774  	0         	
26        	580       	113       	-1.48763  	0         	
27        	580       	113       	-1.48755  	0         	
28        	580       	113       	-1.4875   	0         	
29        	580       	113       	-1.48747  	0         	
30        	580       	113       	-1.48745  	0         	
31        	580       	113       	-1.48743  	0         	
32        	580       	113       	-1.48742  	0         	
33        	580       	113       	-1.48742  	0         	
34        	580       	113       	-1.48742  	0         	
35        	580       	113       	-1.48741  	0         	
36        	580       	113       	-1.48741  	0         	
37        	580       	113       	-1.48741  	0         	
38        	580       	113       	-1.48741  	0         	
39        	580       	113       	-1.48741  	0         	
40        	580       	113       	-1.48741  	0         	
41        	580       	113       	-1.48741  	0         	
42        	580       	113       	-1.48741  	0         	
43        	580       	113       	-1.48741  	0         	
44        	580       	113       	-1.48741  	0         	
45        	580       	113       	-1.48741  	0         	
46        	580       	113       	-1.48741  	0         	
47        	580       	113       	-1.48741  	0         	
48        	580       	113       	-1.48741  	0         	
49        	580       	113       	-1.48741  	0         	
50        	580       	113       	-1.48741  	0         	
51        	580       	113       	-1.48741  	0         	
52        	580       	113       	-1.48741  	0         	
53        	580       	113       	-1.48741  	0         	
54        	580       	113       	-1.48741  	0         	
55        	580       	113       	-1.48741  	0         	
56        	580       	113       	-1.48741  	0         	
57        	580       	113       	-1.48741  	0         	
58        	580       	113       	-1.48741  	0         	
59        	580       	113       	-1.48741  	0         	
60        	580       	113       	-1.48741  	0         	
61        	580       	113       	-1.48741  	0         	
62        	580       	113       	-1.48741  	0         	
63        	580       	113       	-1.48741  	0         	
64        	580       	113       	-1.48741  	0         	
65        	580       	113       	-1.48741  	0         	
66        	580       	113       	-1.48741  	0         	
67        	580       	113       	-1.48741  	0         	
68        	580       	113       	-1.48741  	0         	
69        	580       	113       	-1.48741  	0         	
70        	580       	113       	-1.48741  	0         	
71        	580       	113       	-1.48741  	0         	
72        	580       	113       	-1.48741  	0         	
73        	580       	113       	-1.48741  	0         	
74        	580       	113       	-1.48741  	0         	
75        	580       	113       	-1.48741  	0         	
76        	580       	113       	-1.48741  	0         	
77        	580       	113       	-1.48741  	0         	
78        	580       	113       	-1.48741  	0         	
79        	580       	113       	-1.48741  	0         	
80        	580       	113       	-1.48741  	0         	
81        	580       	113       	-1.48741  	0         	
82        	580       	113       	-1.48741  	0         	
83        	580       	113       	-1.48741  	0         	
84        	580       	113       	-1.48741  	0         	
85        	580       	113       	-1.48741  	0         	
86        	580       	113       	-1.48741  	0         	
87        	580       	113       	-1.48741  	0         	
88        	580       	113       	-1.48741  	0         	
89        	580       	113       	-1.48741  	0         	
90        	580       	113       	-1.48741  	0         	
91        	580       	113       	-1.48741  	0         	
92        	580       	113       	-1.48741  	0         	
93        	580       	113       	-1.48741  	0         	
94        	580       	113       	-1.48741  	0         	
95        	580       	113       	-1.48741  	0         	
96        	580       	113       	-1.48741  	0         	
97        	580       	113       	-1.48741  	0         	
98        	580       	113       	-1.48741  	0         	
99        	580       	113       	-1.48741  	0         	
100       	580       	113       	-1.48741  	0         	
101       	580       	113       	-1.48741  	0         	
102       	580       	113       	-1.48741  	0         	
103       	580       	113       	-1.48741  	0         	
104       	580       	113       	-1.48741  	0         	
105       	580       	113       	-1.48741  	0         	
106       	580       	113       	-1.48741  	0         	
107       	580       	113       	-1.48741  	0         	
108       	580       	113       	-1.48741  	0         	
109       	580       	113       	-1.48741  	0         	
110       	580       	113       	-1.48741  	0         	
111       	580       	113       	-1.48741  	0         	
112       	580       	113       	-1.48741  	0         	
113       	580       	113       	-1.48741  	0         	
114       	580       	113       	-1.48741  	0         	
115       	580       	113       	-1.48741  	0         	
116       	580       	113       	-1.48741  	0         	
117       	580       	113       	-1.48741  	0         	
118       	580       	113       	-1.48741  	0         	
119       	580       	113       	-1.48741  	0         	
120       	580       	113       	-1.48741  	0         	
121       	580       	113       	-1.48741  	0         	
122       	580       	113       	-1.48741  	0         	
123       	580       	113       	-1.48741  	0         	
124       	580       	113       	-1.48741  	0         	
125       	580       	113       	-1.48741  	0         	
126       	580       	113       	-1.48741  	0         	
127       	580       	113       	-1.48741  	0         	
128       	580       	113       	-1.48741  	0         	
129       	580       	113       	-1.48741  	0         	
130       	580       	113       	-1.48741  	0         	
131       	580       	113       	-1.48741  	0         	
132       	580       	113       	-1.48741  	0         	
133       	580       	113       	-1.48741  	0         	
134       	580       	113       	-1.48741  	0         	
135       	580       	113       	-1.48741  	0         	
136       	580       	113       	-1.48741  	0         	
137       	580       	113       	-1.48741  	0         	
138       	580       	113       	-1.48741  	0         	
139       	580       	113       	-1.48741  	0         	
140       	580       	113       	-1.48741  	0         	
141       	580       	113       	-1.48741  	0         	
142       	580       	113       	-1.48741  	0         	
143       	580       	113       	-1.48741  	0         	
144       	580       	113       	-1.48741  	0         	
145       	580       	113       	-1.48741  	0         	
146       	580       	113       	-1.48741  	0         	
147       	580       	113       	-1.48741  	0         	
148       	580       	113       	-1.48741  	0         	
149       	580       	113       	-1.48741  	0         	
150       	580       	113       	-1.48741  	0         	
