Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.00025   	14.5      	113       	367.078   	0         	
0.000462352	14.5      	113       	136.105   	0         	
0.000912721	14.5      	113       	62.6545   	0         	
0.00185461	14.5      	113       	36.7447   	0         	
0.00384222	14.5      	113       	24.0359   	0         	
0.00789954	14.5      	113       	16.2284   	0         	
0.0161889 	14.5      	113       	11.0555   	0         	
0.0331339 	14.5      	113       	7.57515   	0         	
0.0678044 	14.5      	113       	5.21468   	0         	
0.1       	14.5      	113       	4.16505   	0         	
0.17569   	14.5      	113       	3.11472   	0         	
0.341335  	14.5      	113       	2.24541   	0         	
0.690152  	14.5      	113       	1.64838   	0         	
1.42625   	14.5      	113       	1.40602   	0         	
2.42625   	14.5      	113       	1.4175    	0         	
3         	14.5      	113       	1.44614   	0         	
4         	14.5      	113       	1.46353   	0         	
5         	14.5      	113       	1.45141   	0         	
6         	14.5      	113       	1.43011   	0         	
7         	14.5      	113       	1.4132    	0         	
8         	14.5      	113       	1.40533   	0         	
9         	14.5      	113       	1.40598   	0         	
10        	14.5      	113       	1.41267   	0         	
11        	14.5      	113       	1.42277   	0         	
12        	14.5      	113       	1.43409   	0         	
13        	14.5      	113       	1.44513   	0         	
14        	14.5      	113       	1.455     	0         	
15        	14.5      	113       	1.46329   	0         	
16        	14.5      	113       	1.46992   	0         	
17        	14.5      	113       	1.47502   	0         	
18        	14.5      	113       	1.47881   	0         	
19        	14.5      	113       	1.48156   	0         	
20        	14.5      	113       	1.48349   	0         	
21        	14.5      	113       	1.48482   	0         	
22        	14.5      	113       	1.48572   	0         	
23        	14.5      	113       	1.48632   	0         	
24        	14.5      	113       	1.48668   	0         	
25        	14.5      	113       	1.48694   	0         	
26        	14.5      	113       	1.48711   	0         	
27        	14.5      	113       	1.48722   	0         	
28        	14.5      	113       	1.4873    	0         	
29        	14.5      	113       	1.48734   	0         	
30        	14.5      	113       	1.48737   	0         	
31        	14.5      	113       	1.48739   	0         	
32        	14.5      	113       	1.4874    	0         	
33        	14.5      	113       	1.4874    	0         	
34        	14.5      	113       	1.48741   	0         	
35        	14.5      	113       	1.48741   	0         	
36        	14.5      	113       	1.48741   	0         	
37        	14.5      	113       	1.48741   	0         	
38        	14.5      	113       	1.48741   	0         	
39        	14.5      	113       	1.48741   	0         	
40        	14.5      	113       	1.48741   	0         	
41        	14.5      	113       	1.48741   	0         	
42        	14.5      	113       	1.48741   	0         	
43        	14.5      	113       	1.48741   	0         	
44        	14.5      	113       	1.48741   	0         	
45        	14.5      	113       	1.48741   	0         	
46        	14.5      	113       	1.48741   	0         	
47        	14.5      	113       	1.48741   	0         	
48        	14.5      	113       	1.48741   	0         	
49        	14.5      	113       	1.48741   	0         	
50        	14.5      	113       	1.48741   	0         	
51        	14.5      	113       	1.48741   	0         	
52        	14.5      	113       	1.48741   	0         	
53        	14.5      	113       	1.48741   	0         	
54        	14.5      	113       	1.48741   	0         	
55        	14.5      	113       	1.48741   	0         	
56        	14.5      	113       	1.48741   	0         	
57        	14.5      	113       	1.48741   	0         	
58        	14.5      	113       	1.48741   	0         	
59        	14.5      	113       	1.48741   	0         	
60        	14.5      	113       	1.48741   	0         	
61        	14.5      	113       	1.48741   	0         	
62        	14.5      	113       	1.48741   	0         	
63        	14.5      	113       	1.48741   	0         	
64        	14.5      	113       	1.48741   	0         	
65        	14.5      	113       	1.48741   	0         	
66        	14.5      	113       	1.48741   	0         	
67        	14.5      	113       	1.48741   	0         	
68        	14.5      	113       	1.48741   	0         	
69        	14.5      	113       	1.48741   	0         	
70        	14.5      	113       	1.48741   	0         	
71        	14.5      	113       	1.48741   	0         	
72        	14.5      	113       	1.48741   	0         	
73        	14.5      	113       	1.48741   	0         	
74        	14.5      	113       	1.48741   	0         	
75        	14.5      	113       	1.48741   	0         	
76        	14.5      	113       	1.48741   	0         	
77        	14.5      	113       	1.48741   	0         	
78        	14.5      	113       	1.48741   	0         	
79        	14.5      	113       	1.48741   	0         	
80        	14.5      	113       	1.48741   	0         	
81        	14.5      	113       	1.48741   	0         	
82        	14.5      	113       	1.48741   	0         	
83        	14.5      	113       	1.48741   	0         	
84        	14.5      	113       	1.48741   	0         	
85        	14.5      	113       	1.48741   	0         	
86        	14.5      	113       	1.48741   	0         	
87        	14.5      	113       	1.48741   	0         	
88        	14.5      	113       	1.48741   	0         	
89        	14.5      	113       	1.48741   	0         	
90        	14.5      	113       	1.48741   	0         	
91        	14.5      	113       	1.48741   	0         	
92        	14.5      	113       	1.48741   	0         	
93        	14.5      	113       	1.48741   	0         	
94        	14.5      	113       	1.48741   	0         	
95        	14.5      	113       	1.48741   	0         	
96        	14.5      	113       	1.48741   	0         	
97        	14.5      	113       	1.48741   	0         	
98        	14.5      	113       	1.48741   	0         	
99        	14.5      	113       	1.48741   	0         	
100       	14.5      	113       	1.48741   	0         	
101       	14.5      	113       	1.48741   	0         	
102       	14.5      	113       	1.48741   	0         	
103       	14.5      	113       	1.48741   	0         	
104       	14.5      	113       	1.48741   	0         	
105       	14.5      	113       	1.48741   	0         	
106       	14.5      	113       	1.48741   	0         	
107       	14.5      	113       	1.48741   	0         	
108       	14.5      	113       	1.48741   	0         	
109       	14.5      	113       	1.48741   	0         	
110       	14.5      	113       	1.48741   	0         	
111       	14.5      	113       	1.48741   	0         	
112       	14.5      	113       	1.48741   	0         	
113       	14.5      	113       	1.48741   	0         	
114       	14.5      	113       	1.48741   	0         	
115       	14.5      	113       	1.48741   	0         	
116       	14.5      	113       	1.48741   	0         	
117       	14.5      	113       	1.48741   	0         	
118       	14.5      	113       	1.48741   	0         	
119       	14.5      	113       	1.48741   	0         	
120       	14.5      	113       	1.48741   	0         	
121       	14.5      	113       	1.48741   	0         	
122       	14.5      	113       	1.48741   	0         	
