 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	comp2	comp3	comp4	comp5	comp6	comp7	comp8	comp9	comp10	comp11	comp12	min0	min1	min2	min3	min4	min5	min6	min7	
day	psi	F	**	**	**	**	**	**	**	**	**	**	**	**	**	
         0	       502	       582	2.10581	32929	0.000338734	1.85681e-009	0.162161	0.28064	5.86752	14.9477	1.55134	1.26863	0.000250936	2.6636e-005	7.59334e-007	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
    0.0001	   531.378	       582	2.11297	32928.8	0.000638123	6.63963e-009	0.16216	0.280639	5.86749	14.9476	1.55133	1.26917	0.000133422	1.41589e-005	7.66747e-007	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
0.000315087	   529.834	       582	2.1281	32928.6	0.000642683	7.5903e-009	0.162159	0.280637	5.86745	14.9475	1.55132	1.26917	0.000133087	1.41234e-005	8.06917e-007	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
0.00079717	   527.867	       582	2.15889	32928.2	0.000651946	1.19722e-008	0.162158	0.280634	5.86739	14.9474	1.5513	1.26918	0.000132828	1.40958e-005	8.8051e-007	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
0.00193506	   525.147	       582	2.22257	32927.8	0.000671027	3.82599e-008	0.162158	0.28063	5.8673	14.9472	1.55128	1.2692	0.000132657	1.40776e-005	1.02426e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
0.00465213	   521.339	       582	2.34962	32927	0.000708772	1.9617e-007	0.162158	0.280624	5.86717	14.9469	1.55125	1.26926	0.000132556	1.40666e-005	1.25744e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
 0.0111553	   516.017	       582	2.5909	32925.9	0.000779116	9.21478e-007	0.162163	0.280615	5.86696	14.9464	1.55121	1.26941	0.000132479	1.40579e-005	1.49645e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
 0.0267404	    508.67	       582	3.04973	32924.1	0.000907679	3.25546e-006	0.162178	0.280603	5.86664	14.9456	1.55115	1.26976	0.000132354	1.40435e-005	1.60791e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
 0.0644548	   499.596	       582	4.09425	32921	0.00117774	9.38168e-006	0.162248	0.280583	5.8661	14.9446	1.55111	1.27097	0.000132079	1.40091e-005	1.59023e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
  0.159368	   496.764	       582	5.86571	32914.7	0.00153467	2.43772e-005	0.162454	0.280546	5.86498	14.9426	1.55109	1.27394	0.00013146	1.3936e-005	1.67286e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
  0.208343	   498.738	       582	6.11588	32911.5	0.00153413	3.19692e-005	0.162563	0.280527	5.86441	14.9416	1.55108	1.2753	0.000131343	1.39201e-005	1.79226e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
  0.257134	   499.459	       582	6.34686	32908.3	0.00153196	3.95877e-005	0.162671	0.280508	5.86384	14.9406	1.55106	1.27665	0.000131242	1.39058e-005	1.92968e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
  0.307376	   499.784	       582	6.61333	32905	0.00153703	4.76752e-005	0.162816	0.280489	5.86325	14.9398	1.5511	1.27849	0.000131205	1.38951e-005	2.08149e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
  0.359186	   499.944	       582	6.92166	32901.6	0.00154977	5.64894e-005	0.162968	0.28047	5.86265	14.9389	1.55113	1.28041	0.000131162	1.38843e-005	2.24142e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
  0.412389	   500.028	       582	7.27294	32898.1	0.00156962	6.61867e-005	0.163126	0.280451	5.86202	14.9379	1.55117	1.2824	0.00013112	1.38742e-005	2.39925e-006	41248.8	63219.6	172564	281030	99113.4	45818.4	64025.4	222156	
