Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.0001    	600       	122       	-28.6816  	0         	
0.000315087	600       	122       	-26.5795  	0         	
0.00079717	600       	122       	-24.1272  	0         	
0.00193506	600       	122       	-21.1343  	0         	
0.00465213	600       	122       	-17.6594  	0         	
0.0111553 	600       	122       	-14.0109  	0         	
0.0267404 	600       	122       	-11.1174  	0         	
0.0644548 	600       	122       	-10.4598  	0         	
0.159368  	600       	122       	-7.05095  	0         	
0.208343  	600       	122       	-1.9347   	0         	
0.257134  	600       	122       	-1.79361  	0         	
0.307376  	600       	122       	-2.01019  	0         	
0.359186  	600       	122       	-2.25466  	0         	
0.412389  	600       	122       	-2.50057  	0         	
0.466863  	600       	122       	-2.74392  	0         	
0.522549  	600       	122       	-2.98346  	0         	
0.579428  	600       	122       	-3.21866  	0         	
0.637508  	600       	122       	-3.44933  	0         	
0.696805  	600       	122       	-3.67545  	0         	
0.757343  	600       	122       	-3.89705  	0         	
0.819148  	600       	122       	-1.91626  	0         	
0.893122  	600       	122       	-1.48326  	0         	
0.963964  	600       	122       	-1.71043  	0         	
1         	600       	122       	-1.83319  	0         	
1.0565    	600       	122       	-2.01474  	0         	
1.1287    	600       	122       	-2.22861  	0         	
1.21175   	600       	122       	-2.45432  	0         	
1.30313   	600       	122       	-2.68253  	0         	
1.40178   	600       	122       	-2.90983  	0         	
1.50723   	600       	122       	-3.13546  	0         	
1.61902   	600       	122       	-2.12979  	0         	
1.73685   	600       	122       	-1.63712  	0         	
1.83004   	600       	122       	-1.86647  	0         	
1.92483   	600       	122       	-2.10291  	0         	
2.02769   	600       	122       	-2.33087  	0         	
2.14128   	600       	122       	-2.55395  	0         	
2.26703   	600       	122       	-2.77441  	0         	
2.40567   	600       	122       	-2.63615  	0         	
2.56926   	600       	122       	-1.6415   	0         	
2.67529   	600       	122       	-1.84927  	0         	
2.78065   	600       	122       	-2.08164  	0         	
2.89602   	600       	122       	-2.30439  	0         	
3.02593   	600       	122       	-2.52145  	0         	
3.17311   	600       	122       	-2.73498  	0         	
3.33947   	600       	122       	-1.9981   	0         	
3.48181   	600       	122       	-1.74848  	0         	
3.5948    	600       	122       	-1.95801  	0         	
3.71295   	600       	122       	-2.18135  	0         	
3.84575   	600       	122       	-2.3971   	0         	
3.99828   	600       	122       	-2.60735  	0         	
4.17424   	600       	122       	-2.24892  	0         	
4.37046   	600       	122       	-1.7882   	0         	
4.4968    	600       	122       	-1.98654  	0         	
4.62503   	600       	122       	-2.20803  	0         	
4.76927   	600       	122       	-2.42088  	0         	
4.93661   	600       	122       	-2.62735  	0         	
5.13234   	600       	122       	-1.87433  	0         	
5.26984   	600       	122       	-1.813    	0         	
5.39085   	600       	122       	-2.00742  	0         	
5.52232   	600       	122       	-2.22166  	0         	
5.67426   	600       	122       	-2.43032  	0         	
5.85353   	600       	122       	-2.63335  	0         	
6.06621   	600       	122       	-1.75289  	0         	
6.19043   	600       	122       	-1.85466  	0         	
6.31342   	600       	122       	-2.06017  	0         	
6.45218   	600       	122       	-2.27176  	0         	
6.61551   	600       	122       	-2.47718  	0         	
6.81077   	600       	122       	-2.33361  	0         	
7.06347   	600       	122       	-1.88476  	0         	
7.2065    	600       	122       	-2.0444   	0         	
7.35148   	600       	122       	-2.25302  	0         	
7.51758   	600       	122       	-2.45947  	0         	
7.71557   	600       	122       	-2.25164  	0         	
7.93868   	600       	122       	-1.88206  	0         	
8.07831   	600       	122       	-2.02229  	0         	
8.22217   	600       	122       	-2.22472  	0         	
8.38825   	600       	122       	-2.43032  	0         	
8.58752   	600       	122       	-2.32023  	0         	
8.84322   	600       	122       	-1.92225  	0         	
8.98932   	600       	122       	-2.05173  	0         	
9.13853   	600       	122       	-2.24947  	0         	
9.3111    	600       	122       	-2.45348  	0         	
9.51926   	600       	122       	-2.1804   	0         	
9.7145    	600       	122       	-1.91603  	0         	
9.8519    	600       	122       	-2.02755  	0         	
9.99681   	600       	122       	-2.21702  	0         	
10        	600       	122       	-2.22123  	0         	
10.0092   	600       	122       	-2.23361  	0         	
10.0345   	600       	122       	-2.26777  	0         	
10.0947   	600       	122       	-2.34598  	0         	
10.2103   	600       	122       	-2.47775  	0         	
10.3894   	600       	122       	-2.21099  	0         	
10.5735   	600       	122       	-1.9128   	0         	
10.7048   	600       	122       	-1.99354  	0         	
10.8434   	600       	122       	-2.17101  	0         	
11.0056   	600       	122       	-2.37184  	0         	
11.203    	600       	122       	-2.48109  	0         	
11.4545   	600       	122       	-1.96274  	0         	
11.5925   	600       	122       	-2.00561  	0         	
11.7326   	600       	122       	-2.16853  	0         	
11.895    	600       	122       	-2.36535  	0         	
12.0924   	600       	122       	-2.44524  	0         	
12.3474   	600       	122       	-1.99388  	0         	
12.4881   	600       	122       	-2.03357  	0         	
12.6315   	600       	122       	-2.19045  	0         	
12.7982   	600       	122       	-2.38456  	0         	
13.0015   	600       	122       	-2.36016  	0         	
13.2691   	600       	122       	-2.04052  	0         	
13.419    	600       	122       	-2.10304  	0         	
13.573    	600       	122       	-2.26414  	0         	
13.7534   	600       	122       	-2.45776  	0         	
13.975    	600       	122       	-2.14747  	0         	
14.1341   	600       	122       	-2.01625  	0         	
14.2684   	600       	122       	-2.08368  	0         	
14.4162   	600       	122       	-2.24054  	0         	
14.5929   	600       	122       	-2.43297  	0         	
14.8116   	600       	122       	-2.24238  	0         	
14.9957   	600       	122       	-2.05676  	0         	
15.1329   	600       	122       	-2.09787  	0         	
15.2805   	600       	122       	-2.23932  	0         	
15.4556   	600       	122       	-2.42531  	0         	
15.6723   	600       	122       	-2.26581  	0         	
15.8592   	600       	122       	-2.08066  	0         	
15.9965   	600       	122       	-2.11031  	0         	
16.1437   	600       	122       	-2.24182  	0         	
16.3185   	600       	122       	-2.42295  	0         	
16.535    	600       	122       	-2.27811  	0         	
16.72     	600       	122       	-2.10321  	0         	
16.8567   	600       	122       	-2.12441  	0         	
17.0037   	600       	122       	-2.24683  	0         	
17.1784   	600       	122       	-2.42295  	0         	
17.3951   	600       	122       	-2.28738  	0         	
17.5766   	600       	122       	-2.12498  	0         	
