Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.0001    	400       	122       	0         	110.738   	
0.000315087	400       	122       	0         	59.8824   	
0.00079717	400       	122       	0         	36.2507   	
0.00193506	400       	122       	0         	22.9479   	
0.00465213	400       	122       	0         	14.7397   	
0.0111553 	400       	122       	0         	9.5152    	
0.0267404 	400       	122       	0         	6.22753   	
0.0644548 	400       	122       	0         	4.35027   	
0.159368  	400       	122       	0         	3.58809   	
0.208343  	400       	122       	0         	3.51461   	
0.257134  	400       	122       	0         	3.52196   	
0.307376  	400       	122       	0         	3.53791   	
0.359186  	400       	122       	0         	3.5486    	
0.412389  	400       	122       	0         	3.55447   	
0.466863  	400       	122       	0         	3.55762   	
0.522549  	400       	122       	0         	3.55942   	
0.579428  	400       	122       	0         	3.56059   	
0.637508  	400       	122       	0         	3.56148   	
0.696805  	400       	122       	0         	3.56224   	
0.757343  	400       	122       	0         	3.56294   	
0.819148  	400       	122       	0         	3.57677   	
0.893122  	400       	122       	0         	3.59208   	
0.963964  	400       	122       	0         	3.59868   	
1         	400       	122       	0         	3.60022   	
1.0565    	400       	122       	0         	3.60032   	
1.1287    	400       	122       	0         	3.59918   	
1.21175   	400       	122       	0         	3.59762   	
1.30313   	400       	122       	0         	3.59612   	
1.40178   	400       	122       	0         	3.59488   	
1.50723   	400       	122       	0         	3.59392   	
1.61902   	400       	122       	0         	3.60817   	
1.73685   	400       	122       	0         	3.62249   	
1.83004   	400       	122       	0         	3.62575   	
1.92483   	400       	122       	0         	3.62472   	
2.02769   	400       	122       	0         	3.62231   	
2.14128   	400       	122       	0         	3.61978   	
2.26703   	400       	122       	0         	3.61755   	
2.40567   	400       	122       	0         	3.62229   	
2.56926   	400       	122       	0         	3.6459    	
2.67529   	400       	122       	0         	3.65018   	
2.78065   	400       	122       	0         	3.64843   	
2.89602   	400       	122       	0         	3.64488   	
3.02593   	400       	122       	0         	3.64122   	
3.17311   	400       	122       	0         	3.63804   	
3.33947   	400       	122       	0         	3.65893   	
3.48181   	400       	122       	0         	3.6728    	
3.5948    	400       	122       	0         	3.67338   	
3.71295   	400       	122       	0         	3.66948   	
3.84575   	400       	122       	0         	3.66457   	
3.99828   	400       	122       	0         	3.66      	
4.17424   	400       	122       	0         	3.67394   	
4.37046   	400       	122       	0         	3.69575   	
4.4968    	400       	122       	0         	3.69634   	
4.62503   	400       	122       	0         	3.69135   	
4.76927   	400       	122       	0         	3.68526   	
4.93661   	400       	122       	0         	3.67964   	
5.13234   	400       	122       	0         	3.71175   	
5.26984   	400       	122       	0         	3.72277   	
5.39085   	400       	122       	0         	3.72049   	
5.52232   	400       	122       	0         	3.71367   	
5.67426   	400       	122       	0         	3.70616   	
5.85353   	400       	122       	0         	3.69937   	
