 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	comp2	comp3	comp4	min0	
day	psi	F	**	**	**	**	**	
         0	    40.647	   1109.67	0.320972	0	0.0802431	4.01215e-021	4.01215e-021	858.858	
      0.01	   31.3356	   1109.67	0.240342	0.0599263	0.00601944	0.00219605	0.000823821	858.738	
  0.037319	   30.2067	   1109.67	0.213724	0.052835	0.0264538	0.00851298	0.00141557	858.412	
  0.107112	   30.1382	   1109.67	0.172992	0.0415962	0.0762956	0.0245891	0.00270368	857.584	
  0.240373	    30.122	   1109.67	0.115465	0.0256588	0.149544	0.0549601	0.00513105	856.018	
  0.424797	   30.1084	   1109.67	0.068591	0.0126727	0.209491	0.0963967	0.0084451	853.88	
   0.63606	   30.0988	   1109.67	0.0423587	0.00542373	0.242781	0.143104	0.0121822	851.471	
  0.859723	   30.0934	   1109.67	0.0303462	0.00212482	0.25762	0.191718	0.0160726	848.963	
   1.08985	   30.0907	   1109.67	0.0253985	0.000784618	0.263245	0.240869	0.0200065	846.428	
   1.32433	   30.0889	   1109.67	0.0234646	0.000277481	0.264901	0.290067	0.0239443	843.89	
   1.56251	   30.0877	   1109.67	0.0227089	9.48921e-005	0.264969	0.339143	0.0278726	841.359	
   1.80423	   30.0866	   1109.67	0.0223874	3.1583e-005	0.264424	0.388044	0.0317871	838.836	
         2	   30.0859	   1109.67	0.0222426	1.18896e-005	0.26381	0.427063	0.0349106	836.823	
   2.22892	   30.0851	   1109.67	0.0221294	4.01118e-006	0.263007	0.471904	0.0385003	834.51	
    2.4739	   30.0842	   1109.67	0.0220298	1.28548e-006	0.262109	0.519004	0.0422711	832.081	
   2.72742	   30.0834	   1109.67	0.0219344	4.01131e-007	0.261165	0.56682	0.0460993	829.614	
   2.98689	   30.0826	   1109.67	0.0218401	1.23081e-007	0.260195	0.614802	0.0499409	827.139	
   3.25162	   30.0819	   1109.67	0.0217457	3.72911e-008	0.259211	0.662782	0.0537825	824.664	
   3.52166	   30.0812	   1109.67	0.021651	1.11748e-008	0.258214	0.710733	0.0576219	822.191	
   3.79737	   30.0806	   1109.67	0.0215561	3.31483e-009	0.257209	0.758677	0.0614607	819.718	
   4.07928	   30.0801	   1109.67	0.0214609	9.73648e-010	0.256196	0.806662	0.0653029	817.243	
   4.36807	   30.0797	   1109.67	0.0213653	2.83138e-010	0.255176	0.854754	0.0691538	814.762	
   4.66463	   30.0795	   1109.67	0.0212695	8.14713e-011	0.254149	0.903042	0.0730202	812.271	
   4.97006	   30.0793	   1109.67	0.0211732	2.31724e-011	0.253116	0.951638	0.0769113	809.765	
   5.28582	   30.0794	   1109.67	0.0210764	6.50421e-012	0.252074	1.00069	0.0808387	807.234	
   5.61382	    30.079	   1109.67	0.0209784	1.79732e-012	0.251019	1.05039	0.0848183	804.671	
   5.95639	   30.0785	   1109.67	0.0208792	4.87579e-013	0.249949	1.10098	0.0888685	802.061	
    6.3166	    30.078	   1109.67	0.0207783	1.29364e-013	0.24886	1.15273	0.0930128	799.392	
   6.69874	   30.0776	   1109.67	0.020675	3.33927e-014	0.247746	1.20608	0.0972844	796.64	
   7.10892	   30.0771	   1109.67	0.0205685	8.32556e-015	0.246598	1.2616	0.10173	793.776	
   7.55627	   30.0766	   1109.67	0.0204571	1.98454e-015	0.245401	1.32014	0.106417	790.757	
   8.05539	    30.076	   1109.67	0.0203385	4.45443e-016	0.244131	1.38304	0.111455	787.512	
   8.63209	   30.0754	   1109.67	0.0202084	9.18972e-017	0.242743	1.45265	0.117029	783.921	
   9.31449	   30.0743	   1109.67	0.020062	1.71652e-017	0.24119	1.53093	0.123296	779.884	
    9.9641	   30.0729	   1109.67	0.0199272	3.45197e-018	0.239765	1.6019	0.12898	776.223	
        10	   30.0729	   1109.67	0.0199196	2.83129e-018	0.239685	1.60581	0.129293	776.021	
   10.0953	   30.0726	   1109.67	0.0198995	1.79248e-018	0.239472	1.61613	0.130119	775.489	
   10.3073	    30.072	   1109.67	0.0198555	7.88761e-019	0.239006	1.63869	0.131926	774.325	
   10.6599	    30.071	   1109.67	0.0197836	2.56923e-019	0.238246	1.67523	0.134851	772.441	
   11.1001	   30.0695	   1109.67	0.0196949	7.31457e-020	0.237309	1.71937	0.138385	770.164	
    11.566	   30.0677	   1109.67	0.0196016	2.04357e-020	0.236325	1.76446	0.141994	767.838	
   12.0295	    30.066	   1109.67	0.019509	5.85579e-021	0.235348	1.80779	0.14546	765.603	
   12.4842	   30.0642	   1109.67	0.0194181	1.73734e-021	0.234388	1.84886	0.148743	763.484	
   12.9307	   30.0624	   1109.67	0.0193286	5.3274e-022	0.233443	1.88785	0.151858	761.473	
   13.3715	   30.0608	   1109.67	0.0192399	1.68117e-022	0.232507	1.9251	0.154829	759.552	
   13.8092	   30.0591	   1109.67	0.0191515	5.43687e-023	0.231575	1.96087	0.157677	757.706	
   14.2459	   30.0576	   1109.67	0.0190629	1.79553e-023	0.230643	1.9954	0.160421	755.925	
   14.6833	   30.0561	   1109.67	0.0189737	6.03813e-024	0.229708	2.02887	0.163073	754.198	
   15.1229	   30.0548	   1109.67	0.0188836	2.06301e-024	0.228768	2.06141	0.165641	752.519	
    15.566	   30.0536	   1109.67	0.0187921	7.14795e-025	0.22782	2.09313	0.168132	750.882	
   16.0138	   30.0525	   1109.67	0.0186991	2.50776e-025	0.226864	2.12411	0.170552	749.283	
   16.4674	   30.0515	   1109.67	0.0186043	8.89752e-026	0.225899	2.15443	0.172901	747.718	
   16.9275	   30.0504	   1109.67	0.018507	3.18941e-026	0.224922	2.18414	0.175181	746.184	
   17.3946	   30.0492	   1109.67	0.0184072	1.15472e-026	0.223935	2.21325	0.177389	744.68	
   17.8696	   30.0482	   1109.67	0.0183046	4.21983e-027	0.222939	2.24181	0.179521	743.205	
   18.3532	   30.0472	   1109.67	0.0181986	1.55541e-027	0.221934	2.26984	0.181574	741.757	
   18.8464	   30.0464	   1109.67	0.0180887	5.77816e-028	0.220919	2.29737	0.183543	740.334	
   19.3503	   30.0456	   1109.67	0.0179743	2.16163e-028	0.219896	2.32444	0.185421	738.934	
   19.8661	    30.045	   1109.67	0.0178546	8.13593e-029	0.218864	2.35109	0.187199	737.555	
   20.3953	   30.0446	   1109.67	0.0177287	3.07744e-029	0.217823	2.37734	0.188867	736.195	
   20.9395	   30.0444	   1109.67	0.0175954	1.16834e-029	0.216774	2.40325	0.190409	734.853	
   21.5011	   30.0444	   1109.67	0.0174534	4.44488e-030	0.215717	2.42886	0.191808	733.525	
   22.0828	   30.0445	   1109.67	0.0173009	1.69102e-030	0.214651	2.45424	0.193042	732.208	
   22.6892	   30.0447	   1109.67	0.0171352	6.41041e-031	0.213574	2.4795	0.194083	730.895	
   23.3264	   30.0453	   1109.67	0.0169533	2.41125e-031	0.212485	2.50477	0.194889	729.58	
   24.0016	   30.0464	   1109.67	0.0167511	8.95568e-032	0.211383	2.53022	0.195405	728.255	
   24.7263	   30.0481	   1109.67	0.0165227	3.26076e-032	0.210268	2.55606	0.195545	726.907	
   25.5195	   30.0507	   1109.67	0.016259	1.15035e-032	0.209133	2.5827	0.195178	725.516	
   26.3756	   30.0531	   1109.67	0.0159575	3.96853e-033	0.208002	2.60966	0.194146	724.106	
   27.2345	   30.0553	   1109.67	0.0156382	1.4019e-033	0.20696	2.63504	0.192444	722.778	
   28.0739	   30.0572	   1109.67	0.0153115	5.14501e-034	0.206031	2.65836	0.190131	721.557	
   28.8883	   30.0584	   1109.67	0.014983	1.96543e-034	0.205209	2.6797	0.187272	720.442	
   29.6788	   30.0587	   1109.67	0.0146565	2.76101e-021	0.20448	2.69929	0.183928	719.42	
   30.4492	   30.0582	   1109.67	0.0143356	2.97779e-021	0.203832	2.71741	0.180152	718.479	
   31.2049	    30.057	   1109.67	0.0140235	1.54108e-020	0.203258	2.73432	0.175988	717.605	
   31.9509	   30.0552	   1109.67	0.013724	1.32894e-020	0.202757	2.75024	0.171476	716.788	
   32.6958	   30.0529	   1109.67	0.01344	7.88324e-021	0.202335	2.76545	0.166632	716.015	
   33.4498	   30.0501	   1109.67	0.0131751	1.46955e-020	0.202009	2.78019	0.161456	715.274	
   34.2148	    30.047	   1109.67	0.0129362	1.03881e-020	0.201808	2.79452	0.156014	714.563	
   34.9999	   30.0436	   1109.67	0.0127289	6.85438e-021	0.201756	2.8086	0.150333	713.872	
   35.8175	   30.0399	   1109.67	0.0125577	4.12045e-021	0.201857	2.82261	0.144438	713.194	
   36.6821	   30.0362	   1109.67	0.0124251	2.30656e-021	0.202055	2.8367	0.138369	712.519	
   37.6103	   30.0326	   1109.67	0.0123312	1.21922e-021	0.202207	2.85098	0.132204	711.84	
   38.6199	   30.0291	   1109.67	0.0122766	6.14578e-022	0.202121	2.86552	0.126081	711.15	
   39.7292	   30.0257	   1109.67	0.0122651	2.9807e-022	0.201625	2.88031	0.120206	710.448	
   40.9691	   30.0224	   1109.67	0.0123051	1.39802e-022	0.200624	2.89545	0.114791	709.725	
   42.3758	   30.0194	   1109.67	0.0124059	6.37789e-023	0.199093	2.91096	0.110088	708.977	
   43.9842	   30.0167	   1109.67	0.0125678	2.85376e-023	0.197061	2.92679	0.106339	708.204	
   45.8333	   30.0142	   1109.67	0.0127729	1.26039e-023	0.19458	2.94283	0.103656	707.409	
   47.9628	   30.0121	   1109.67	0.0129818	5.51482e-024	0.191717	2.95898	0.101961	706.598	
   50.4078	   30.0104	   1109.67	0.0131429	2.39332e-024	0.188551	2.97511	0.101015	705.78	
   53.1918	   30.0091	   1109.67	0.0132123	1.0299e-024	0.185154	2.99107	0.100523	704.961	
   56.3215	   30.0081	   1109.67	0.0131698	4.38753e-025	0.181578	3.00677	0.100242	704.149	
   59.7834	   30.0074	   1109.67	0.0130195	1.84274e-025	0.177861	3.02218	0.100012	703.341	
        60	   30.0073	   1109.67	0.0130097	1.6968e-025	0.177629	3.02314	0.099998	703.29	
    60.585	   30.0072	   1109.67	0.0129808	1.37964e-025	0.177008	3.02567	0.0999616	703.157	
   61.9402	   30.0071	   1109.67	0.0129014	9.06423e-026	0.175601	3.03131	0.0998726	702.858	
   64.3756	   30.0069	   1109.67	0.0127292	4.7214e-026	0.173157	3.04087	0.0996731	702.342	
   67.7398	   30.0069	   1109.67	0.012453	2.07736e-026	0.169908	3.05335	0.0992737	701.65	
   71.6364	   30.0071	   1109.67	0.0120959	8.20414e-027	0.166277	3.06718	0.0985554	700.846	
    75.757	   30.0077	   1109.67	0.0116837	2.98445e-027	0.162558	3.08129	0.0973765	699.964	
   79.9463	   30.0087	   1109.67	0.0112338	1.00137e-027	0.158874	3.09508	0.0955809	699.009	
   83.7567	   30.0099	   1109.67	0.0108049	3.30841e-028	0.155575	3.10694	0.0933197	698.076	
   87.0181	   30.0112	   1109.67	0.0104305	1.12498e-028	0.152767	3.11632	0.0908514	697.22	
    89.794	   30.0125	   1109.67	0.0101137	3.97699e-029	0.150374	3.12355	0.0883404	696.444	
   92.1944	   30.0138	   1109.67	0.00984687	1.45558e-029	0.14829	3.12907	0.0858665	695.735	
   94.3106	    30.015	   1109.67	0.00962095	5.47631e-030	0.146441	3.13328	0.0834654	695.077	
    96.209	   30.0161	   1109.67	0.00942737	2.1039e-030	0.144791	3.13643	0.0811452	694.459	
   97.9413	    30.017	   1109.67	0.00926089	8.19859e-031	0.143286	3.13876	0.0789234	693.872	
   99.5391	   30.0179	   1109.67	0.00911773	3.22986e-031	0.141892	3.14043	0.0768158	693.309	
   101.024	   30.0188	   1109.67	0.00899485	1.28404e-031	0.140587	3.14156	0.0748343	692.767	
   102.413	   30.0195	   1109.67	0.00888962	5.14422e-032	0.139355	3.14227	0.0729857	692.242	
    103.72	   30.0203	   1109.67	0.00879975	2.07424e-032	0.138183	3.14268	0.0712719	691.734	
   104.956	   30.0209	   1109.67	0.00872329	8.40791e-033	0.137062	3.14287	0.0696919	691.239	
    106.13	   30.0216	   1109.67	0.00865857	3.42235e-033	0.135985	3.14294	0.0682419	690.755	
   107.251	   30.0222	   1109.67	0.0086042	1.3974e-033	0.134945	3.14296	0.0669165	690.282	
   108.324	   30.0228	   1109.67	0.00855909	5.71808e-034	0.133939	3.14301	0.0657094	689.817	
   109.356	   30.0233	   1109.67	0.00852241	2.34435e-034	0.132963	3.14317	0.0646145	689.36	
   110.349	   30.0239	   1109.67	0.0084935	9.62589e-035	0.132017	3.14351	0.0636244	688.909	
   111.308	   30.0245	   1109.67	0.00847184	3.95461e-035	0.131097	3.14409	0.0627303	688.465	
   112.239	    30.025	   1109.67	0.00845719	1.62364e-035	0.130207	3.14499	0.0619229	688.025	
   113.146	   30.0255	   1109.67	0.00844973	6.65198e-036	0.129348	3.14627	0.0611934	687.588	
   114.032	   30.0261	   1109.67	0.00845051	2.71687e-036	0.128538	3.14801	0.0605336	687.152	
   114.905	   30.0264	   1109.67	0.00846286	1.37416e-021	0.127823	3.15027	0.0599338	686.715	
   115.776	   30.0266	   1109.67	0.00850087	9.00604e-022	0.127402	3.15316	0.0593822	686.271	
   116.684	   30.0255	   1109.67	0.00864221	6.07966e-022	0.128379	3.15684	0.0588557	685.798	
   117.681	   30.0231	   1109.67	0.00899116	3.67015e-022	0.132264	3.16133	0.0583309	685.269	
   118.819	   30.0237	   1109.67	0.00926376	1.89048e-022	0.135272	3.16602	0.0577885	684.651	
       120	    30.025	   1109.67	0.00936454	8.55044e-023	0.136219	3.1702	0.057275	683.994	
   121.247	   30.0259	   1109.67	0.00936996	3.42129e-023	0.136092	3.17399	0.0567717	683.283	
   122.523	   30.0268	   1109.67	0.00932921	1.25477e-023	0.135505	3.17726	0.0562818	682.537	
   123.831	   30.0277	   1109.67	0.00926578	4.25973e-024	0.134731	3.17989	0.0557891	681.752	
   125.173	   30.0288	   1109.67	0.00918972	1.34919e-024	0.133876	3.18173	0.0552782	680.927	
   126.518	   30.0301	   1109.67	0.00910737	4.07751e-025	0.132997	3.18257	0.0547464	680.08	
   127.763	   30.0314	   1109.67	0.00902787	1.25459e-025	0.132178	3.18236	0.0542276	679.277	
     128.9	   30.0328	   1109.67	0.00895341	3.99603e-026	0.131426	3.18121	0.0537248	678.529	
   129.946	   30.0342	   1109.67	0.00888383	1.31767e-026	0.130733	3.17916	0.0532319	677.828	
   130.922	   30.0356	   1109.67	0.00881838	4.47523e-027	0.130084	3.17627	0.0527421	677.162	
