 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	comp2	comp3	comp4	min0	
day	psi	F	**	**	**	**	**	
         0	    40.647	   1109.67	0.320972	0	0.0802431	4.01215e-021	4.01215e-021	858.858	
     0.125	   30.2418	   1109.67	0.17665	0.0425569	0.0732722	0.0286182	0.00302319	857.376	
  0.314589	   30.1191	   1109.67	0.105212	0.0227927	0.162691	0.0715825	0.00646584	855.16	
  0.529869	   30.1049	   1109.67	0.0607502	0.0104851	0.219388	0.119569	0.0103043	852.685	
  0.754374	   30.0968	   1109.67	0.0385895	0.00437614	0.247339	0.168761	0.0142406	850.148	
   0.98386	   30.0923	   1109.67	0.0288117	0.00170447	0.259221	0.218175	0.0181952	847.599	
   1.21714	   30.0899	   1109.67	0.0248071	0.000629976	0.263573	0.267523	0.0221449	845.053	
   1.45388	   30.0883	   1109.67	0.0232281	0.000223428	0.264726	0.316712	0.0260821	842.516	
   1.69406	   30.0871	   1109.67	0.0225976	7.6647e-005	0.2646	0.365711	0.0300043	839.988	
   1.93776	   30.0861	   1109.67	0.0223181	2.55837e-005	0.263975	0.414517	0.0339113	837.471	
         2	   30.0859	   1109.67	0.0222623	1.68526e-005	0.263789	0.426924	0.0349045	836.831	
   2.12462	   30.0854	   1109.67	0.0221838	8.19684e-006	0.263372	0.451528	0.0368741	835.562	
   2.31254	   30.0848	   1109.67	0.0220957	3.13465e-006	0.2627	0.488104	0.0398022	833.675	
    2.5405	    30.084	   1109.67	0.0220046	1.05321e-006	0.261859	0.531712	0.0432935	831.425	
   2.78835	   30.0832	   1109.67	0.021912	3.3351e-007	0.260935	0.57824	0.0470186	829.025	
   3.04652	   30.0825	   1109.67	0.0218185	1.02635e-007	0.259971	0.625764	0.0508236	826.574	
   3.31155	   30.0817	   1109.67	0.0217244	3.10657e-008	0.258987	0.67358	0.0546521	824.108	
   3.58253	   30.0811	   1109.67	0.0216298	9.28837e-009	0.257989	0.721474	0.0584869	821.637	
   3.85947	   30.0805	   1109.67	0.0215348	2.74802e-009	0.256983	0.769405	0.0623247	819.165	
   4.14282	     30.08	   1109.67	0.0214395	8.04928e-010	0.255968	0.817401	0.0661679	816.689	
   4.43325	   30.0797	   1109.67	0.0213439	2.334e-010	0.254947	0.865528	0.0700214	814.206	
