Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)
days	psi	F	Mscf/d	stb/d
0         	0         	-         	0         	0         	
0.125     	30        	70        	0.633487  	0         	
0.314589  	30        	70        	0.308993  	0         	
0.529869  	30        	70        	0.300387  	0         	
0.754374  	30        	70        	0.295512  	0         	
0.98386   	30        	70        	0.290688  	0         	
1.21714   	30        	70.0002   	0.285788  	0         	
1.45388   	30        	70.0004   	0.280845  	0         	
1.69406   	30        	70.0007   	0.27588   	0         	
1.93776   	30        	70.0012   	0.270907  	0         	
2         	30        	70.0014   	0.269666  	0         	
2.12462   	30        	70.0017   	0.267139  	0         	
2.31254   	30        	70.0024   	0.263381  	0         	
2.5405    	30        	70.0036   	0.258896  	0         	
2.78835   	30        	70.0053   	0.254105  	0         	
3.04652   	30        	70.0077   	0.249204  	0         	
3.31155   	30        	70.0108   	0.244266  	0         	
3.58253   	30        	70.015    	0.239317  	0         	
3.85947   	30        	70.0204   	0.234359  	0         	
4.14282   	30        	70.0274   	0.22939   	0         	
4.43325   	30        	70.0361   	0.224405  	0         	
4.73168   	30        	70.0472   	0.219394  	0         	
5.03929   	30        	70.061    	0.214346  	0         	
5.3576    	30        	70.0782   	0.209243  	0         	
5.68866   	30        	70.0997   	0.204071  	0         	
6.03488   	30        	70.1265   	0.198795  	0         	
6.39958   	30        	70.16     	0.193387  	0         	
6.78739   	30        	70.2023   	0.187801  	0         	
7.20497   	30        	70.2564   	0.181973  	0         	
7.66236   	30        	70.3268   	0.175804  	0         	
8.17609   	30        	70.4216   	0.169139  	0         	
8.77569   	30        	70.5557   	0.161706  	0         	
9.45184   	30        	70.7398   	0.153749  	0         	
10        	30        	70.9123   	0.147573  	0         	
10.5527   	30        	71.1111   	0.141603  	0         	
11.0774   	30        	71.3237   	0.136163  	0         	
11.5736   	30        	71.5467   	0.131214  	0         	
12.0478   	30        	71.7809   	0.126653  	0         	
12.5066   	30        	72.0277   	0.122395  	0         	
12.9551   	30        	72.2889   	0.118373  	0         	
13.3972   	30        	72.5662   	0.114541  	0         	
13.8359   	30        	72.8612   	0.110866  	0         	
14.2735   	30        	73.1756   	0.107322  	0         	
14.7117   	30        	73.511    	0.103892  	0         	
15.1522   	30        	73.8691   	0.10056   	0         	
15.5961   	30        	74.2517   	0.0973169 	0         	
16.0447   	30        	74.6605   	0.0941535 	0         	
16.4991   	30        	75.0975   	0.0910635 	0         	
16.9599   	30        	75.5646   	0.0880446 	0         	
17.4279   	30        	76.0634   	0.0850926 	1.17063e-007	
17.9036   	30        	76.5961   	0.0822058 	6.13718e-007	
18.3881   	30        	77.1648   	0.0793826 	1.11898e-006	
18.8821   	30        	77.7723   	0.0766211 	1.634e-006	
19.3869   	30        	78.4213   	0.0739197 	2.16016e-006	
19.9037   	30        	79.1155   	0.0712765 	2.69919e-006	
20.4339   	30        	79.8586   	0.06869   	3.25324e-006	
20.9793   	30        	80.6556   	0.0661584 	3.82504e-006	
21.5422   	30        	81.5121   	0.0636795 	4.41812e-006	
22.1254   	30        	82.4358   	0.0612511 	5.03729e-006	
22.7338   	30        	83.438    	0.0588649 	5.69001e-006	
23.3732   	30        	84.5333   	0.056512  	6.38591e-006	
24.0514   	30        	85.741    	0.054185  	7.13817e-006	
24.7799   	30        	87.0903   	0.0518693 	7.96695e-006	
25.5786   	30        	88.6299   	0.0495384 	8.90618e-006	
26.4357   	30        	90.3493   	0.0472663 	9.9574e-006	
27.2937   	30        	92.1353   	0.0451982 	1.10586e-005	
28.1316   	30        	93.939    	0.0433548 	1.21871e-005	
28.9445   	30        	95.7425   	0.0417107 	1.33366e-005	
29.7336   	30        	97.542    	0.0402269 	1.45063e-005	
30.503    	30        	99.3409   	0.0388614 	1.56962e-005	
31.2578   	30        	101.147   	0.0375727 	1.69051e-005	
32.0036   	30        	102.969   	0.0363242 	1.81303e-005	
32.7488   	30        	104.826   	0.0350776 	1.93715e-005	
33.5032   	30        	106.742   	0.0337956 	2.06271e-005	
34.2691   	30        	108.721   	0.0324563 	2.18792e-005	
35.056    	30        	110.789   	0.0310326 	2.31187e-005	
35.8761   	30        	112.98    	0.0295109 	2.43483e-005	
36.7444   	30        	115.335   	0.0278934 	2.55859e-005	
37.6774   	30        	117.906   	0.0261829 	2.68516e-005	
38.6929   	30        	120.746   	0.0243657 	2.8144e-005	
39.8094   	30        	123.915   	0.0224165 	2.94276e-005	
41.0592   	30        	127.513   	0.0203082 	3.06665e-005	
