Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	1000      	70        	2493.44   	2689.12   	0.00380432	
0.3788    	1000      	70        	2484.51   	2679.44   	0.00985214	
1.12202   	1000      	70        	2468.82   	2662.37   	0.020361  	
2.94614   	1000      	70        	2447.88   	2639.47   	0.0341667 	
7.16179   	1000      	70        	2425.41   	2614.59   	0.0487204 	
16.7148   	1000      	70        	2403.82   	2589.93   	0.0624871 	
38.3756   	1000      	70        	2384      	2565.71   	0.0748125 	
87.4811   	1000      	70        	2363.76   	2538.29   	0.0862068 	
194.513   	1000      	70        	2331.95   	2494.63   	0.0994183 	
393.85    	1000      	70        	2271.4    	2418.08   	0.114936  	
593.85    	1000      	70        	2207.55   	2342.07   	0.124961  	
793.85    	1000      	70        	2142.06   	2267      	0.130753  	
993.85    	1000      	70        	2075.99   	2193.14   	0.133272  	
1193.85   	1000      	70        	2010.06   	2120.67   	0.133281  	
1393.85   	1000      	70        	1944.75   	2049.72   	0.131392  	
1593.85   	1000      	70        	1918.52   	1959.64   	0.127498  	
1793.85   	1000      	70        	1858.36   	1774.72   	0.118246  	
1893.85   	1000      	70        	1840.89   	1734.91   	0.11063   	
1993.85   	1000      	70        	1825.47   	1698.87   	0.103422  	
2093.85   	1000      	70        	1814.72   	1688.15   	0.0953558 	
2193.85   	1000      	70        	1804.05   	1660.84   	0.0888132 	
2218.85   	1000      	70        	1802.8    	1661.01   	0.0866977 	
2290.09   	1000      	70        	1797.18   	1658.43   	0.0815295 	
2385.03   	1000      	70        	1789.04   	1620.89   	0.0768869 	
2585.03   	1000      	70        	1780.93   	1581.46   	0.0661206 	
2785.03   	1000      	70        	1774.1    	1545.62   	0.0569772 	
2985.03   	1000      	70        	1768.72   	1512.35   	0.049175  	
3185.03   	1000      	70        	1764.56   	1480.13   	0.0425823 	
3385.03   	1000      	70        	1775.02   	1454.48   	0.0372003 	
3585.03   	1000      	70        	1784.64   	1429.9    	0.0327327 	
3785.03   	1000      	70        	1794.59   	1405.33   	0.0290298 	
3985.03   	1000      	70        	1809.42   	1377.52   	0.0259144 	
4185.03   	1000      	70        	1828.12   	1347.27   	0.0232757 	
4385.03   	1000      	70        	1848.06   	1316.32   	0.0210706 	
4585.03   	1000      	70        	1868.76   	1284.78   	0.0192526 	
4785.03   	1000      	70        	1890.05   	1252.63   	0.0177722 	
4985.03   	1000      	70        	1911.79   	1219.83   	0.0165879 	
5000      	1000      	70        	1913.39   	1217.44   	0.0164942 	
