Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	1000      	70        	3853.74   	3032.33   	0.0035261 	
0.380295  	1000      	70        	3833.96   	3007.07   	0.00736651	
1.15711   	1000      	70        	3804.02   	2968.16   	0.0131908 	
3.23505   	1000      	70        	3762.17   	2911.06   	0.0213537 	
8.55043   	1000      	70        	3701.18   	2818.21   	0.0333014 	
21.1851   	1000      	70        	3635.1    	2691.71   	0.0462622 	
50.3341   	1000      	70        	3573.94   	2532.15   	0.0577416 	
117.466   	1000      	70        	3516.29   	2368.85   	0.0656917 	
272.233   	1000      	70        	3480.05   	2249.9    	0.0677675 	
472.233   	1000      	70        	3469.29   	2172.73   	0.0650078 	
672.233   	1000      	70        	3464.09   	2105.68   	0.0612348 	
872.233   	1000      	70        	3482.26   	2027.08   	0.0572002 	
1072.23   	1000      	70        	3510.21   	1945.3    	0.0533737 	
1272.23   	1000      	70        	3542.13   	1863.87   	0.0498891 	
1472.23   	1000      	70        	3575.3    	1783.98   	0.0468123 	
1672.23   	1000      	70        	3609.49   	1706.22   	0.0439928 	
1872.23   	1000      	70        	3686.35   	1644.68   	0.0419594 	
2072.23   	1000      	70        	3776.72   	1591.5    	0.0404531 	
2272.23   	1000      	70        	3861.73   	1540.11   	0.0391892 	
2472.23   	1000      	70        	3963.28   	1485.28   	0.0378088 	
2672.23   	1000      	70        	4063.13   	1431.5    	0.0365416 	
2872.23   	1000      	70        	4156.27   	1379.86   	0.0354587 	
3072.23   	1000      	70        	4242.6    	1330.32   	0.034539  	
3272.23   	1000      	70        	4322.31   	1282.82   	0.0337509 	
3472.23   	1000      	70        	4395.58   	1237.32   	0.0330651 	
3672.23   	1000      	70        	4476.59   	1197.26   	0.0325702 	
3872.23   	1000      	70        	4563.87   	1161.41   	0.0322307 	
4072.23   	1000      	70        	4651.58   	1125.82   	0.0318237 	
4272.23   	1000      	70        	4736.7    	1090.84   	0.0314223 	
4472.23   	1000      	70        	4815.3    	1057.08   	0.0310604 	
4672.23   	1000      	70        	4887.18   	1024.6    	0.0307252 	
4872.23   	1000      	70        	4956.19   	992.899   	0.0303475 	
5000      	1000      	70        	5002.42   	972.412   	0.0300716 	
