Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	8000      	70        	0         	0         	-6626.2   	
0.373207  	8000      	70        	0         	0         	-6562.74  	
1.06413   	8000      	70        	0         	0         	-6439.91  	
2.65123   	8000      	70        	0         	0         	-6234.29  	
6.1088    	8000      	70        	0         	0         	-5901.21  	
13.6743   	8000      	70        	0         	0         	-5340.05  	
31.177    	8000      	70        	0         	0         	-4472.46  	
70.5066   	8000      	70        	0         	0         	-3378.8   	
146.219   	8000      	70        	0         	0         	-2662.77  	
271.951   	8000      	70        	0         	0         	-2435.29  	
464.484   	8000      	70        	0         	0         	-2847.37  	
664.484   	8000      	70        	0         	0         	-3343.14  	
864.484   	8000      	70        	0         	0         	-3782.18  	
1064.48   	8000      	70        	0         	0         	-4120.19  	
1264.48   	8000      	70        	0         	0         	-4357.31  	
1464.48   	8000      	70        	0         	0         	-4582.64  	
1664.48   	8000      	70        	0         	0         	-4756.76  	
1864.48   	8000      	70        	0         	0         	-4890.07  	
2064.48   	8000      	70        	0         	0         	-4998.56  	
2264.48   	8000      	70        	0         	0         	-5103.28  	
2464.48   	8000      	70        	0         	0         	-5186.4   	
2664.48   	8000      	70        	0         	0         	-5251.79  	
2864.48   	8000      	70        	0         	0         	-5303.01  	
3064.48   	8000      	70        	0         	0         	-5342.28  	
3264.48   	8000      	70        	0         	0         	-5371.4   	
3464.48   	8000      	70        	0         	0         	-5392.41  	
3664.48   	8000      	70        	0         	0         	-5407.25  	
3864.48   	8000      	70        	0         	0         	-5417.22  	
4064.48   	8000      	70        	0         	0         	-5423.77  	
4264.48   	8000      	70        	0         	0         	-5427.08  	
4464.48   	8000      	70        	0         	0         	-5427.31  	
4664.48   	8000      	70        	0         	0         	-5425.34  	
4864.48   	8000      	70        	0         	0         	-5421.62  	
5000      	8000      	70        	0         	0         	-5418.48  	
