Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	8000      	70        	0         	0         	-6620.68  	
0.373113  	8000      	70        	0         	0         	-6557.5   	
1.06346   	8000      	70        	0         	0         	-6435.24  	
2.64863   	8000      	70        	0         	0         	-6230.5   	
6.10146   	8000      	70        	0         	0         	-5898.56  	
13.6564   	8000      	70        	0         	0         	-5338.88  	
31.1376   	8000      	70        	0         	0         	-4472.78  	
70.4299   	8000      	70        	0         	0         	-3379.47  	
146.089   	8000      	70        	0         	0         	-2663.56  	
271.751   	8000      	70        	0         	0         	-2435.52  	
464.159   	8000      	70        	0         	0         	-2848.87  	
664.159   	8000      	70        	0         	0         	-3345.41  	
864.159   	8000      	70        	0         	0         	-3785.47  	
1064.16   	8000      	70        	0         	0         	-4123.87  	
1264.16   	8000      	70        	0         	0         	-4362.64  	
1464.16   	8000      	70        	0         	0         	-4591.26  	
1664.16   	8000      	70        	0         	0         	-4770.07  	
1864.16   	8000      	70        	0         	0         	-4909.36  	
2064.16   	8000      	70        	0         	0         	-5024.34  	
2264.16   	8000      	70        	0         	0         	-5135.32  	
2464.16   	8000      	70        	0         	0         	-5222.97  	
2664.16   	8000      	70        	0         	0         	-5291.55  	
2864.16   	8000      	70        	0         	0         	-5344.14  	
3064.16   	8000      	70        	0         	0         	-5382.46  	
3264.16   	8000      	70        	0         	0         	-5409.34  	
3464.16   	8000      	70        	0         	0         	-5426.96  	
3664.16   	8000      	70        	0         	0         	-5437.51  	
3864.16   	8000      	70        	0         	0         	-5442.75  	
4064.16   	8000      	70        	0         	0         	-5444.92  	
4264.16   	8000      	70        	0         	0         	-5444.05  	
4464.16   	8000      	70        	0         	0         	-5441.23  	
4664.16   	8000      	70        	0         	0         	-5436.99  	
4864.16   	8000      	70        	0         	0         	-5431.16  	
5000      	8000      	70        	0         	0         	-5426.59  	
