Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	1000      	70        	3858.33   	3040.81   	0.00177511	
0.373207  	1000      	70        	3842      	3021.12   	0.00503202	
1.06413   	1000      	70        	3818.62   	2991.06   	0.00959704	
2.65123   	1000      	70        	3780.81   	2940.85   	0.0170028 	
6.1088    	1000      	70        	3729.63   	2867.76   	0.027074  	
13.6743   	1000      	70        	3670.39   	2769.27   	0.0387818 	
31.177    	1000      	70        	3610.75   	2638.77   	0.0504479 	
70.5066   	1000      	70        	3562.13   	2491.16   	0.0587496 	
146.219   	1000      	70        	3524.44   	2392.55   	0.0616369 	
271.951   	1000      	70        	3485.22   	2348.75   	0.06049   	
464.484   	1000      	70        	3449.78   	2335.06   	0.0547869 	
664.484   	1000      	70        	3425.42   	2333.96   	0.0480578 	
864.484   	1000      	70        	3409.93   	2344.87   	0.0411465 	
1064.48   	1000      	70        	3400.28   	2365.71   	0.0345248 	
1264.48   	1000      	70        	3396.29   	2399.96   	0.0280771 	
1464.48   	1000      	70        	3398.11   	2448.06   	0.021719  	
1664.48   	1000      	70        	3408.64   	2497.51   	0.0152119 	
1864.48   	1000      	70        	3426.88   	2541.2    	0.00884292	
2064.48   	1000      	70        	3449.95   	2579.37   	0.00300618	
2264.48   	1000      	70        	3477.57   	2619.09   	0         	
2464.48   	1000      	70        	3504.28   	2664.17   	0         	
2664.48   	1000      	70        	3537.43   	2708.32   	0         	
2864.48   	1000      	70        	3572.58   	2751.86   	0         	
3064.48   	1000      	70        	3608.15   	2794.79   	0         	
3264.48   	1000      	70        	3644.63   	2837.92   	0         	
3464.48   	1000      	70        	3680.9    	2880.9    	0         	
3664.48   	1000      	70        	3715.59   	2921.75   	0         	
3864.48   	1000      	70        	3748.96   	2960.38   	0         	
4064.48   	1000      	70        	3781.66   	2996.64   	0         	
4264.48   	1000      	70        	3810.54   	3026.05   	0         	
4464.48   	1000      	70        	3822.17   	3035.97   	0         	
4664.48   	1000      	70        	3835.21   	3046.14   	0         	
4864.48   	1000      	70        	3850.37   	3056.88   	0         	
5000      	1000      	70        	3860.46   	3063.8    	0         	
