Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	1000      	70        	3853.74   	3032.33   	0.0035261 	
0.373113  	1000      	70        	3834.3    	3007.51   	0.00729976	
1.06346   	1000      	70        	3806.35   	2971.25   	0.0127364 	
2.64863   	1000      	70        	3771.76   	2924.58   	0.0194806 	
6.10146   	1000      	70        	3722.84   	2853.43   	0.0290532 	
13.6564   	1000      	70        	3666.06   	2756.62   	0.0402064 	
31.1376   	1000      	70        	3608.29   	2626.7    	0.0514348 	
70.4299   	1000      	70        	3561.05   	2484.8    	0.0594254 	
146.089   	1000      	70        	3523.65   	2390.34   	0.0621729 	
271.751   	1000      	70        	3484.35   	2347.18   	0.0609828 	
464.159   	1000      	70        	3446.63   	2324.78   	0.05569   	
664.159   	1000      	70        	3421.91   	2320.94   	0.0489005 	
864.159   	1000      	70        	3406.29   	2330.72   	0.0418744 	
1064.16   	1000      	70        	3396.72   	2351.41   	0.0351111 	
1264.16   	1000      	70        	3391.35   	2380.21   	0.0288603 	
1464.16   	1000      	70        	3389.44   	2415.88   	0.0231405 	
1664.16   	1000      	70        	3390.94   	2454.26   	0.0179263 	
1864.16   	1000      	70        	3397.02   	2491.09   	0.0130152 	
2064.16   	1000      	70        	3408.17   	2524.17   	0.0083078 	
2264.16   	1000      	70        	3424.76   	2556.63   	0.00365001	
2464.16   	1000      	70        	3446.89   	2592.75   	0         	
2664.16   	1000      	70        	3474.93   	2632.06   	0         	
2864.16   	1000      	70        	3508.99   	2672.87   	0         	
3064.16   	1000      	70        	3548.19   	2716.4    	0         	
3264.16   	1000      	70        	3590.69   	2760.55   	0         	
3464.16   	1000      	70        	3634.83   	2801.99   	0         	
3664.16   	1000      	70        	3678.4    	2838.46   	0         	
3864.16   	1000      	70        	3721.62   	2868.74   	0         	
4064.16   	1000      	70        	3761.73   	2894.62   	0         	
4264.16   	1000      	70        	3799.1    	2919.24   	0         	
4464.16   	1000      	70        	3834.67   	2943.64   	0         	
4664.16   	1000      	70        	3862.95   	2965.81   	0         	
4864.16   	1000      	70        	3876.87   	2976.97   	0         	
5000      	1000      	70        	3885.79   	2985.89   	0         	
