Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	8000      	70        	-8386.48  	0         	0         	
0.381718  	8000      	70        	-8390.67  	0         	0         	
1.13977   	8000      	70        	-8408.87  	0         	0         	
3.02889   	8000      	70        	-8470.37  	0         	0         	
7.47243   	8000      	70        	-8498.38  	0         	0         	
16.8069   	8000      	70        	-8305.95  	0         	0         	
35.4102   	8000      	70        	-8013.82  	0         	0         	
77.6357   	8000      	70        	-8338.22  	0         	0         	
166.844   	8000      	70        	-9636.18  	0         	0         	
294.244   	8000      	70        	-10860.1  	0         	0         	
479.311   	8000      	70        	-12365    	0         	0         	
679.311   	8000      	70        	-13334.3  	0         	0         	
879.311   	8000      	70        	-13953.5  	0         	0         	
1079.31   	8000      	70        	-14354.7  	0         	0         	
1279.31   	8000      	70        	-14620.1  	0         	0         	
1479.31   	8000      	70        	-14830.4  	0         	0         	
1579.31   	8000      	70        	-14936.5  	0         	0         	
1779.31   	8000      	70        	-15091.2  	0         	0         	
1979.31   	8000      	70        	-15300.9  	0         	0         	
2179.31   	8000      	70        	-15452.7  	0         	0         	
2379.31   	8000      	70        	-15626.3  	0         	0         	
2579.31   	8000      	70        	-15752.2  	0         	0         	
2779.31   	8000      	70        	-15890.6  	0         	0         	
2979.31   	8000      	70        	-15997.9  	0         	0         	
3179.31   	8000      	70        	-16143.2  	0         	0         	
3379.31   	8000      	70        	-16360.6  	0         	0         	
3579.31   	8000      	70        	-16551.9  	0         	0         	
3779.31   	8000      	70        	-16715.2  	0         	0         	
3979.31   	8000      	70        	-16840.8  	0         	0         	
4179.31   	8000      	70        	-16964.5  	0         	0         	
4379.31   	8000      	70        	-17133.7  	0         	0         	
4579.31   	8000      	70        	-17322.8  	0         	0         	
4779.31   	8000      	70        	-17482.9  	0         	0         	
4979.31   	8000      	70        	-17686.7  	0         	0         	
5000      	8000      	70        	-17704.7  	0         	0         	
