Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	8000      	70        	-15600.4  	0         	0         	
0.354019  	8000      	70        	-15401.1  	0         	0         	
0.931983  	8000      	70        	-15079.9  	0         	0         	
2.10241   	8000      	70        	-14657.8  	0         	0         	
4.35379   	8000      	70        	-14144.3  	0         	0         	
8.71126   	8000      	70        	-13503.4  	0         	0         	
17.4149   	8000      	70        	-13227.8  	0         	0         	
34.812    	8000      	70        	-13692.5  	0         	0         	
67.1978   	8000      	70        	-15433.8  	0         	0         	
119.305   	8000      	70        	-17810.7  	0         	0         	
195.528   	8000      	70        	-20852.7  	0         	0         	
295.11    	8000      	70        	-22850.5  	0         	0         	
413.09    	8000      	70        	-24076.7  	0         	0         	
543.077   	8000      	70        	-24558.7  	0         	0         	
684.371   	8000      	70        	-24357.8  	0         	0         	
723.325   	8000      	70        	-24271.5  	0         	0         	
803.769   	8000      	70        	-24038.2  	0         	0         	
931.397   	8000      	70        	-23475.8  	0         	0         	
1100.05   	8000      	70        	-22621    	0         	0         	
1300.05   	8000      	70        	-21645.6  	0         	0         	
1500.05   	8000      	70        	-20779.6  	0         	0         	
1700.05   	8000      	70        	-20042    	0         	0         	
1900.05   	8000      	70        	-19379.7  	0         	0         	
2100.05   	8000      	70        	-18833.2  	0         	0         	
2300.05   	8000      	70        	-18376.4  	0         	0         	
2500.05   	8000      	70        	-17989.4  	0         	0         	
2700.05   	8000      	70        	-17643.3  	0         	0         	
2900.05   	8000      	70        	-17354.6  	0         	0         	
3100.05   	8000      	70        	-17139.7  	0         	0         	
3300.05   	8000      	70        	-16966.4  	0         	0         	
3500.05   	8000      	70        	-16828.2  	0         	0         	
3700.05   	8000      	70        	-16730.4  	0         	0         	
3900.05   	8000      	70        	-16671.8  	0         	0         	
4100.05   	8000      	70        	-16647.1  	0         	0         	
4300.05   	8000      	70        	-16651.3  	0         	0         	
4500.05   	8000      	70        	-16679.6  	0         	0         	
4700.05   	8000      	70        	-16726.9  	0         	0         	
4900.05   	8000      	70        	-16791.7  	0         	0         	
5000      	8000      	70        	-16832.6  	0         	0         	
