Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	1000      	70        	3851.07   	3032.66   	0.00328847	
0.381718  	1000      	70        	3833.35   	3010.11   	0.0067443 	
1.13977   	1000      	70        	3803.97   	2972.08   	0.0124908 	
3.02889   	1000      	70        	3765.6    	2920.11   	0.0200191 	
7.47243   	1000      	70        	3711.15   	2839.3    	0.0307486 	
16.8069   	1000      	70        	3653      	2735.68   	0.0422463 	
35.4102   	1000      	70        	3600.78   	2612.13   	0.0523666 	
77.6357   	1000      	70        	3560.02   	2480.36   	0.0588198 	
166.844   	1000      	70        	3548.21   	2460.8    	0.0552766 	
294.244   	1000      	70        	3583.91   	2627.23   	0.039758  	
479.311   	1000      	70        	3738.81   	2904.81   	0.00593622	
679.311   	1000      	70        	3889.29   	3078.38   	0         	
879.311   	1000      	70        	3985.3    	3154.93   	0         	
1079.31   	1000      	70        	4077.94   	3228.32   	0         	
1279.31   	1000      	70        	4167.22   	3298.83   	0         	
1479.31   	1000      	70        	4251.31   	3365.12   	0         	
1579.31   	1000      	70        	4292.1    	3397.27   	0         	
1779.31   	1000      	70        	4369.75   	3458.45   	0         	
1979.31   	1000      	70        	4443.96   	3516.92   	0         	
2179.31   	1000      	70        	4515.09   	3572.98   	0         	
2379.31   	1000      	70        	4583.75   	3627.11   	0         	
2579.31   	1000      	70        	4651.7    	3680.7    	0         	
2779.31   	1000      	70        	4714.46   	3730.16   	0         	
2979.31   	1000      	70        	4775.02   	3777.84   	0         	
3179.31   	1000      	70        	4834.41   	3824.47   	0         	
3379.31   	1000      	70        	4893.4    	3870.5    	0         	
3579.31   	1000      	70        	4952.19   	3915.77   	0         	
3779.31   	1000      	70        	5012.45   	3960.93   	0         	
3979.31   	1000      	70        	5077.13   	4006.93   	0         	
4179.31   	1000      	70        	5150.05   	4053.98   	0         	
4379.31   	1000      	70        	5243.16   	4105.59   	0         	
4579.31   	1000      	70        	5374.21   	4164.96   	0         	
4779.31   	1000      	70        	5585.75   	4240.64   	0         	
4979.31   	1000      	70        	6012.45   	4369.19   	0         	
5000      	1000      	70        	6063.47   	4384.84   	0         	
