Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	1000      	70        	3853.74   	3032.33   	0.0035261 	
0.354019  	1000      	70        	3835.22   	3008.69   	0.00712075	
0.931983  	1000      	70        	3809.83   	2975.84   	0.0120587 	
2.10241   	1000      	70        	3782.08   	2938.82   	0.0174656 	
4.35379   	1000      	70        	3744.14   	2885.54   	0.0248799 	
8.71126   	1000      	70        	3697.41   	2813.19   	0.0340476 	
17.4149   	1000      	70        	3647.09   	2719.75   	0.0439388 	
34.812    	1000      	70        	3601.86   	2608.23   	0.0526536 	
67.1978   	1000      	70        	3579.68   	2522.52   	0.055822  	
119.305   	1000      	70        	3609.84   	2578.1    	0.0464158 	
195.528   	1000      	70        	3756.47   	2855.54   	0.0143067 	
295.11    	1000      	70        	3950.19   	3065.37   	0         	
413.09    	1000      	70        	4109.47   	3198.93   	0         	
543.077   	1000      	70        	4269.22   	3332.87   	0         	
684.371   	1000      	70        	4416.83   	3456.26   	0         	
723.325   	1000      	70        	4450.72   	3484.81   	0         	
803.769   	1000      	70        	4475.14   	3507.34   	0         	
931.397   	1000      	70        	4688.62   	3679.18   	0         	
1100.05   	1000      	70        	4813.77   	3781.26   	0         	
1300.05   	1000      	70        	4937.79   	3880.66   	0         	
1500.05   	1000      	70        	5044.93   	3962.9    	0         	
1700.05   	1000      	70        	5143.91   	4030.65   	0         	
1900.05   	1000      	70        	5075.59   	3952.49   	0         	
2100.05   	1000      	70        	5238.72   	4022.68   	0         	
2300.05   	1000      	70        	5342.25   	3977.35   	0         	
2500.05   	1000      	70        	5465.22   	3841.85   	0         	
2700.05   	1000      	70        	5638.83   	3576.93   	0         	
2900.05   	1000      	70        	5971.85   	3339.35   	0         	
3100.05   	1000      	70        	6414.41   	3131.04   	0         	
3300.05   	1000      	70        	6826.19   	2941.09   	0         	
3500.05   	1000      	70        	7239.44   	2782.69   	0         	
3700.05   	1000      	70        	7772.86   	2691.37   	0         	
3900.05   	1000      	70        	8279.9    	2604.1    	0         	
4100.05   	1000      	70        	8749.55   	2523.3    	0         	
4300.05   	1000      	70        	9189.79   	2447.46   	0         	
4500.05   	1000      	70        	9603.81   	2375.94   	0         	
4700.05   	1000      	70        	9990.15   	2309.11   	0         	
4900.05   	1000      	70        	10352.6   	2246.4    	0         	
5000      	1000      	70        	10554.2   	2222.04   	0         	
