Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	8000      	70        	-8386.48  	0         	0         	
0.381718  	8000      	70        	-8390.67  	0         	0         	
1.13977   	8000      	70        	-8408.87  	0         	0         	
3.02889   	8000      	70        	-8470.37  	0         	0         	
7.47243   	8000      	70        	-8498.38  	0         	0         	
16.8069   	8000      	70        	-8305.95  	0         	0         	
26.8069   	8000      	70        	-8049.11  	0         	0         	
36.8069   	8000      	70        	-8023.74  	0         	0         	
46.8069   	8000      	70        	-8048.06  	0         	0         	
56.8069   	8000      	70        	-8064.64  	0         	0         	
66.8069   	8000      	70        	-8278.12  	0         	0         	
76.8069   	8000      	70        	-8545.65  	0         	0         	
86.8069   	8000      	70        	-8765.71  	0         	0         	
96.8069   	8000      	70        	-8961.53  	0         	0         	
106.807   	8000      	70        	-9136.68  	0         	0         	
116.807   	8000      	70        	-9293.84  	0         	0         	
126.807   	8000      	70        	-9490.54  	0         	0         	
136.807   	8000      	70        	-9676.04  	0         	0         	
146.807   	8000      	70        	-9835     	0         	0         	
156.807   	8000      	70        	-9984.67  	0         	0         	
166.807   	8000      	70        	-10125.6  	0         	0         	
176.807   	8000      	70        	-10258.5  	0         	0         	
186.807   	8000      	70        	-10386.8  	0         	0         	
196.807   	8000      	70        	-10508.3  	0         	0         	
206.807   	8000      	70        	-10623    	0         	0         	
216.807   	8000      	70        	-10731.9  	0         	0         	
226.807   	8000      	70        	-10837.2  	0         	0         	
236.807   	8000      	70        	-10933.8  	0         	0         	
246.807   	8000      	70        	-11032.2  	0         	0         	
256.807   	8000      	70        	-11157.4  	0         	0         	
266.807   	8000      	70        	-11276    	0         	0         	
276.807   	8000      	70        	-11389.5  	0         	0         	
286.807   	8000      	70        	-11508.4  	0         	0         	
296.807   	8000      	70        	-11626.5  	0         	0         	
306.807   	8000      	70        	-11739.8  	0         	0         	
316.807   	8000      	70        	-11849    	0         	0         	
326.807   	8000      	70        	-11954.5  	0         	0         	
336.807   	8000      	70        	-12056.1  	0         	0         	
346.807   	8000      	70        	-12155.3  	0         	0         	
356.807   	8000      	70        	-12246.7  	0         	0         	
366.807   	8000      	70        	-12333.3  	0         	0         	
376.807   	8000      	70        	-12416.9  	0         	0         	
386.807   	8000      	70        	-12488.3  	0         	0         	
396.807   	8000      	70        	-12555.4  	0         	0         	
406.807   	8000      	70        	-12620.1  	0         	0         	
416.807   	8000      	70        	-12683.2  	0         	0         	
426.807   	8000      	70        	-12753.8  	0         	0         	
436.807   	8000      	70        	-12824.6  	0         	0         	
446.807   	8000      	70        	-12893.6  	0         	0         	
456.807   	8000      	70        	-12960.2  	0         	0         	
466.807   	8000      	70        	-13023.9  	0         	0         	
476.807   	8000      	70        	-13085.4  	0         	0         	
486.807   	8000      	70        	-13145    	0         	0         	
496.807   	8000      	70        	-13202.9  	0         	0         	
500       	8000      	70        	-13222.5  	0         	0         	
509.359   	8000      	70        	0         	0         	-8475.96  	
519.359   	8000      	70        	0         	0         	-7727.07  	
529.359   	8000      	70        	0         	0         	-6917.98  	
539.359   	8000      	70        	0         	0         	-6164.74  	
549.359   	8000      	70        	0         	0         	-5500.71  	
559.359   	8000      	70        	0         	0         	-5021.92  	
569.359   	8000      	70        	0         	0         	-4666.79  	
579.359   	8000      	70        	0         	0         	-4320.37  	
589.359   	8000      	70        	0         	0         	-3995.47  	
599.359   	8000      	70        	0         	0         	-3698.2   	
609.359   	8000      	70        	0         	0         	-3510.53  	
619.359   	8000      	70        	0         	0         	-3360.04  	
629.359   	8000      	70        	0         	0         	-3217.55  	
639.359   	8000      	70        	0         	0         	-3118.59  	
649.359   	8000      	70        	0         	0         	-3030.26  	
659.359   	8000      	70        	0         	0         	-2953     	
669.359   	8000      	70        	0         	0         	-2897.24  	
679.359   	8000      	70        	0         	0         	-2860.43  	
689.359   	8000      	70        	0         	0         	-2831.04  	
699.359   	8000      	70        	0         	0         	-2808.51  	
709.359   	8000      	70        	0         	0         	-2791.69  	
719.359   	8000      	70        	0         	0         	-2800.93  	
729.359   	8000      	70        	0         	0         	-2814.32  	
739.359   	8000      	70        	0         	0         	-2830.01  	
749.359   	8000      	70        	0         	0         	-2847.35  	
759.359   	8000      	70        	0         	0         	-2866.3   	
769.359   	8000      	70        	0         	0         	-2886.19  	
779.359   	8000      	70        	0         	0         	-2908.65  	
789.359   	8000      	70        	0         	0         	-2938.48  	
799.359   	8000      	70        	0         	0         	-2967.8   	
809.359   	8000      	70        	0         	0         	-2996.55  	
819.359   	8000      	70        	0         	0         	-3025.55  	
829.359   	8000      	70        	0         	0         	-3054.52  	
839.359   	8000      	70        	0         	0         	-3082.92  	
849.359   	8000      	70        	0         	0         	-3110.88  	
859.359   	8000      	70        	0         	0         	-3138.62  	
