Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	8000      	70        	-15600.4  	0         	0         	
0.354019  	8000      	70        	-15401.1  	0         	0         	
0.931983  	8000      	70        	-15079.9  	0         	0         	
2.10241   	8000      	70        	-14657.8  	0         	0         	
4.35379   	8000      	70        	-14144.3  	0         	0         	
8.71126   	8000      	70        	-13503.4  	0         	0         	
17.4149   	8000      	70        	-13227.8  	0         	0         	
34.812    	8000      	70        	-13692.5  	0         	0         	
54.812    	8000      	70        	-14834.8  	0         	0         	
74.812    	8000      	70        	-16019.5  	0         	0         	
84.812    	8000      	70        	-16549.5  	0         	0         	
104.812   	8000      	70        	-17540.4  	0         	0         	
124.812   	8000      	70        	-18785.2  	0         	0         	
144.812   	8000      	70        	-19821.2  	0         	0         	
164.812   	8000      	70        	-20685.1  	0         	0         	
184.812   	8000      	70        	-21422.3  	0         	0         	
204.812   	8000      	70        	-22052.3  	0         	0         	
224.812   	8000      	70        	-22591.3  	0         	0         	
244.812   	8000      	70        	-23051.6  	0         	0         	
264.812   	8000      	70        	-23447.5  	0         	0         	
284.812   	8000      	70        	-23783.7  	0         	0         	
304.812   	8000      	70        	-24119.6  	0         	0         	
324.812   	8000      	70        	-24456.3  	0         	0         	
344.812   	8000      	70        	-24743.7  	0         	0         	
364.812   	8000      	70        	-24984.2  	0         	0         	
384.812   	8000      	70        	-25184.7  	0         	0         	
404.812   	8000      	70        	-25346.6  	0         	0         	
424.812   	8000      	70        	-25474.4  	0         	0         	
444.812   	8000      	70        	-25573.1  	0         	0         	
464.812   	8000      	70        	-25645.1  	0         	0         	
484.812   	8000      	70        	-25692.4  	0         	0         	
500       	8000      	70        	-25715.4  	0         	0         	
520       	8000      	70        	0         	0         	-8500.95  	
530       	8000      	70        	0         	0         	-7312.93  	
550       	8000      	70        	0         	0         	-5757.18  	
570       	8000      	70        	0         	0         	-4716.91  	
580       	8000      	70        	0         	0         	-4243.96  	
600       	8000      	70        	0         	0         	-3628.61  	
620       	8000      	70        	0         	0         	-3248.87  	
640       	8000      	70        	0         	0         	-2947.78  	
660       	8000      	70        	0         	0         	-2785.42  	
680       	8000      	70        	0         	0         	-2672.43  	
700       	8000      	70        	0         	0         	-2595.62  	
720       	8000      	70        	0         	0         	-2558.47  	
740       	8000      	70        	0         	0         	-2559.31  	
760       	8000      	70        	0         	0         	-2571.48  	
780       	8000      	70        	0         	0         	-2591.93  	
800       	8000      	70        	0         	0         	-2632.58  	
810       	8000      	70        	0         	0         	-2653.49  	
830       	8000      	70        	0         	0         	-2696.38  	
850       	8000      	70        	0         	0         	-2739.2   	
860       	8000      	70        	0         	0         	-2760.48  	
880       	8000      	70        	0         	0         	-2802.06  	
900       	8000      	70        	0         	0         	-2844.94  	
920       	8000      	70        	0         	0         	-2899.49  	
940       	8000      	70        	0         	0         	-2952.33  	
960       	8000      	70        	0         	0         	-3003.42  	
980       	8000      	70        	0         	0         	-3052.76  	
1000      	8000      	70        	0         	0         	-3100.36  	
