Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	1000      	70        	3851.07   	3032.66   	0.00328847	
0.381718  	1000      	70        	3833.35   	3010.11   	0.0067443 	
1.13977   	1000      	70        	3803.97   	2972.08   	0.0124908 	
3.02889   	1000      	70        	3765.6    	2920.11   	0.0200191 	
7.47243   	1000      	70        	3711.15   	2839.3    	0.0307486 	
16.8069   	1000      	70        	3653      	2735.68   	0.0422463 	
26.8069   	1000      	70        	3617      	2657.58   	0.049344  	
36.8069   	1000      	70        	3593.61   	2595.12   	0.0538526 	
46.8069   	1000      	70        	3577.54   	2545.21   	0.0568508 	
56.8069   	1000      	70        	3566      	2504.8    	0.0588808 	
66.8069   	1000      	70        	3557.68   	2472.49   	0.0601939 	
76.8069   	1000      	70        	3551.61   	2446.97   	0.0609862 	
86.8069   	1000      	70        	3547.15   	2427.29   	0.0613871 	
96.8069   	1000      	70        	3543.89   	2412.69   	0.061485  	
106.807   	1000      	70        	3541.54   	2402.52   	0.0613431 	
116.807   	1000      	70        	3539.91   	2396.24   	0.061007  	
126.807   	1000      	70        	3538.85   	2393.37   	0.0605124 	
136.807   	1000      	70        	3538.29   	2393.53   	0.059882  	
146.807   	1000      	70        	3538.17   	2396.39   	0.0591303 	
156.807   	1000      	70        	3538.54   	2401.78   	0.0582567 	
166.807   	1000      	70        	3539.45   	2409.59   	0.0572538 	
176.807   	1000      	70        	3540.9    	2419.68   	0.0561248 	
186.807   	1000      	70        	3542.91   	2431.91   	0.0548734 	
196.807   	1000      	70        	3545.5    	2446.22   	0.0534965 	
206.807   	1000      	70        	3548.93   	2462.92   	0.0519448 	
216.807   	1000      	70        	3553.32   	2482.18   	0.0501972 	
226.807   	1000      	70        	3558.16   	2503.18   	0.048362  	
236.807   	1000      	70        	3563.71   	2526.2    	0.0463913 	
246.807   	1000      	70        	3569.29   	2550.02   	0.0444287 	
256.807   	1000      	70        	3574.62   	2573.82   	0.042539  	
266.807   	1000      	70        	3580.29   	2598.16   	0.0406066 	
276.807   	1000      	70        	3587.98   	2623.95   	0.0383198 	
286.807   	1000      	70        	3594.21   	2645.54   	0.0363934 	
296.807   	1000      	70        	3600.89   	2665.94   	0.0344325 	
306.807   	1000      	70        	3608.02   	2685.37   	0.032432  	
316.807   	1000      	70        	3615.57   	2703.69   	0.0303878 	
326.807   	1000      	70        	3623.44   	2720.92   	0.0283183 	
336.807   	1000      	70        	3631.54   	2737.48   	0.0262431 	
346.807   	1000      	70        	3639.8    	2753.42   	0.0241737 	
356.807   	1000      	70        	3648.22   	2768.84   	0.0221077 	
366.807   	1000      	70        	3656.83   	2783.85   	0.0200407 	
376.807   	1000      	70        	3665.61   	2798.51   	0.0179781 	
386.807   	1000      	70        	3675.42   	2814.03   	0.0157454 	
396.807   	1000      	70        	3685.56   	2829.47   	0.0134874 	
406.807   	1000      	70        	3695.92   	2844.76   	0.0112249 	
416.807   	1000      	70        	3706.56   	2860.03   	0.00894357	
426.807   	1000      	70        	3716.67   	2874.25   	0.00680532	
436.807   	1000      	70        	3727.3    	2888.83   	0.00459934	
446.807   	1000      	70        	3738.08   	2903.35   	0.00239759	
456.807   	1000      	70        	3749.27   	2918.12   	0.00015293	
466.807   	1000      	70        	3760.66   	2932.91   	0         	
476.807   	1000      	70        	3771.82   	2947.19   	0         	
