Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

time	BHP	Temp	q(Gas)	q(Oil)	 q(Water)
days	psi	F	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	
0.1       	1000      	70        	3853.74   	3032.33   	0.0035261 	
0.354019  	1000      	70        	3835.22   	3008.69   	0.00712075	
0.931983  	1000      	70        	3809.83   	2975.84   	0.0120587 	
2.10241   	1000      	70        	3782.08   	2938.82   	0.0174656 	
4.35379   	1000      	70        	3744.14   	2885.54   	0.0248799 	
8.71126   	1000      	70        	3697.41   	2813.19   	0.0340476 	
17.4149   	1000      	70        	3647.09   	2719.75   	0.0439388 	
34.812    	1000      	70        	3601.86   	2608.23   	0.0526536 	
54.812    	1000      	70        	3579.99   	2533.87   	0.0564168 	
74.812    	1000      	70        	3574.21   	2498.19   	0.0566627 	
84.812    	1000      	70        	3574.57   	2489.21   	0.0560574 	
104.812   	1000      	70        	3584.58   	2501.47   	0.0527227 	
124.812   	1000      	70        	3603.24   	2542.29   	0.0474639 	
144.812   	1000      	70        	3630.61   	2609.93   	0.0403718 	
164.812   	1000      	70        	3665.68   	2697.86   	0.0318212 	
184.812   	1000      	70        	3714.89   	2791.73   	0.0209728 	
204.812   	1000      	70        	3769.71   	2876.07   	0.00963541	
224.812   	1000      	70        	3828.39   	2952.24   	0         	
244.812   	1000      	70        	3878.54   	3004.24   	0         	
264.812   	1000      	70        	3908.58   	3026.19   	0         	
284.812   	1000      	70        	3937.21   	3048.04   	0         	
304.812   	1000      	70        	3965.64   	3070.46   	0         	
324.812   	1000      	70        	3994.05   	3093.38   	0         	
344.812   	1000      	70        	4022.42   	3116.67   	0         	
364.812   	1000      	70        	4050.72   	3140.16   	0         	
384.812   	1000      	70        	4078.88   	3163.73   	0         	
404.812   	1000      	70        	4106.81   	3187.25   	0         	
424.812   	1000      	70        	4134.46   	3210.62   	0         	
444.812   	1000      	70        	4161.76   	3233.75   	0         	
464.812   	1000      	70        	4188.57   	3256.52   	0         	
484.812   	1000      	70        	4215.27   	3279.18   	0         	
500       	1000      	70        	4235.16   	3296.08   	0         	
520       	1000      	70        	4258.44   	3316.04   	0         	
530       	1000      	70        	4269      	3325.16   	0         	
550       	1000      	70        	4284.66   	3339.11   	0         	
570       	1000      	70        	4295.06   	3348.9    	0         	
580       	1000      	70        	4299.02   	3352.81   	0         	
600       	1000      	70        	4302.93   	3357.43   	0         	
620       	1000      	70        	4303.79   	3359.59   	0         	
640       	1000      	70        	4302.39   	3359.91   	0         	
660       	1000      	70        	4299.35   	3358.87   	0         	
680       	1000      	70        	4295.17   	3356.86   	0         	
700       	1000      	70        	4290.18   	3354.15   	0         	
720       	1000      	70        	4284.66   	3350.96   	0         	
740       	1000      	70        	4278.79   	3347.43   	0         	
760       	1000      	70        	4272.71   	3343.68   	0         	
780       	1000      	70        	4266.51   	3339.78   	0         	
800       	1000      	70        	4260.26   	3335.79   	0         	
810       	1000      	70        	4257.13   	3333.78   	0         	
830       	1000      	70        	4250.9    	3329.72   	0         	
850       	1000      	70        	4244.72   	3325.68   	0         	
860       	1000      	70        	4241.65   	3323.65   	0         	
880       	1000      	70        	4235.56   	3319.61   	0         	
900       	1000      	70        	4229.57   	3315.61   	0         	
920       	1000      	70        	4223.66   	3311.64   	0         	
940       	1000      	70        	4217.84   	3307.7    	0         	
960       	1000      	70        	4212.1    	3303.79   	0         	
980       	1000      	70        	4206.43   	3299.91   	0         	
1000      	1000      	70        	4200.75   	3295.99   	0         	
