Results for well: INJ in the reservoir: RES1

  t       BHP	     q(Oil)       q(Water)
(days)   (psia)    (STB/day)    (STB/day)
0         6000        0           0         
1         6000        0           -4202.91  
2         6000        0           -3281.1   
3         6000        0           -2885.7   
4         6000        0           -2618     
5         6000        0           -2426.01  
6         6000        0           -2320.18  
7.44      6000        0           -2243.83  
8.44      6000        0           -2194.67  
9.8469    6000        0           -2154.85  
10        6000        0           -2151.58  
11        6000        0           -2137.68  
12.1646   6000        0           -2133.43  
14.6047   6000        0           -2140.23  
15        6000        0           -2144.68  
16        6000        0           -2171.25  
17        6000        0           -2208.91  
18.5356   6000        0           -2279.12  
20        6000        0           -2354.1   
23.1154   6000        0           -2441.35  
24.1154   6000        0           -2455.64  
25.5778   6000        0           -2449.1   
28.025    6000        0           -2397.44  
30        6000        0           -2342.25  
