 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	comp2	
day	psi	F	**	**	**	
         0	      4800	       500	3.2821e+010	1.17681e+011	3.45778e+010	
         1	   4802.45	       500	3.28256e+010	1.17675e+011	3.45778e+010	
    2.0175	   4804.79	       500	3.28301e+010	1.1767e+011	3.45778e+010	
   3.59336	   4808.33	       500	3.28373e+010	1.17661e+011	3.45778e+010	
   6.31068	   4814.36	       500	3.28495e+010	1.17646e+011	3.45778e+010	
   11.2627	   4825.23	       500	3.28719e+010	1.17619e+011	3.45778e+010	
   20.2614	   4845.05	       500	3.29125e+010	1.17569e+011	3.45778e+010	
   36.2916	   4880.66	       500	3.29849e+010	1.17481e+011	3.45778e+010	
   63.6459	    4941.3	       500	3.31085e+010	1.1733e+011	3.45778e+010	
   104.931	   5030.91	       500	3.32949e+010	1.17102e+011	3.45778e+010	
   164.931	   5155.04	       500	3.35659e+010	1.16771e+011	3.45778e+010	
   224.931	   5271.72	       500	3.38369e+010	1.1644e+011	3.45778e+010	
   284.931	   5381.38	       500	3.41078e+010	1.1611e+011	3.45778e+010	
   344.931	   5484.81	       500	3.43788e+010	1.15779e+011	3.45778e+010	
   404.931	   5582.49	       500	3.46498e+010	1.15448e+011	3.45778e+010	
   464.931	   5675.17	       500	3.49207e+010	1.15117e+011	3.45778e+010	
   524.931	   5763.13	       500	3.51917e+010	1.14786e+011	3.45778e+010	
   584.931	   5846.99	       500	3.54627e+010	1.14455e+011	3.45778e+010	
   644.931	   5927.05	       500	3.57337e+010	1.14125e+011	3.45778e+010	
   704.931	   6003.59	       500	3.60046e+010	1.13794e+011	3.45778e+010	
   764.931	   6076.97	       500	3.62756e+010	1.13463e+011	3.45778e+010	
   824.931	   6147.42	       500	3.65466e+010	1.13132e+011	3.45778e+010	
   884.931	   6215.17	       500	3.68175e+010	1.12801e+011	3.45778e+010	
   944.931	   6280.44	       500	3.70885e+010	1.1247e+011	3.45778e+010	
      1000	   6338.29	       500	3.73372e+010	1.12167e+011	3.45778e+010	
