 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	
day	psi	F	**	**	
         0	   4775.54	       500	1.51853e+009	3.24118e+008	
         1	   4780.26	       500	1.51688e+009	3.26301e+008	
         2	   4785.37	       500	1.51523e+009	3.28483e+008	
         3	   4790.71	       500	1.51357e+009	3.30666e+008	
         4	   4796.11	       500	1.51192e+009	3.32849e+008	
   5.21902	   4802.66	       500	1.5099e+009	3.3551e+008	
    7.0416	   4812.31	       500	1.50689e+009	3.39488e+008	
   10.0872	    4828.5	       500	1.50185e+009	3.46136e+008	
   14.3935	   4851.16	       500	1.49472e+009	3.55536e+008	
   20.7359	   4884.15	       500	1.48423e+009	3.6938e+008	
   28.1834	   4922.53	       500	1.47191e+009	3.85636e+008	
   37.8463	   4972.17	       500	1.45593e+009	4.06728e+008	
   49.1207	   5029.98	       500	1.43728e+009	4.31337e+008	
   61.6644	   5094.35	       500	1.41653e+009	4.58718e+008	
   77.0778	   5174.04	       500	1.39103e+009	4.92361e+008	
    93.986	   5262.75	       500	1.36306e+009	5.29268e+008	
   112.234	   5359.96	       500	1.33288e+009	5.69099e+008	
   133.657	    5476.9	       500	1.29744e+009	6.15861e+008	
   157.331	   5609.96	       500	1.25828e+009	6.67536e+008	
   182.899	   5759.06	       500	1.21599e+009	7.23346e+008	
   210.772	   5928.51	       500	1.16988e+009	7.84186e+008	
   240.533	    6117.9	       500	1.12065e+009	8.49147e+008	
   270.368	   6318.14	       500	1.0713e+009	9.1427e+008	
   299.216	   6523.83	       500	1.02358e+009	9.77238e+008	
   326.681	   6734.93	       500	9.78145e+008	1.03719e+009	
   352.416	   6956.02	       500	9.35575e+008	1.09336e+009	
   375.918	   7236.55	       500	8.96865e+008	1.14444e+009	
   385.005	   7380.74	       500	8.82168e+008	1.16384e+009	
   395.961	   7574.04	       500	8.64989e+008	1.1865e+009	
   406.948	   7783.18	       500	8.48353e+008	1.20846e+009	
   417.431	   7986.94	       500	8.33038e+008	1.22867e+009	
   427.673	   8187.94	       500	8.18598e+008	1.24772e+009	
   437.724	   8379.15	       500	8.04879e+008	1.26582e+009	
   442.856	   8475.24	       500	7.98008e+008	1.27489e+009	
   450.655	   8623.04	       500	7.87849e+008	1.28829e+009	
