Results for well: INJ in the reservoir: RES1

  t       BHP	     g(Oil)    q(Water)
(days)   (psia)    STB/day)  (STB/day)
0         5250.11     0           0         
1         6846.31     0           -6000     
2         7773.06     0           -6000     
3         8537.13     0           -6000     
4         9222.37     0           -6000     
5         9746.74     0           -6000     
6         10274.8     0           -6000     
7         10811.6     0           -6000     
8         11309       0           -6000     
9         11768.5     0           -6000     
10        12223.3     0           -6000     
11        12670.9     0           -6000     
12        13114.5     0           -6000     
13        13559.1     0           -6000     
14        13982.3     0           -6000     
15        14391.7     0           -6000     
16        14793.1     0           -6000     
17        15192.1     0           -6000     
18        15588.4     0           -6000     
19        15974.1     0           -6000     
20        16337.8     0           -6000     
21        16693.9     0           -6000     
22        17051.3     0           -6000     
23        17402.6     0           -6000     
24        17745.8     0           -6000     
25        18082.5     0           -6000     
26        18411.6     0           -6000     
27        18743.1     0           -6000     
28        19066.4     0           -6000     
29        19382.3     0           -6000     
30        19694.2     0           -6000     
31        20004       0           -6000     
32        20313.6     0           -6000     
33        20614.8     0           -6000     
34        20908.3     0           -6000     
35        21198.9     0           -6000     
36        21490       0           -6000     
37        21780.1     0           -6000     
38        22063.2     0           -6000     
39        22339.3     0           -6000     
40        22613.1     0           -6000     
41        22887.9     0           -6000     
42        23163.3     0           -6000     
43        23431.6     0           -6000     
44        23693.6     0           -6000     
45        23953.2     0           -6000     
46        24213.8     0           -6000     
47        24475.3     0           -6000     
48        24730.8     0           -6000     
49        24980.1     0           -6000     
50        25227       0           -6000     
51        25474.7     0           -6000     
52        25724       0           -6000     
53        25969.3     0           -6000     
54        26208.3     0           -6000     
55        26444.6     0           -6000     
56        26681.3     0           -6000     
57        26920.1     0           -6000     
58        27155.7     0           -6000     
59        27385.5     0           -6000     
60        27612.3     0           -6000     
61        27838.8     0           -6000     
62        28067.1     0           -6000     
63        28293.4     0           -6000     
64        28515.7     0           -6000     
65        28734.7     0           -6000     
66        28952.6     0           -6000     
67        29171.8     0           -6000     
68        29390.2     0           -6000     
69        29605.3     0           -6000     
70        29817.5     0           -6000     
71        30027.5     0           -6000     
72        30238.4     0           -6000     
73        30449.3     0           -6000     
74        30657.6     0           -6000     
75        30863.4     0           -6000     
76        31066.8     0           -6000     
77        31270.3     0           -6000     
78        31474.5     0           -6000     
79        31676.9     0           -6000     
80        31876.5     0           -6000     
81        32074.1     0           -6000     
82        32270.8     0           -6000     
83        32468.4     0           -6000     
84        32664.9     0           -6000     
85        32858.8     0           -6000     
86        33050.9     0           -6000     
87        33241.8     0           -6000     
88        33433       0           -6000     
89        33624.2     0           -6000     
90        33813.4     0           -6000     
91        34000.6     0           -6000     
92        34186.6     0           -6000     
93        34372       0           -6000     
94        34558       0           -6000     
95        34742.8     0           -6000     
96        34925.2     0           -6000     
97        35106.1     0           -6000     
98        35286.4     0           -6000     
99        35467.1     0           -6000     
100       35647.3     0           -6000     
101       35825.7     0           -6000     
102       36002.6     0           -6000     
103       36178.3     0           -6000     
104       36354       0           -6000     
105       36529.8     0           -6000     
106       36704.6     0           -6000     
107       36877.4     0           -6000     
108.003   37049.6     0           -6000     
109.011   37222       0           -6000     
110.018   37394.7     0           -6000     
111.018   37565.6     0           -6000     
112.021   37735.6     0           -6000     
113.036   37906       0           -6000     
114.06    38077       0           -6000     
115.091   38249.2     0           -6000     
116.115   38420.3     0           -6000     
117.141   38590.6     0           -6000     
118.169   38759.7     0           -6000     
119.212   38929.9     0           -6000     
120.263   39101.4     0           -6000     
121.313   39273       0           -6000     
122.355   39442.5     0           -6000     
123.396   39610.4     0           -6000     
124.459   39780.2     0           -6000     
125.53    39950.6     0           -6000     
126.604   40121.8     0           -6000     
127.669   40291.5     0           -6000     
128.741   40460.7     0           -6000     
129.822   40630       0           -6000     
130.912   40799.9     0           -6000     
132.009   40970.9     0           -6000     
133.099   41140.6     0           -6000     
134.194   41310.1     0           -6000     
135.293   41478.8     0           -6000     
136.403   41648.1     0           -6000     
137.522   41818.7     0           -6000     
138.632   41988.1     0           -6000     
139.746   42157       0           -6000     
140.864   42324.8     0           -6000     
141.994   42493.2     0           -6000     
143.133   42662.9     0           -6000     
144.265   42831.5     0           -6000     
145.399   42999.4     0           -6000     
146.536   43166.6     0           -6000     
147.686   43334.5     0           -6000     
148.846   43503.6     0           -6000     
149.999   43671.8     0           -6000     
151.154   43839.5     0           -6000     
152.313   44006.4     0           -6000     
153.485   44174.1     0           -6000     
154.666   44342.9     0           -6000     
155.838   44510.4     0           -6000     
157.015   44677.8     0           -6000     
158.198   44844.7     0           -6000     
159.392   45012.3     0           -6000     
160.593   45180.6     0           -6000     
161.784   45347.6     0           -6000     
162.986   45515       0           -6000     
164.194   45682.1     0           -6000     
165.411   45849.6     0           -6000     
166.631   46017.4     0           -6000     
167.841   46183.6     0           -6000     
169.055   46349.5     0           -6000     
170.287   46516.4     0           -6000     
171.526   46683.8     0           -6000     
172.764   46850.9     0           -6000     
173.992   47016.3     0           -6000     
175.223   47181.1     0           -6000     
176.473   47347.2     0           -6000     
177.734   47514.4     0           -6000     
178.987   47680.4     0           -6000     
180.244   47846.2     0           -6000     
181.507   48011.8     0           -6000     
182.782   48178       0           -6000     
184.062   48344.7     0           -6000     
185.332   48509.8     0           -6000     
186.609   48675       0           -6000     
187.902   48841.1     0           -6000     
189.203   49007.6     0           -6000     
190.499   49173.4     0           -6000     
191.789   49337.8     0           -6000     
193.085   49502       0           -6000     
194.398   49667.2     0           -6000     
195.718   49833.2     0           -6000     
197.028   49997.5     0           -6000     
198.35    50162.6     0           -6000     
199.683   50328.1     0           -6000     
201.025   50493.8     0           -6000     
202.36    50658.7     0           -6000     
203.69    50822.3     0           -6000     
205.027   50986       0           -6000     
206.38    51150.7     0           -6000     
207.74    51315.9     0           -6000     
209.089   51479.4     0           -6000     
210.446   51643.2     0           -6000     
211.821   51808.1     0           -6000     
213.204   51973.3     0           -6000     
214.578   52137.2     0           -6000     
215.952   52300.6     0           -6000     
217.338   52464.4     0           -6000     
218.736   52629       0           -6000     
220.133   52793.1     0           -6000     
221.519   52955.4     0           -6000     
222.913   53117.9     0           -6000     
224.327   53281.8     0           -6000     
225.748   53446       0           -6000     
227.155   53608.4     0           -6000     
228.573   53771.3     0           -6000     
230.009   53935.3     0           -6000     
231.454   54099.7     0           -6000     
232.885   54262.2     0           -6000     
234.324   54425       0           -6000     
235.777   54588.6     0           -6000     
237.24    54752.6     0           -6000     
238.693   54915.1     0           -6000     
240.146   55076.9     0           -6000     
241.612   55239.3     0           -6000     
243.092   55402.6     0           -6000     
244.567   55565       0           -6000     
246.034   55725.9     0           -6000     
247.513   55887.4     0           -6000     
249.011   56050.2     0           -6000     
250.508   56212.5     0           -6000     
251.992   56372.9     0           -6000     
253.487   56533.8     0           -6000     
255.004   56696.3     0           -6000     
256.523   56858.4     0           -6000     
258.027   57018.6     0           -6000     
259.544   57179.3     0           -6000     
261.082   57341.6     0           -6000     
262.622   57503.5     0           -6000     
264.146   57663.4     0           -6000     
265.684   57824       0           -6000     
267.243   57986       0           -6000     
268.803   58147.6     0           -6000     
270.347   58307.2     0           -6000     
271.905   58467.4     0           -6000     
273.484   58629.1     0           -6000     
275.064   58790.4     0           -6000     
276.627   58949.5     0           -6000     
278.204   59109.3     0           -6000     
279.805   59270.7     0           -6000     
281.403   59431.5     0           -6000     
282.985   59590.1     0           -6000     
284.581   59749.3     0           -6000     
286.202   59910.3     0           -6000     
287.817   60070.3     0           -6000     
289.423   60228.8     0           -6000     
291.046   60388.3     0           -6000     
292.689   60549.1     0           -6000     
294.321   60708.3     0           -6000     
295.954   60867.1     0           -6000     
297.605   61026.9     0           -6000     
299.272   61187.7     0           -6000     
300.919   61346.1     0           -6000     
302.581   61505.3     0           -6000     
304.263   61665.7     0           -6000     
305.95    61826.1     0           -6000     
307.614   61983.8     0           -6000     
309.296   62142.5     0           -6000     
310.999   62302.5     0           -6000     
312.699   62461.8     0           -6000     
314.38    62618.7     0           -6000     
316.077   62776.6     0           -6000     
317.8     62936.1     0           -6000     
319.51    63094.1     0           -6000     
321.223   63251.6     0           -6000     
322.955   63410.3     0           -6000     
324.701   63569.7     0           -6000     
326.425   63726.5     0           -6000     
328.168   63884.5     0           -6000     
329.932   64043.6     0           -6000     
331.691   64201.9     0           -6000     
333.432   64357.9     0           -6000     
335.189   64514.8     0           -6000     
336.973   64673.4     0           -6000     
338.739   64830       0           -6000     
340.515   64986.9     0           -6000     
342.315   65145.3     0           -6000     
344.118   65303.4     0           -6000     
345.896   65458.8     0           -6000     
347.693   65615.3     0           -6000     
349.516   65773.3     0           -6000     
351.324   65929.6     0           -6000     
353.134   66085.5     0           -6000     
354.967   66242.9     0           -6000     
356.81    66400.5     0           -6000     
358.626   66555.3     0           -6000     
360.463   66711.3     0           -6000     
362.324   66868.8     0           -6000     
364.17    67024.5     0           -6000     
366.018   67179.8     0           -6000     
367.893   67336.8     0           -6000     
369.773   67493.6     0           -6000     
371.626   67647.6     0           -6000     
373.498   67802.6     0           -6000     
375.398   67959.3     0           -6000     
377.277   68113.9     0           -6000     
379.175   68269.3     0           -6000     
381.094   68426       0           -6000     
383.007   68581.7     0           -6000     
384.901   68735.4     0           -6000     
386.815   68890       0           -6000     
388.751   69045.9     0           -6000     
390.662   69199.3     0           -6000     
392.597   69354.1     0           -6000     
394.555   69510.1     0           -6000     
396.495   69664.3     0           -6000     
398.44    69818.2     0           -6000     
400.412   69973.8     0           -6000     
