Results for well: PROD in the reservoir: RES1

  t       BHP	     g(Oil)    q(Water)
(days)   (psia)    STB/day)  (STB/day)
0         4295.54     0           0         
1         2952.6      6000        0         
2         2319.57     6000        0         
3         1837.43     6000        0         
4         1431.94     6000        0         
5         1074.12     6000        0         
6         1000        5220.25     0         
7         1000        4559.47     0         
8         1000        4124.07     0         
9         1000        3801.93     0         
10        1000        3548.61     0         
11        1000        3341.9      0         
12        1000        3168.4      0         
13        1000        3020.05     0         
14        1000        2891.18     0         
15        1000        2777.65     0         
16        1000        2676.73     0         
17        1000        2586.22     0         
18        1000        2504.36     0         
19        1000        2429.87     0         
20        1000        2361.72     0         
21        1000        2299.06     0         
22        1000        2241.12     0         
23        1000        2187.37     0         
24        1000        2137.35     0         
25        1000        2090.64     0         
26        1000        2046.86     0         
27        1000        2005.72     0         
28        1000        1966.98     0         
29        1000        1930.42     0         
30        1000        1895.83     0         
31        1000        1863.02     0         
32        1000        1831.87     0         
33        1000        1802.24     0         
34        1000        1774.01     0         
35        1000        1747.07     0         
36        1000        1721.31     0         
37        1000        1696.66     0         
38        1000        1673.04     0         
39        1000        1650.39     0         
40        1000        1628.65     0         
41        1000        1607.73     0         
42        1000        1587.6      0         
43        1000        1568.2      0         
44        1000        1549.5      0         
45        1000        1531.47     0         
46        1000        1514.05     0         
47        1000        1497.2      0         
48        1000        1480.9      0         
49        1000        1465.13     0         
50        1000        1449.85     0         
51        1000        1435.04     0         
52        1000        1420.68     0         
53        1000        1406.74     0         
54        1000        1393.2      0         
55        1000        1380.05     0         
56        1000        1367.26     0         
57        1000        1354.82     0         
58        1000        1342.71     0         
59        1000        1330.93     0         
60        1000        1319.45     0         
61        1000        1308.26     0         
62        1000        1297.35     0         
63        1000        1286.71     0         
64        1000        1276.32     0         
65        1000        1266.19     0         
66        1000        1256.3      0         
67        1000        1246.63     0         
68        1000        1237.18     0         
69        1000        1227.94     0         
70        1000        1218.9      0         
71        1000        1210.07     0         
72        1000        1201.42     0         
73        1000        1192.96     0         
74        1000        1184.67     0         
75        1000        1176.56     0         
76        1000        1168.6      0         
77        1000        1160.81     0         
78        1000        1153.17     0         
79        1000        1145.68     0         
80        1000        1138.33     0         
81        1000        1131.13     0         
82        1000        1124.06     0         
83        1000        1117.11     0         
84        1000        1110.3      0         
85        1000        1103.61     0         
86        1000        1097.04     0         
87        1000        1090.58     0         
88        1000        1084.24     0         
89        1000        1078.01     0         
90        1000        1071.88     0         
91        1000        1065.86     0         
92        1000        1059.94     0         
93        1000        1054.11     0         
94        1000        1048.38     0         
95        1000        1042.74     0         
96        1000        1037.2      0         
97        1000        1031.74     0         
98        1000        1026.36     0         
99        1000        1021.07     0         
100       1000        1015.86     0         
101       1000        1010.73     0         
102       1000        1005.68     0         
103       1000        1000.7      0         
104       1000        995.789     0         
105       1000        990.954     0         
106       1000        986.19      0         
107       1000        981.494     0         
108.003   1000        976.849     0         
109.011   1000        972.251     0         
110.018   1000        967.718     0         
111.018   1000        963.279     0         
112.021   1000        958.885     0         
113.036   1000        954.503     0         
114.06    1000        950.143     0         
115.091   1000        945.811     0         
116.115   1000        941.568     0         
117.141   1000        937.374     0         
118.169   1000        933.228     0         
119.212   1000        929.078     0         
120.263   1000        924.948     0         
121.313   1000        920.877     0         
122.355   1000        916.892     0         
123.396   1000        912.96      0         
124.459   1000        909.001     0         
125.53    1000        905.062     0         
126.604   1000        901.164     0         
127.669   1000        897.344     0         
128.741   1000        893.552     0         
129.822   1000        889.775     0         
130.912   1000        886.013     0         
132.009   1000        882.277     0         
133.099   1000        878.613     0         
134.194   1000        874.976     0         
135.293   1000        871.37      0         
136.403   1000        867.774     0         
137.522   1000        864.197     0         
138.632   1000        860.687     0         
139.746   1000        857.21      0         
140.864   1000        853.764     0         
141.994   1000        850.322     0         
143.133   1000        846.894     0         
144.265   1000        843.528     0         
145.399   1000        840.197     0         
146.536   1000        836.897     0         
147.686   1000        833.599     0         
148.846   1000        830.313     0         
149.999   1000        827.087     0         
151.154   1000        823.891     0         
152.313   1000        820.722     0         
153.485   1000        817.556     0         
154.666   1000        814.403     0         
155.838   1000        811.311     0         
157.015   1000        808.24      0         
158.198   1000        805.192     0         
159.392   1000        802.152     0         
160.593   1000        799.13      0         
161.784   1000        796.166     0         
162.986   1000        793.21      0         
164.194   1000        790.274     0         
165.411   1000        787.35      0         
166.631   1000        784.456     0         
167.841   1000        781.617     0         
169.055   1000        778.801     0         
170.287   1000        775.98      0         
171.526   1000        773.173     0         
172.764   1000        770.406     0         
173.992   1000        767.69      0         
175.223   1000        764.999     0         
176.473   1000        762.3       0         
177.734   1000        759.61      0         
178.987   1000        756.969     0         
180.244   1000        754.354     0         
181.507   1000        751.758     0         
182.782   1000        749.168     0         
184.062   1000        746.602     0         
185.332   1000        744.088     0         
186.609   1000        741.591     0         
187.902   1000        739.097     0         
189.203   1000        736.62      0         
190.499   1000        734.186     0         
191.789   1000        731.795     0         
193.085   1000        729.425     0         
194.398   1000        727.058     0         
195.718   1000        724.712     0         
197.028   1000        722.418     0         
198.35    1000        720.137     0         
199.683   1000        717.872     0         
201.025   1000        715.629     0         
202.36    1000        713.43      0         
203.69    1000        711.277     0         
205.027   1000        709.148     0         
206.38    1000        707.029     0         
207.74    1000        704.939     0         
209.089   1000        702.905     0         
210.446   1000        700.896     0         
211.821   1000        698.901     0         
213.204   1000        696.936     0         
214.578   1000        695.026     0         
215.952   1000        693.156     0         
217.338   1000        691.314     0         
218.736   1000        689.5       0         
220.133   1000        687.734     0         
221.519   1000        686.028     0         
222.913   1000        684.357     0         
224.327   1000        682.714     0         
225.748   1000        681.113     0         
227.155   1000        679.577     0         
228.573   1000        678.083     0         
230.009   1000        676.625     0         
231.454   1000        675.215     0         
232.885   1000        673.877     0         
234.324   1000        672.59      0         
235.777   1000        671.351     0         
237.24    1000        670.168     0         
238.693   1000        669.057     0         
240.146   1000        668.012     0         
241.612   1000        667.027     0         
243.092   1000        666.103     0         
244.567   1000        665.255     0         
246.034   1000        664.486     0         
247.513   1000        663.787     0         
249.011   1000        663.158     0         
250.508   1000        662.612     0         
251.992   1000        662.153     0         
253.487   1000        661.776     0         
255.004   1000        661.483     0         
256.523   1000        661.282     0         
258.027   1000        661.175     0         
259.544   1000        661.163     0         
261.082   1000        661.25      0         
262.622   1000        661.441     0         
264.146   1000        661.732     0         
265.684   1000        662.133     0         
267.243   1000        662.651     0         
268.803   1000        663.283     0         
270.347   1000        664.023     0         
271.905   1000        664.887     0         
273.484   1000        665.886     0         
275.064   1000        667.011     0         
276.627   1000        668.25      0         
278.204   1000        669.629     0         
279.805   1000        671.164     0         
281.403   1000        672.834     0         
282.985   1000        674.624     0         
284.581   1000        676.573     0         
286.202   1000        678.698     0         
287.817   1000        680.965     0         
289.423   1000        683.369     0         
291.046   1000        685.951     0         
292.689   1000        688.727     0         
294.321   1000        691.644     0         
295.954   1000        694.724     0         
297.605   1000        698.006     0         
299.272   1000        701.493     0         
300.919   1000        705.11      0         
302.581   1000        708.933     0         
304.263   1000        712.986     0         
305.95    1000        717.233     0         
307.614   1000        721.607     0         
309.296   1000        726.211     0         
310.999   1000        731.067     0         
312.699   1000        736.107     0         
314.38    1000        741.282     0         
316.077   1000        746.704     0         
317.8     1000        752.411     0         
319.51    1000        758.278     0         
321.223   1000        764.354     0         
322.955   1000        770.71      0         
324.701   1000        777.331     0         
326.425   1000        784.077     0         
328.168   1000        791.114     0         
329.932   1000        798.455     0         
331.691   1000        805.998     0         
333.432   1000        813.676     0         
335.189   1000        821.653     0         
336.973   1000        829.977     0         
338.739   1000        838.443     0         
340.515   1000        847.185     0         
342.315   1000        856.282     0         
344.118   1000        865.632     0         
345.896   1000        875.081     0         
347.693   1000        884.864     0         
349.516   1000        895.029     0         
351.324   1000        905.353     0         
353.134   1000        915.925     0         
354.967   1000        926.882     0         
356.81    1000        938.139     0         
358.626   1000        949.478     0         
360.463   1000        961.188     0         
362.324   1000        973.31      0         
364.17    1000        985.581     0         
366.018   1000        998.109     0         
367.893   1000        1011.08     0         
369.773   1000        1024.33     0         
371.626   1000        1037.65     0         
373.498   1000        1051.35     0         
375.398   1000        1065.52     0         
377.277   1000        1079.78     0         
379.175   1000        1094.44     0         
381.094   1000        1109.52     0         
383.007   1000        1124.82     0         
384.901   1000        1140.21     0         
386.815   1000        1156.02     0         
388.751   1000        1172.28     0         
390.662   1000        1188.57     0         
392.597   1000        1205.33     0         
394.555   1000        1222.54     0         
396.495   1000        1239.85     0         
398.44    1000        1257.45     0         
400.412   1000        1275.57     0         
402.383   1000        1293.92     0         
404.33    1000        1312.29     0         
406.298   1000        1331.1      0         
408.289   1000        1350.39     0         
410.254   1000        1369.68     0         
412.243   1000        1389.44     0         
414.257   1000        1409.68     0         
416.248   1000        1429.94     0         
418.261   1000        1450.65     0         
420.294   1000        1471.82     0         
422.315   1000        1493.07     0         
424.324   1000        1514.44     0         
426.366   1000        1536.36     0         
428.409   1000        1558.54     0         
430.427   1000        1580.65     0         
432.468   1000        1603.2      0         
434.53    1000        1626.2      0         
436.566   1000        1649.1      0         
438.627   1000        1672.48     0         
440.712   1000        1696.33     0         
442.771   1000        1720.05     0         
444.856   1000        1744.23     0         
446.964   1000        1768.85     0         
449.047   1000        1793.35     0         
451.154   1000        1818.27     0         
453.28    1000        1843.58     0         
455.388   1000        1868.79     0         
457.499   1000        1894.16     0         
459.64    1000        1920.01     0         
461.769   1000        1945.82     0         
463.888   1000        1971.61     0         
466.043   1000        1997.93     0         
468.192   1000        2024.26     0         
470.325   1000        2050.44     0         
472.491   1000        2077.08     0         
474.66    1000        2103.8      0         
476.808   1000        2130.3      0         
478.986   1000        2157.19     0         
481.173   1000        2184.21     0         
483.336   1000        2210.93     0         
485.529   1000        2237.99     0         
487.735   1000        2265.18     0         
489.914   1000        2292        0         
492.123   1000        2319.14     0         
494.348   1000        2346.4      0         
496.545   1000        2373.27     0         
498.772   1000        2400.41     0         
501.015   1000        2427.66     0         
503.231   1000        2454.48     0         
505.478   1000        2481.52     0         
507.74    1000        2508.63     0         
509.977   1000        2535.27     0         
512.245   1000        2562.14     0         
