Results for well: I1 in the reservoir: RES1

  t       BHP	     q(Oil)       q(Water)
(days)   (psia)    (STB/day)    (STB/day)
0         7000        0           0         
0.01      7000        0           -0.341627 
0.02      7000        0           -0.299129 
0.03      7000        0           -0.280442 
0.0400339  7000        0           -0.268462 
0.0526955  7000        0           -0.257292 
0.0685579  7000        0           -0.246517 
0.0889607  7000        0           -0.235902 
0.116331  7000        0           -0.22519  
0.152585  7000        0           -0.214589 
0.197946  7000        0           -0.204542 
0.255349  7000        0           -0.194774 
0.33053   7000        0           -0.184896 
0.433852  7000        0           -0.180633 
0.568989  7000        0           -0.175475 
0.73867   7000        0           -0.170872 
0.955191  7000        0           -0.170186 
1.22209   7000        0           -0.171869 
1.55988   7000        0           -0.172888 
2.00856   7000        0           -0.180542 
2.63855   7000        0           -0.180993 
3.52289   7000        0           -0.187012 
4.81653   7000        0           -0.184026 
5         7000        0           -0.185479 
