Results for well: P3 in the reservoir: RES1

  t       BHP	     q(Oil)       q(Water)
(days)   (psia)    (STB/day)    (STB/day)
0         4000        0           0         
0.01      4000        0.41378     0.000188662
0.02      4000        0.347328    0.000255644
0.03      4000        0.305129    0.00027889
0.0400339  4000        0.27713     0.000285989
0.0526955  4000        0.254243    0.000286809
0.0685579  4000        0.235581    0.00028413
0.0889607  4000        0.219677    0.000279448
0.116331  4000        0.205288    0.000273292
0.152585  4000        0.192174    0.000266081
0.197946  4000        0.180603    0.00025844
0.255349  4000        0.170167    0.000250504
0.33053   4000        0.160474    0.000242226
0.433852  4000        0.15126     0.000233509
0.568989  4000        0.143092    0.000225041
0.73867   4000        0.13628     0.000217367
0.955191  4000        0.130718    0.00021056
1.22209   4000        0.126475    0.000204863
1.55988   4000        0.123295    0.000200049
2.00856   4000        0.120911    0.000195767
2.63855   4000        0.119062    0.000191572
3.52289   4000        0.117524    0.000187093
4.81653   4000        0.115987    0.000181722
5         4000        0.11578     0.000180984
