Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
0         600         0           0         
0.1       600         -491.4843   0         
0.6       600         -498.86826  0         
1.98584   600         -534.81167  0         
5.35636   600         -609.06324  0         
11.8575   600         -713.87085  0         
21.7182   600         -819.21918  0         
36.2887   600         -918.62733  0         
56.6946   600         -1018.1686  0         
83.0529   600         -1124.4517  0         
113.053   600         -1223.4129  0         
143.053   600         -1305.5283  0         
173.053   600         -1376.9892  0         
203.053   600         -1440.6917  0         
233.053   600         -1496.2386  0         
263.053   600         -1544.7334  0         
293.053   600         -1588.8323  0         
323.053   600         -1629.3435  0         
353.053   600         -1665.9849  0         
383.053   600         -1698.5948  0         
413.053   600         -1727.6707  0         
443.053   600         -1751.9708  0         
473.053   600         -1769.9258  0         
503.053   600         -1778.856   0         
533.053   600         -1775.8342  0         
563.053   600         -1763.3739  0         
593.053   600         -1743.5219  0         
623.053   600         -1717.9307  0         
653.053   600         -1687.791   0         
683.053   600         -1651.6336  0         
713.053   600         -1614.6185  0         
743.053   600         -1577.356   0         
773.053   600         -1540.4043  0         
803.053   600         -1504.3615  0         
833.053   600         -1469.5655  0         
863.053   600         -1436.2696  0         
893.053   600         -1404.7397  0         
923.053   600         -1375.1168  0         
953.053   600         -1347.5051  0         
983.053   600         -1321.9438  0         
1013.05   600         -1298.361   0         
1043.05   600         -1276.6849  0         
1073.05   600         -1256.8348  0         
1103.05   600         -1238.7534  0         
1133.05   600         -1222.297   0         
1163.05   600         -1207.3477  0         
1193.05   600         -1193.7959  0         
1223.05   600         -1181.5463  0         
1253.05   600         -1170.468   0         
1283.05   600         -1160.4543  0         
1313.05   600         -1151.4104  0         
1343.05   600         -1143.2582  0         
1373.05   600         -1135.917   0         
1403.05   600         -1129.3049  0         
1433.05   600         -1123.3581  0         
1463.05   600         -1117.9932  0         
1493.05   600         -1113.1532  0         
1523.05   600         -1108.7743  0         
1553.05   600         -1104.789   0         
1583.05   600         -1101.1462  0         
1613.05   600         -1097.799   0         
1643.05   600         -1094.7138  0         
1673.05   600         -1091.8689  0         
1703.05   600         -1089.2407  0         
1733.05   600         -1086.8072  0         
1763.05   600         -1084.5486  0         
1793.05   600         -1082.4557  0         
1823.05   600         -1080.5116  0         
1853.05   600         -1078.687   0         
1883.05   600         -1076.9752  0         
1913.05   600         -1075.3677  0         
1943.05   600         -1073.8565  0         
1973.05   600         -1072.448   0         
2000      600         -1071.2457  0         
