Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
0         300         0           0         
0.1       300         927.90002   143.759   
0.6       300         960.37471   136.507   
1.98584   300         1023.4321   116.218   
5.35636   300         1147.8245   78.6243   
11.8575   300         1320.1178   32.7075   
21.7182   300         1485.4363   0         
36.2887   300         1610.6359   0         
56.6946   300         1726.6889   0         
83.0529   300         1820.9028   0         
113.053   300         1884.0564   0         
143.053   300         1923.5452   0         
173.053   300         1941.143    0         
203.053   300         1953.7785   0         
233.053   300         1964.1207   0         
263.053   300         1968.4319   0         
293.053   300         1969.0811   0         
323.053   300         1967.4621   0         
353.053   300         1963.9534   0         
383.053   300         1959.7364   0         
413.053   300         1951.391    0         
443.053   300         1913.2306   0         
473.053   300         1771.8914   0         
503.053   300         1650.015    0         
533.053   300         1547.8398   0         
563.053   300         1462.6694   0         
593.053   300         1391.8504   0         
623.053   300         1335.1827   0         
653.053   300         1289.2901   0         
683.053   300         1242.5048   10.2311   
713.053   300         1205.3735   21.4758   
743.053   300         1174.2915   31.6032   
773.053   300         1150.3512   40.9222   
803.053   300         1132.496    49.3621   
833.053   300         1118.6192   56.7226   
863.053   300         1108.2706   63.0964   
893.053   300         1101.8903   68.709    
923.053   300         1099.0678   73.5978   
953.053   300         1097.826    77.791    
983.053   300         1097.8636   81.3789   
1013.05   300         1098.9007   84.4429   
1043.05   300         1100.6821   87.0584   
1073.05   300         1102.9833   89.2934   
1103.05   300         1105.5291   91.2327   
1133.05   300         1108.24     92.9105   
1163.05   300         1111.0435   94.3595   
1193.05   300         1113.8537   95.6153   
1223.05   300         1116.5341   96.7322   
1253.05   300         1119.0478   97.7375   
1283.05   300         1121.48     98.6178   
1313.05   300         1123.7796   99.3963   
1343.05   300         1125.9118   100.092   
1373.05   300         1127.8513   100.723   
1403.05   300         1129.5796   101.304   
1433.05   300         1131.082    101.85    
1463.05   300         1132.345    102.371   
1493.05   300         1133.3546   102.88    
1523.05   300         1134.0943   103.389   
1553.05   300         1134.5426   103.91    
1583.05   300         1134.6728   104.457   
1613.05   300         1134.551    105.021   
1643.05   300         1134.4131   105.556   
1673.05   300         1134.2517   106.064   
1703.05   300         1134.0558   106.549   
1733.05   300         1133.8157   107.018   
1763.05   300         1133.5257   107.473   
1793.05   300         1133.1839   107.918   
1823.05   300         1132.7916   108.356   
1853.05   300         1132.4034   108.795   
1883.05   300         1132.0506   109.241   
1913.05   300         1131.6559   109.68    
1943.05   300         1131.2321   110.112   
1973.05   300         1130.7889   110.536   
2000      300         1130.3829   110.908   
