Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
0         600         0           0         
0.1       600         -491.48799  0         
0.6       600         -498.87306  0         
1.98613   600         -534.79956  0         
5.36284   600         -608.75701  0         
12.0118   600         -713.1252   0         
18.2073   600         -783.72811  0         
23.9839   600         -832.99246  0         
35.9165   600         -891.95692  0         
56.1442   600         -956.67149  0         
86.1442   600         -1014.9629  0         
116.144   600         -1060.5219  0         
146.144   600         -1099.0618  0         
176.144   600         -1132.3491  0         
206.144   600         -1159.5856  0         
236.144   600         -1179.5357  0         
266.144   600         -1192.6011  0         
296.144   600         -1201.073   0         
326.144   600         -1206.197   0         
356.144   600         -1207.2486  0         
386.144   600         -1204.6817  0         
416.144   600         -1199.9742  0         
446.144   600         -1193.4918  0         
476.144   600         -1185.433   0         
506.144   600         -1176.0823  0         
536.144   600         -1165.7374  0         
566.144   600         -1154.5997  0         
596.144   600         -1142.3057  0         
626.144   600         -1129.6681  0         
656.144   600         -1116.9043  0         
686.144   600         -1104.0315  0         
716.144   600         -1091.2558  0         
746.144   600         -1078.2675  0         
776.144   600         -1064.1554  0         
806.144   600         -1050.6212  0         
836.144   600         -1037.5575  0         
866.144   600         -1024.9283  0         
896.144   600         -1012.7423  0         
926.144   600         -1001.0002  0         
956.144   600         -989.71857  0         
986.144   600         -978.90883  0         
1016.14   600         -968.5232   0         
1046.14   600         -958.55758  0         
1076.14   600         -949.07205  0         
1106.14   600         -939.98423  0         
1136.14   600         -931.27366  0         
1166.14   600         -922.95993  0         
1196.14   600         -915.03455  0         
1226.14   600         -907.45372  0         
1256.14   600         -900.18988  0         
1286.14   600         -893.27593  0         
1316.14   600         -886.65966  0         
1346.14   600         -880.3264   0         
1376.14   600         -874.26308  0         
1406.14   600         -868.52089  0         
1436.14   600         -863.011    0         
1466.14   600         -857.71285  0         
1496.14   600         -852.58865  0         
1526.14   600         -847.66731  0         
1556.14   600         -842.94553  0         
1586.14   600         -838.34232  0         
1616.14   600         -833.86938  0         
1646.14   600         -829.52705  0         
1676.14   600         -825.54842  0         
1706.14   600         -821.73416  0         
1736.14   600         -817.96064  0         
1766.14   600         -814.30616  0         
1796.14   600         -810.78416  0         
1826.14   600         -807.40176  0         
1856.14   600         -804.15784  0         
1886.14   600         -801.04468  0         
1916.14   600         -798.05755  0         
1946.14   600         -795.1918   0         
1976.14   600         -792.44464  0         
2000      600         -790.33312  0         
