Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
0         300         0           0         
0.1       300         927.8936    143.759   
0.6       300         960.36006   136.506   
1.98613   300         1023.3178   116.202   
5.36284   300         1146.5339   78.4825   
12.0118   300         1311.6011   31.789    
18.2073   300         1415.9275   4.05942   
23.9839   300         1466.8515   0         
35.9165   300         1521.2674   0         
56.1442   300         1546.7541   0         
86.1442   300         1530.5054   0         
116.144   300         1319.0837   0         
146.144   300         1172.484    0         
176.144   300         1080.4177   0         
206.144   300         1015.5952   0         
236.144   300         962.04276   8.39924   
266.144   300         918.61605   16.4821   
296.144   300         884.95216   23.5204   
326.144   300         858.68767   30.1091   
356.144   300         837.67774   35.8822   
386.144   300         821.27285   40.9381   
416.144   300         808.58861   45.3934   
446.144   300         799.37833   49.3509   
476.144   300         792.99977   52.9106   
506.144   300         788.42513   56.2979   
536.144   300         785.29456   59.3617   
566.144   300         783.31033   62.1513   
596.144   300         782.26799   64.7027   
626.144   300         781.94703   67.0505   
656.144   300         782.12646   69.2277   
686.144   300         782.67776   71.2574   
716.144   300         783.47923   73.1595   
746.144   300         784.44165   74.9492   
776.144   300         785.4853    76.6402   
806.144   300         786.54448   78.2436   
836.144   300         787.5861    79.7671   
866.144   300         788.59555   81.216    
896.144   300         789.55717   82.5955   
926.144   300         790.50937   83.9052   
956.144   300         791.44414   85.149    
986.144   300         792.3377    86.3324   
1016.14   300         793.1693    87.4611   
1046.14   300         793.92823   88.5396   
1076.14   300         794.63462   89.5691   
1106.14   300         795.30133   90.5512   
1136.14   300         795.89818   91.4914   
1166.14   300         796.42257   92.3922   
1196.14   300         796.9135    93.2525   
1226.14   300         797.37267   94.0742   
1256.14   300         797.90864   94.8624   
1286.14   300         798.44271   95.6211   
1316.14   300         798.91158   96.3507   
1346.14   300         799.32149   97.052    
1376.14   300         799.68895   97.7249   
1406.14   300         800.02045   98.3704   
1436.14   300         800.28407   98.9936   
1466.14   300         800.50001   99.5943   
1496.14   300         800.68324   100.172   
1526.14   300         800.8245    100.729   
1556.14   300         800.93326   101.265   
1586.14   300         801.01352   101.781   
1616.14   300         801.06989   102.276   
1646.14   300         801.10544   102.753   
1676.14   300         801.11016   103.212   
1706.14   300         801.07828   103.655   
1736.14   300         801.02656   104.092   
1766.14   300         800.96543   104.518   
1796.14   300         800.8952    104.927   
1826.14   300         800.81442   105.318   
1856.14   300         800.7225    105.694   
1886.14   300         800.6203    106.056   
1916.14   300         800.50637   106.403   
1946.14   300         800.37984   106.738   
1976.14   300         800.24073   107.06    
2000      300         800.12224   107.309   
