Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
0         600         0           0         
0.1       600         -491.48767  0         
0.6       600         -498.87286  0         
1.98611   600         -534.79922  0         
5.36292   600         -608.75994  0         
12.0123   600         -713.13283  0         
13.5613   600         -735.65939  0         
14.0481   600         -742.1876   0         
14.7342   600         -750.82129  0         
15.6783   600         -762.12097  0         
18.2097   600         -791.45161  0         
19.7698   600         -808.08163  0         
21.8856   600         -826.55654  0         
27.1897   600         -860.99343  0         
28.5137   600         -868.28161  0         
30.2875   600         -877.23633  0         
34.9347   600         -899.38052  0         
37.6964   600         -911.5475   0         
38.6145   600         -915.61461  0         
39.276    600         -918.56656  0         
40.2382   600         -922.91306  0         
41.6163   600         -929.02578  0         
42.5847   600         -933.67771  0         
43.2789   600         -936.91376  0         
44.2871   600         -941.65445  0         
45.0097   600         -945.13209  0         
45.5343   600         -947.46235  0         
46.3031   600         -950.79735  0         
46.8605   600         -953.23915  0         
47.6763   600         -956.00855  0         
48.267    600         -957.76793  0         
49.1307   600         -960.08124  0         
49.7551   600         -961.66256  0         
50.6671   600         -963.86482  0         
51.3253   600         -965.40578  0         
52.2857   600         -967.58534  0         
52.9779   600         -969.11728  0         
53.4823   600         -970.2144   0         
54.2233   600         -971.79357  0         
54.7624   600         -972.92202  0         
55.5534   600         -974.54262  0         
56.128    600         -975.69757  0         
56.97     600         -977.35182  0         
57.5805   600         -978.6439   0         
58.4743   600         -980.62368  0         
59.1213   600         -982.03622  0         
60.0676   600         -984.06828  0         
60.7518   600         -985.51637  0         
61.7515   600         -987.59775  0         
62.4734   600         -989.0784   0         
63.5269   600         -991.20292  0         
65.0459   600         -994.19248  0         
67.1999   600         -998.29151  0         
67.9473   600         -999.686    0         
68.4925   600         -1000.6935  0         
69.2941   600         -1002.1576  0         
70.4618   600         -1004.2554  0         
72.1413   600         -1007.2028  0         
74.5155   600         -1011.2395  0         
81.0818   600         -1021.664   0         
81.5876   600         -1022.4501  0         
82.3341   600         -1023.6023  0         
82.881    600         -1024.4412  0         
83.6875   600         -1025.7028  0         
84.8682   600         -1027.6945  0         
86.5803   600         -1030.5707  0         
87.1942   600         -1031.5979  0         
87.6477   600         -1032.3553  0         
88.9935   600         -1034.5983  0         
89.9813   600         -1036.2396  0         
90.7061   600         -1037.4411  0         
92.8472   600         -1040.9785  0         
98.9725   600         -1050.9374  0         
99.9921   600         -1052.5801  0         
100.741   600         -1053.783   0         
101.294   600         -1054.6696  0         
102.936   600         -1057.2876  0         
105.322   600         -1061.0628  0         
107.036   600         -1063.7567  0         
108.283   600         -1065.7075  0         
111.946   600         -1071.3562  0         
117.131   600         -1079.1574  0         
118.033   600         -1080.5055  0         
118.701   600         -1081.4992  0         
119.692   600         -1082.9672  0         
122.624   600         -1087.2404  0         
131.072   600         -1098.8926  0         
142.506   600         -1114.7715  0         
157.506   600         -1133.9396  0         
172.506   600         -1150.9928  0         
202.506   600         -1177.1302  0         
232.506   600         -1195.6109  0         
262.506   600         -1207.5555  0         
292.506   600         -1216.0718  0         
322.506   600         -1220.3315  0         
352.506   600         -1220.7546  0         
382.506   600         -1217.6531  0         
412.506   600         -1211.7557  0         
416.256   600         -1210.9464  0         
427.261   600         -1208.4208  0         
457.261   600         -1200.6434  0         
487.261   600         -1191.2941  0         
517.261   600         -1180.8395  0         
547.261   600         -1169.5667  0         
577.261   600         -1157.2692  0         
607.261   600         -1144.2165  0         
637.261   600         -1130.9575  0         
667.261   600         -1117.5794  0         
697.261   600         -1104.2312  0         
727.261   600         -1089.6891  0         
757.261   600         -1075.2173  0         
787.261   600         -1061.2475  0         
817.261   600         -1047.7437  0         
847.261   600         -1034.6689  0         
877.261   600         -1022.0385  0         
907.261   600         -1009.8298  0         
937.261   600         -998.07971  0         
967.261   600         -986.81813  0         
997.261   600         -975.98641  0         
1027.26   600         -965.57472  0         
1057.26   600         -955.63901  0         
1087.26   600         -946.11909  0         
1117.26   600         -936.98008  0         
1147.26   600         -928.26742  0         
1177.26   600         -919.96552  0         
1207.26   600         -912.018    0         
1237.26   600         -904.39121  0         
1267.26   600         -897.10713  0         
1297.26   600         -890.11515  0         
1327.26   600         -883.40925  0         
1357.26   600         -876.97777  0         
1387.26   600         -870.87817  0         
1417.26   600         -865.01629  0         
1447.26   600         -859.36216  0         
1477.26   600         -853.87981  0         
1507.26   600         -848.64689  0         
1537.26   600         -843.64464  0         
1567.26   600         -838.77224  0         
1597.26   600         -834.03286  0         
1627.26   600         -829.42365  0         
1657.26   600         -825.24316  0         
1687.26   600         -821.15439  0         
1717.26   600         -817.15703  0         
1747.26   600         -813.2916   0         
1777.26   600         -809.56714  0         
1807.26   600         -805.99107  0         
1837.26   600         -802.55456  0         
1867.26   600         -799.25615  0         
1897.26   600         -796.10066  0         
1927.26   600         -793.07498  0         
1957.26   600         -790.1719   0         
1987.26   600         -787.38553  0         
2000      600         -786.22287  0         
