Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
0         300         0           0         
0.1       300         927.89419   143.759   
0.6       300         960.36093   136.506   
1.98611   300         1023.3157   116.202   
5.36292   300         1146.5349   78.4817   
12.0123   300         1311.5729   31.7857   
13.5613   300         1345.8164   23.0106   
14.0481   300         1355.784    20.3731   
14.7342   300         1368.9953   16.8181   
15.6783   300         1385.6264   12.2163   
18.2097   300         1425.8997   2.0202    
19.7698   300         1443.2552   0         
21.8856   300         1460.7085   0         
27.1897   300         1498.0174   0         
28.5137   300         1505.4017   0         
30.2875   300         1513.2688   0         
34.9347   300         1529.2414   0         
37.6964   300         1535.3001   0         
38.6145   300         1537.4315   0         
39.276    300         1539.0873   0         
40.2382   300         1541.3953   0         
41.6163   300         1544.2474   0         
42.5847   300         1545.9701   0         
43.2789   300         1547.1232   0         
44.2871   300         1549.3907   0         
45.0097   300         1550.8832   0         
45.5343   300         1551.9034   0         
46.3031   300         1553.291    0         
46.8605   300         1554.2291   0         
47.6763   300         1555.4901   0         
48.267    300         1556.3331   0         
49.1307   300         1557.4509   0         
49.7551   300         1558.187    0         
50.6671   300         1559.1447   0         
51.3253   300         1559.7676   0         
52.2857   300         1560.5595   0         
52.9779   300         1561.0566   0         
53.4823   300         1561.3812   0         
54.2233   300         1561.7953   0         
54.7624   300         1562.056    0         
55.5534   300         1562.3713   0         
56.128    300         1562.558    0         
56.97     300         1562.7698   0         
57.5805   300         1562.8794   0         
58.4743   300         1562.9752   0         
59.1213   300         1563.013    0         
60.0676   300         1562.9995   0         
60.7518   300         1562.9466   0         
61.7515   300         1563.1345   0         
62.4734   300         1563.3611   0         
63.5269   300         1563.6239   0         
65.0459   300         1563.856    0         
67.1999   300         1563.8895   0         
67.9473   300         1563.8434   0         
68.4925   300         1563.7856   0         
69.2941   300         1563.6582   0         
70.4618   300         1563.3715   0         
72.1413   300         1562.7569   0         
74.5155   300         1561.4671   0         
81.0818   300         1552.9159   0         
81.5876   300         1552.0124   0         
82.3341   300         1550.4181   0         
82.881    300         1549.0576   0         
83.6875   300         1546.6134   0         
84.8682   300         1542.2536   0         
86.5803   300         1533.5188   0         
87.1942   300         1529.1768   0         
87.6477   300         1525.0476   0         
88.9935   300         1509.7404   0         
89.9813   300         1496.9416   0         
90.7061   300         1489.4382   0         
92.8472   300         1463.8114   0         
98.9725   300         1405.2365   0         
99.9921   300         1396.0199   0         
100.741   300         1389.3735   0         
101.294   300         1384.5441   0         
102.936   300         1371.1024   0         
105.322   300         1352.9923   0         
107.036   300         1340.6123   0         
108.283   300         1331.9067   0         
111.946   300         1308.5439   0         
117.131   300         1279.5454   0         
118.033   300         1274.7061   0         
118.701   300         1271.1546   0         
119.692   300         1265.9598   0         
122.624   300         1251.2869   0         
131.072   300         1213.8481   0         
142.506   300         1171.1523   0         
157.506   300         1124.6285   0         
172.506   300         1085.1647   0         
202.506   300         1025.0172   0         
232.506   300         974.69728   4.49646   
262.506   300         930.83435   12.6849   
292.506   300         895.62636   19.844    
322.506   300         867.3192    26.2599   
352.506   300         845.84979   32.1736   
382.506   300         828.32268   37.3975   
412.506   300         814.32466   42.0181   
416.256   300         812.83008   42.5871   
427.261   300         808.74171   44.1921   
457.261   300         800.31206   48.0709   
487.261   300         793.84014   51.5584   
517.261   300         789.00216   54.7093   
547.261   300         785.59923   57.714    
577.261   300         783.39613   60.4505   
607.261   300         782.05974   62.9578   
637.261   300         781.83032   65.2827   
667.261   300         782.0822    67.4599   
697.261   300         782.56199   69.5018   
727.261   300         783.21543   71.4208   
757.261   300         784.03632   73.2233   
787.261   300         784.89937   74.9271   
817.261   300         785.76708   76.5413   
847.261   300         786.6289    78.072    
877.261   300         787.4567    79.5263   
907.261   300         788.24946   80.9087   
937.261   300         788.99198   82.2254   
967.261   300         789.68237   83.4806   
997.261   300         790.33863   84.6751   
1027.26   300         790.9818    85.8101   
1057.26   300         791.59366   86.8907   
1087.26   300         792.15479   87.922    
1117.26   300         792.63206   88.9095   
1147.26   300         793.07967   89.8511   
1177.26   300         793.49214   90.75     
1207.26   300         793.77389   91.6195   
1237.26   300         794.0066    92.4543   
1267.26   300         794.2057    93.2544   
1297.26   300         794.44345   94.0241   
1327.26   300         794.7501    94.7658   
1357.26   300         795.00419   95.4794   
1387.26   300         795.22487   96.1645   
1417.26   300         795.41592   96.8219   
1447.26   300         795.58052   97.4528   
1477.26   300         795.71234   98.0589   
1507.26   300         795.81186   98.6413   
1537.26   300         795.88696   99.2004   
1567.26   300         795.93955   99.7372   
1597.26   300         795.97047   100.253   
1627.26   300         795.98091   100.748   
1657.26   300         795.95704   101.224   
1687.26   300         795.89827   101.684   
1717.26   300         795.81385   102.126   
1747.26   300         795.71267   102.55    
1777.26   300         795.59929   102.957   
1807.26   300         795.47435   103.349   
1837.26   300         795.33725   103.724   
1867.26   300         795.18709   104.085   
1897.26   300         795.02466   104.433   
1927.26   300         794.85005   104.767   
1957.26   300         794.66388   105.09    
1987.26   300         794.46672   105.4     
2000      300         794.38052   105.53    
