Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

  t       BHP	     q(Oil)       q(Water)
(days)   (psia)    (STB/day)    (STB/day)
0         7000        0           0         
1         7000        0           -6242.62  
2         7000        0           -5346.17  
3.65645   7000        0           -5194.14  
6.44118   7000        0           -5519.57  
10.5567   7000        0           -6293.77  
16.3403   7000        0           -6699.08  
24.6115   7000        0           -7253.92  
37.2551   7000        0           -7569.79  
54.3721   7000        0           -7639.55  
78.1345   7000        0           -7544.92  
108.454   7000        0           -7405.51  
145.764   7000        0           -7278.43  
190.334   7000        0           -7195.95  
240.334   7000        0           -7161.33  
290.334   7000        0           -7152.74  
340.334   7000        0           -7157.51  
390.334   7000        0           -7167.27  
440.334   7000        0           -7178.24  
490.334   7000        0           -7188.37  
500       7000        0           -7190.9   
