Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

  t       BHP	     q(Oil)       q(Water)
(days)   (psia)    (STB/day)    (STB/day)
0         3000        0           0         
1         3000        6752.7      2.5963    
2         3000        6381.74     3.04354   
3.65645   3000        6165.03     3.17456   
6.44118   3000        6040.55     3.10764   
10.5567   3000        6001.36     2.89767   
16.3403   3000        6033.3      2.58856   
24.6115   3000        6144.28     2.17047   
37.2551   3000        6357.27     1.5884    
54.3721   3000        6634.33     0.927911  
78.1345   3000        6939.88     0.376904  
108.454   3000        7213.05     0.0855027 
145.764   3000        7426.87     0.00507021
190.334   3000        7579.5      0.0115334 
240.334   3000        7682.58     0.0233769 
290.334   3000        7748.85     0.022738  
340.334   3000        7794.68     0.0150604 
390.334   3000        7828.33     0.0301322 
440.334   3000        7853.31     0.259616  
490.334   3000        7870.37     1.25763   
500       3000        7874.02     1.48422   
