Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

  t       BHP	     q(Oil)       q(Water)
(days)   (psia)    (STB/day)    (STB/day)
0         7000        0           0         
1         7000        0           -7235.59  
2         7000        0           -6765.17  
3.51905   7000        0           -7268.69  
5.71782   7000        0           -8002.44  
8.8529    7000        0           -8586.79  
13.1759   7000        0           -8926.22  
19.1097   7000        0           -9005.31  
28.3868   7000        0           -8921.63  
40.8645   7000        0           -8774.92  
58.0501   7000        0           -8613.31  
79.0173   7000        0           -8482.11  
103.896   7000        0           -8383.88  
134.534   7000        0           -8313.12  
170.368   7000        0           -8269.33  
211.427   7000        0           -8246.16  
258.163   7000        0           -8236.31  
308.163   7000        0           -8234.57  
358.163   7000        0           -8236.64  
408.163   7000        0           -8239.54  
458.163   7000        0           -8241.39  
500       7000        0           -8242.2   
