Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

  t       BHP	     q(Oil)       q(Water)
(days)   (psia)    (STB/day)    (STB/day)
0         3000        0           0         
1         3000        8391.4      0.345552  
2         3000        7933.42     0.409148  
3.51905   3000        7686.13     0.435793  
5.71782   3000        7561.97     0.442829  
8.8529    3000        7534.97     0.434917  
13.1759   3000        7588.86     0.414296  
19.1097   3000        7706.02     0.382577  
28.3868   3000        7888.78     0.3365    
40.8645   3000        8095.11     0.284202  
58.0501   3000        8309.84     0.227688  
79.0173   3000        8497.55     0.175305  
103.896   3000        8650.45     0.129491  
134.534   3000        8772.65     0.0921833 
170.368   3000        8862.01     0.0638853 
211.427   3000        8924.36     0.0438456 
258.163   3000        8966.66     0.0305403 
308.163   3000        8994        0.0225202 
358.163   3000        9011.07     0.0180306 
408.163   3000        9021.41     0.0155977 
458.163   3000        9025.71     0.0151065 
500       3000        9025.14     0.0188718 
