Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

  t       BHP	     q(Oil)       q(Water)
(days)   (psia)    (STB/day)    (STB/day)
0         7000        0           0         
1         7000        0           -8538.56  
2         7000        0           -8692.44  
3.35896   7000        0           -9354.15  
5.24885   7000        0           -9734.5   
7.82627   7000        0           -9648.67  
8.66779   7000        0           -9555.01  
9.12376   7000        0           -9496.39  
10.2678   7000        0           -9423.13  
12.6413   7000        0           -9362.3   
16.428    7000        0           -9274.43  
19.2544   7000        0           -9215.15  
24.7533   7000        0           -9113.43  
28.8461   7000        0           -9046.55  
36.2468   7000        0           -8944.09  
42.0824   7000        0           -8872.35  
53.0095   7000        0           -8757.92  
56.8615   7000        0           -8720.15  
65.1699   7000        0           -8649.1   
72.3944   7000        0           -8594.32  
79.1729   7000        0           -8551.06  
85.5799   7000        0           -8516.48  
98.077    7000        0           -8462     
107.967   7000        0           -8426.34  
112.398   7000        0           -8412.42  
122.514   7000        0           -8384.22  
131.47    7000        0           -8363.74  
140.014   7000        0           -8348.16  
148.48    7000        0           -8335.85  
156.816   7000        0           -8325.62  
165.043   7000        0           -8316.98  
173.217   7000        0           -8309.77  
181.151   7000        0           -8303.67  
189.489   7000        0           -8299.66  
206.388   7000        0           -8292.49  
213.039   7000        0           -8290.53  
227.557   7000        0           -8287.14  
239.597   7000        0           -8287.47  
250.705   7000        0           -8285.85  
256.057   7000        0           -8285.39  
268.757   7000        0           -8284.34  
280.333   7000        0           -8284.53  
285.692   7000        0           -8285.1   
298.343   7000        0           -8286.37  
310.21    7000        0           -8286.67  
321.603   7000        0           -8286.81  
332.59    7000        0           -8287.09  
343.127   7000        0           -8287.61  
353.501   7000        0           -8288.6   
358.76    7000        0           -8289.67  
371.545   7000        0           -8290.55  
383.823   7000        0           -8291.48  
395.684   7000        0           -8292.34  
406.977   7000        0           -8293.15  
412.654   7000        0           -8293.76  
426.391   7000        0           -8294.91  
432.929   7000        0           -8295.58  
448.367   7000        0           -8297.02  
454.952   7000        0           -8297.58  
462.631   7000        0           -8298.23  
479.799   7000        0           -8299.39  
489.9     7000        0           -8300     
500       7000        0           -8300.66  
