Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

  t       BHP	     q(Oil)       q(Water)
(days)   (psia)    (STB/day)    (STB/day)
0         3000        0           0         
1         3000        8394.26     0.345426  
2         3000        7940.35     0.408534  
3.35896   3000        7717.66     0.432747  
5.24885   3000        7618.9      0.437943  
7.82627   3000        7616.24     0.428913  
8.66779   3000        7624.39     0.42489   
9.12376   3000        7630.85     0.422466  
10.2678   3000        7654.2      0.415578  
12.6413   3000        7712.58     0.400385  
16.428    3000        7807.3      0.376691  
19.2544   3000        7875.72     0.359572  
24.7533   3000        7996.44     0.329308  
28.8461   3000        8079.57     0.308193  
36.2468   3000        8210.47     0.274619  
42.0824   3000        8302.98     0.250473  
53.0095   3000        8444.66     0.212629  
56.8615   3000        8491.02     0.199971  
65.1699   3000        8576.33     0.176181  
72.3944   3000        8640.81     0.157705  
79.1729   3000        8693.88     0.142096  
85.5799   3000        8738.33     0.129051  
98.077    3000        8807.35     0.108684  
107.967   3000        8852.88     0.0949764 
112.398   3000        8871.69     0.0892572 
122.514   3000        8907.17     0.0782415 
131.47    3000        8933.73     0.0698092 
140.014   3000        8955.42     0.0627865 
148.48    3000        8973.9      0.0566897 
156.816   3000        8989.56     0.051421  
165.043   3000        9002.87     0.0468539 
173.217   3000        9014.3      0.04286   
181.151   3000        9023.97     0.0394265 
189.489   3000        9032.86     0.036234  
206.388   3000        9046.4      0.0312079 
213.039   3000        9051.26     0.0294033 
227.557   3000        9059.62     0.0262316 
239.597   3000        9065.86     0.0239373 
250.705   3000        9070.64     0.0221667 
256.057   3000        9072.76     0.0213805 
268.757   3000        9076.82     0.0198552 
280.333   3000        9080.09     0.0186552 
285.692   3000        9081.6      0.0181227 
298.343   3000        9084.9      0.0170255 
310.21    3000        9087.45     0.0161812 
321.603   3000        9089.45     0.015516  
332.59    3000        9091.09     0.0149716 
343.127   3000        9092.52     0.0145089 
353.501   3000        9094.02     0.0140623 
358.76    3000        9094.92     0.0138174 
371.545   3000        9096.53     0.0133715 
383.823   3000        9097.82     0.0130149 
395.684   3000        9098.93     0.0127117 
406.977   3000        9099.97     0.0124365 
412.654   3000        9100.58     0.0122835 
426.391   3000        9101.79     0.0119799 
432.929   3000        9102.45     0.0118208 
448.367   3000        9103.65     0.0115269 
454.952   3000        9104.21     0.0113921 
462.631   3000        9104.77     0.0112572 
479.799   3000        9105.72     0.0110049 
489.9     3000        9106.35     0.0108422 
500       3000        9106.86     0.0107001 
