Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

  t       BHP	     q(Oil)       q(Water)
(days)   (psia)    (STB/day)    (STB/day)
0         7000        0           0         
1         7000        0           -8538.56  
2         7000        0           -8692.44  
3.35896   7000        0           -9354.15  
5.24885   7000        0           -9734.5   
7.82627   7000        0           -9648.67  
8.66779   7000        0           -9555.01  
9.12376   7000        0           -9491.12  
10.2678   7000        0           -9423.15  
12.6413   7000        0           -9362.24  
16.4281   7000        0           -9274.38  
19.2546   7000        0           -9215.1   
24.7534   7000        0           -9113.38  
28.8463   7000        0           -9046.5   
36.2471   7000        0           -8944.05  
42.0826   7000        0           -8872.32  
53.0098   7000        0           -8757.88  
56.8618   7000        0           -8720.11  
65.1703   7000        0           -8649.05  
72.3948   7000        0           -8594.29  
79.1734   7000        0           -8550.99  
85.5805   7000        0           -8516.45  
98.0776   7000        0           -8461.94  
107.967   7000        0           -8426.3   
112.399   7000        0           -8412.38  
122.515   7000        0           -8384.17  
131.471   7000        0           -8363.7   
140.014   7000        0           -8348.12  
148.477   7000        0           -8335.61  
156.81    7000        0           -8325.82  
165.036   7000        0           -8317.04  
173.209   7000        0           -8309.64  
181.143   7000        0           -8303.68  
189.481   7000        0           -8299.63  
206.381   7000        0           -8292.46  
213.032   7000        0           -8290.5   
227.55    7000        0           -8287.12  
239.59    7000        0           -8287.5   
250.7     7000        0           -8285.91  
256.052   7000        0           -8285.41  
268.753   7000        0           -8284.35  
280.329   7000        0           -8284.53  
285.689   7000        0           -8285.12  
298.339   7000        0           -8286.38  
310.206   7000        0           -8286.67  
321.599   7000        0           -8286.81  
332.586   7000        0           -8287.09  
343.123   7000        0           -8287.61  
353.497   7000        0           -8288.6   
358.756   7000        0           -8289.67  
371.54    7000        0           -8290.55  
383.818   7000        0           -8291.48  
395.679   7000        0           -8292.34  
406.972   7000        0           -8293.15  
412.648   7000        0           -8293.74  
426.385   7000        0           -8294.9   
432.924   7000        0           -8295.59  
448.356   7000        0           -8297.01  
454.94    7000        0           -8297.59  
462.619   7000        0           -8298.23  
479.788   7000        0           -8299.4   
489.894   7000        0           -8299.99  
500       7000        0           -8300.67  
