Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

  t       BHP	     q(Oil)       q(Water)
(days)   (psia)    (STB/day)    (STB/day)
0         3000        0           0         
1         3000        8394.26     0.345426  
2         3000        7940.35     0.408534  
3.35896   3000        7717.66     0.432747  
5.24885   3000        7618.9      0.437943  
7.82627   3000        7616.24     0.428913  
8.66779   3000        7624.39     0.42489   
9.12376   3000        7630.85     0.422466  
10.2678   3000        7654.2      0.415578  
12.6413   3000        7712.58     0.400385  
16.4281   3000        7807.3      0.37669   
19.2546   3000        7875.72     0.359572  
24.7534   3000        7996.44     0.329308  
28.8463   3000        8079.57     0.308193  
36.2471   3000        8210.46     0.274619  
42.0826   3000        8302.97     0.250473  
53.0098   3000        8444.65     0.21263   
56.8618   3000        8491.01     0.199972  
65.1703   3000        8576.32     0.176182  
72.3948   3000        8640.79     0.157706  
79.1734   3000        8693.86     0.142098  
85.5805   3000        8738.31     0.129054  
98.0776   3000        8807.32     0.108688  
107.967   3000        8852.86     0.0949798 
112.399   3000        8871.66     0.0892607 
122.515   3000        8907.14     0.0782452 
131.471   3000        8933.7      0.069813  
140.014   3000        8955.39     0.0627907 
148.477   3000        8973.84     0.0566992 
156.81    3000        8989.52     0.0514277 
165.036   3000        9002.84     0.046858  
173.209   3000        9014.25     0.0428671 
181.143   3000        9023.92     0.0394323 
189.481   3000        9032.82     0.0362393 
206.381   3000        9046.36     0.0312123 
213.032   3000        9051.22     0.0294073 
227.55    3000        9059.58     0.026235  
239.59    3000        9065.84     0.0239389 
250.7     3000        9070.62     0.0221666 
256.052   3000        9072.74     0.0213799 
268.753   3000        9076.81     0.0198541 
280.329   3000        9080.08     0.0186541 
285.689   3000        9081.59     0.0181212 
298.339   3000        9084.89     0.0170237 
310.206   3000        9087.45     0.0161795 
321.599   3000        9089.44     0.0155144 
332.586   3000        9091.09     0.0149702 
343.123   3000        9092.52     0.0145076 
353.497   3000        9094.02     0.0140611 
358.756   3000        9094.92     0.0138163 
371.54    3000        9096.53     0.0133706 
383.818   3000        9097.82     0.0130142 
395.679   3000        9098.93     0.0127111 
406.972   3000        9099.97     0.0124357 
412.648   3000        9100.57     0.0122845 
426.385   3000        9101.78     0.0119801 
432.924   3000        9102.45     0.0118192 
448.356   3000        9103.64     0.0115272 
454.94    3000        9104.21     0.0113913 
462.619   3000        9104.76     0.0112572 
479.788   3000        9105.72     0.0110044 
489.894   3000        9106.35     0.0108417 
500       3000        9106.86     0.0106997 
