Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

  t       BHP	     q(Gas)       q(Oil)    q(Water)
(days)   (psia)    (MSCF/day)   (STB/day)  (STB/day)
0         8000        0           0           0         
1         8000        0           0           -52732.6  
2         8000        0           0           -41480.3  
3.15013   8000        0           0           -33082.6  
4.85457   8000        0           0           -24633.5  
7.42359   8000        0           0           -16879.4  
11.3351   8000        0           0           -11659.6  
17.3277   8000        0           0           -8020.69  
26.5916   8000        0           0           -6109.6   
41.7335   8000        0           0           -5909.51  
66.4504   8000        0           0           -5743.95  
102.897   8000        0           0           -5916.32  
155.517   8000        0           0           -7142.85  
215.517   8000        0           0           -7997.97  
275.517   8000        0           0           -8534     
334.866   8000        0           0           -8790.59  
394.866   8000        0           0           -9164.85  
454.866   8000        0           0           -9432.22  
514.866   8000        0           0           -9595.62  
574.866   8000        0           0           -9726.81  
634.866   8000        0           0           -9731.18  
694.866   8000        0           0           -9593.27  
754.866   8000        0           0           -9495.03  
814.866   8000        0           0           -9544.97  
874.866   8000        0           0           -9629.95  
934.866   8000        0           0           -9739.27  
994.866   8000        0           0           -9892.78  
1054.87   8000        0           0           -10024.1  
1114.87   8000        0           0           -10120.7  
1174.87   8000        0           0           -10241.6  
1234.87   8000        0           0           -10417.6  
1294.87   8000        0           0           -10594.6  
1354.87   8000        0           0           -10779.9  
1414.87   8000        0           0           -11020.9  
1474.87   8000        0           0           -11291.5  
1534.87   8000        0           0           -11581.7  
1594.87   8000        0           0           -11874.3  
1654.87   8000        0           0           -12172.4  
1714.87   8000        0           0           -12461.9  
1774.87   8000        0           0           -12744.7  
1834.87   8000        0           0           -13031.6  
1894.87   8000        0           0           -13332.4  
1954.87   8000        0           0           -13675.3  
2014.87   8000        0           0           -14103.1  
2074.87   8000        0           0           -14568.9  
2134.87   8000        0           0           -15063.4  
2194.87   8000        0           0           -15562.3  
2254.87   8000        0           0           -16030.1  
2314.87   8000        0           0           -16483.1  
2374.87   8000        0           0           -16910    
2434.87   8000        0           0           -17322.5  
2494.87   8000        0           0           -17722.6  
2554.87   8000        0           0           -18119.9  
2614.87   8000        0           0           -18529.5  
2674.87   8000        0           0           -18944.4  
2734.87   8000        0           0           -19352.2  
2794.87   8000        0           0           -19748.8  
2854.87   8000        0           0           -20138.2  
2914.87   8000        0           0           -20576.5  
2974.87   8000        0           0           -21342.5  
3000      8000        0           0           -21683.3  
