Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

  t       BHP	     q(Gas)       q(Oil)    q(Water)
(days)   (psia)    (MSCF/day)   (STB/day)  (STB/day)
0         4320        0           0           0         
1         2895.32     25400       20000       1.51014e-008
2         2773.86     25400       20000       2.42423e-008
3.15013   2681.57     25400       20000       3.10853e-008
4.85457   2592.28     25400       20000       3.76225e-008
7.42359   2504.75     25400       20000       4.39532e-008
11.3351   2418.26     25400       20000       5.01326e-008
17.3277   2351.61     25208.857   20000       5.45016e-008
26.5916   2278.35     24783.917   20000       5.89113e-008
41.7335   2177.75     24836.155   20000       6.50008e-008
66.4504   2055.23     24941.889   20000       7.26005e-008
102.897   1934.45     24426.681   20000       8.03218e-008
155.517   1793.92     24003.216   20000       8.94495e-008
215.517   1445.89     28487.871   20000       7.16406e-005
275.517   1024.77     33352.595   20000       0.000221354
334.866   1000        32583.121   18528       0.000276963
394.866   1000        32105.714   17336       0.000307549
454.866   1000        31896.463   16429.2     0.000327923
514.866   1000        31736.163   15721.2     0.000343141
574.866   1000        31627.654   15140.2     0.000354951
634.866   1000        31583.646   14629.1     0.000364508
694.866   1000        31860.834   14164.3     0.000373582
754.866   1000        32351.396   13730.9     0.000382173
814.866   1000        32952.453   13291.8     0.00038998
874.866   1000        33675.971   12837.3     0.00039722
934.866   1000        34537.666   12365.4     0.000403878
994.866   1000        35702.237   11867.3     0.000409336
1054.87   1000        37063.969   11365       0.000413721
1114.87   1000        38477.128   10878.9     0.000417373
1174.87   1000        39891.068   10407.1     0.000420627
1234.87   1000        41353.184   9926.28     0.00042376
1294.87   1000        42933.441   9467.15     0.000425828
1354.87   1000        44564.811   9004.49     0.000427694
1414.87   1000        46161.396   8533.41     0.000429848
1474.87   1000        47677.95    8065.82     0.000432245
1534.87   1000        49678.178   7554.61     0.000433317
1594.87   1000        51705.898   7061.15     0.000433918
1654.87   1000        53465.921   6599.1      0.000435071
1714.87   1000        55554.933   6206.76     0.000438076
1774.87   1000        57823.903   5862.8      0.000442539
1834.87   1000        59740.762   5529.59     0.000447392
1894.87   1000        61286.568   5212.35     0.00045245
1954.87   1000        63040.805   4880.12     0.000457095
2014.87   1000        64912.135   4538.21     0.000461413
2074.87   1000        66372.102   4209.99     0.000465874
2134.87   1000        67103.874   3924.83     0.000470418
2194.87   1000        66895.396   3691.69     0.000475098
2254.87   1000        66175.214   3493.93     0.000479366
2314.87   1000        65143.598   3321.22     0.000483044
2374.87   1000        63893.239   3169.95     0.000486052
2434.87   1000        62446.567   3037.32     0.000488401
2494.87   1000        60868.661   2918.53     0.000490077
2554.87   1000        59243.822   2807.31     0.000491079
2614.87   1000        57591.759   2700.56     0.000491416
2674.87   1000        56039.981   2603.4      0.000491094
2734.87   1000        54510.789   2512.26     0.000490151
2794.87   1000        53010.603   2426.63     0.000488653
2854.87   1000        51555.313   2345.59     0.000486663
2914.87   1000        50145.891   2268.37     0.00048423
2974.87   1000        48784.316   2194.33     0.000481397
3000      1000        48222.987   2164.13     0.000480093
