Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

  t       BHP	     q(Gas)       q(Oil)    q(Water)
(days)   (psia)    (MSCF/day)   (STB/day)  (STB/day)
0         8000        0           0           0         
1         8000        0           0           -52732.6  
2         8000        0           0           -41480.3  
3.15013   8000        0           0           -33082.6  
4.85457   8000        0           0           -24633.5  
7.42359   8000        0           0           -16879.4  
11.3351   8000        0           0           -11659.6  
17.3277   8000        0           0           -8020.69  
26.5916   8000        0           0           -6109.6   
41.7335   8000        0           0           -5909.51  
66.4501   8000        0           0           -5743.95  
102.895   8000        0           0           -5916.28  
155.513   8000        0           0           -7142.82  
215.513   8000        0           0           -7998.13  
275.513   8000        0           0           -8534.32  
305.148   8000        0           0           -8681.53  
330.195   8000        0           0           -8796.7   
356.398   8000        0           0           -8980.7   
385.023   8000        0           0           -9162.02  
415.023   8000        0           0           -9317.7   
475.023   8000        0           0           -9528.65  
535.023   8000        0           0           -9678.41  
565.023   8000        0           0           -9756.72  
568.773   8000        0           0           -9765.91  
579.649   8000        0           0           -9787.43  
609.165   8000        0           0           -9809.3   
669.165   8000        0           0           -9704.4   
729.165   8000        0           0           -9506.27  
789.165   8000        0           0           -9529.94  
849.165   8000        0           0           -9603.8   
909.165   8000        0           0           -9690.77  
969.165   8000        0           0           -9825.27  
1029.16   8000        0           0           -9953.68  
1089.16   8000        0           0           -10050.9  
1104.16   8000        0           0           -10070.1  
1114.19   8000        0           0           -10083.6  
1141.94   8000        0           0           -10128.1  
1201.94   8000        0           0           -10249.5  
1261.94   8000        0           0           -10389.9  
1321.94   8000        0           0           -10523.9  
1381.94   8000        0           0           -10677.1  
1441.94   8000        0           0           -10859    
1501.94   8000        0           0           -11045.9  
1531.94   8000        0           0           -11139.3  
1591.94   8000        0           0           -11327.3  
1606.94   8000        0           0           -11375.3  
1627.26   8000        0           0           -11443.8  
1633.91   8000        0           0           -11466.4  
1652.95   8000        0           0           -11539.8  
1677.11   8000        0           0           -11622.9  
1737.11   8000        0           0           -11809.1  
1797.11   8000        0           0           -11993.1  
1857.11   8000        0           0           -12200.6  
1917.11   8000        0           0           -12400.6  
1977.11   8000        0           0           -12589.6  
2037.11   8000        0           0           -12800.6  
2097.11   8000        0           0           -13014.3  
2157.11   8000        0           0           -13232.4  
2217.11   8000        0           0           -13450.5  
2277.11   8000        0           0           -13675.2  
2337.11   8000        0           0           -13878.9  
2352.11   8000        0           0           -13927.2  
2372.16   8000        0           0           -13993.1  
2423.99   8000        0           0           -14159.8  
2483.99   8000        0           0           -14346.9  
2513.99   8000        0           0           -14434.2  
2573.99   8000        0           0           -14618.6  
2633.99   8000        0           0           -14812.5  
2663.99   8000        0           0           -14906.6  
2723.99   8000        0           0           -15072    
2753.99   8000        0           0           -15166.7  
2783.99   8000        0           0           -15262.6  
2798.99   8000        0           0           -15307    
2809.25   8000        0           0           -15334.4  
2838.15   8000        0           0           -15403.9  
2853.15   8000        0           0           -15440.7  
2873.72   8000        0           0           -15491.4  
2880.55   8000        0           0           -15508.4  
2890.36   8000        0           0           -15532.5  
2918.04   8000        0           0           -15597.4  
2948.04   8000        0           0           -15666.1  
3008.04   8000        0           0           -15803.3  
3038.04   8000        0           0           -15873    
3045.54   8000        0           0           -15891.4  
3066.9    8000        0           0           -15950.7  
3080.8    8000        0           0           -15989.3  
3118.79   8000        0           0           -16088.8  
3148.79   8000        0           0           -16155.3  
3163.79   8000        0           0           -16187.7  
3169.01   8000        0           0           -16199.2  
3176.61   8000        0           0           -16216.2  
3198.53   8000        0           0           -16268.1  
3227.65   8000        0           0           -16335.5  
3242.65   8000        0           0           -16367.9  
3283.61   8000        0           0           -16451.4  
3313.61   8000        0           0           -16511.5  
3343.61   8000        0           0           -16571    
3373.61   8000        0           0           -16629.9  
3433.61   8000        0           0           -16745.5  
3463.61   8000        0           0           -16802.7  
3493.61   8000        0           0           -16859.4  
3553.61   8000        0           0           -16970.3  
3583.61   8000        0           0           -17025.1  
3643.61   8000        0           0           -17132.6  
3673.61   8000        0           0           -17185.7  
3703.61   8000        0           0           -17238    
3763.61   8000        0           0           -17340.2  
3793.61   8000        0           0           -17390.6  
3853.61   8000        0           0           -17488.4  
3883.61   8000        0           0           -17536.5  
3913.61   8000        0           0           -17584.2  
3973.61   8000        0           0           -17677    
4003.61   8000        0           0           -17722.9  
4063.61   8000        0           0           -17812.5  
4123.61   8000        0           0           -17899.2  
4183.61   8000        0           0           -17983.7  
4243.61   8000        0           0           -18066    
4303.61   8000        0           0           -18145.6  
4363.61   8000        0           0           -18222.2  
4393.61   8000        0           0           -18259.8  
4408.61   8000        0           0           -18278.4  
4448.65   8000        0           0           -18327    
4508.65   8000        0           0           -18396.8  
4568.65   8000        0           0           -18463.3  
4628.65   8000        0           0           -18526.5  
4688.65   8000        0           0           -18587.2  
4718.65   8000        0           0           -18616.9  
4726.12   8000        0           0           -18624.3  
4746.19   8000        0           0           -18643.8  
4790.53   8000        0           0           -18685.5  
4850.53   8000        0           0           -18739.8  
4880.53   8000        0           0           -18766.3  
4895.03   8000        0           0           -18779    
4929.6    8000        0           0           -18808.4  
4976.32   8000        0           0           -18846.9  
5036.32   8000        0           0           -18894.8  
5096.32   8000        0           0           -18941    
5156.32   8000        0           0           -18985.4  
5216.32   8000        0           0           -19027.9  
5276.32   8000        0           0           -19068.2  
5336.32   8000        0           0           -19106.3  
5396.32   8000        0           0           -19142.2  
5456.32   8000        0           0           -19175.8  
5516.32   8000        0           0           -19206.9  
5576.32   8000        0           0           -19235.6  
5636.32   8000        0           0           -19262.3  
5696.32   8000        0           0           -19287.1  
5756.32   8000        0           0           -19310.9  
5816.32   8000        0           0           -19333.6  
5876.32   8000        0           0           -19355.4  
5936.32   8000        0           0           -19376.3  
5996.32   8000        0           0           -19396.1  
6056.32   8000        0           0           -19414.7  
6116.32   8000        0           0           -19432    
6176.32   8000        0           0           -19448.2  
6236.32   8000        0           0           -19463.3  
6296.32   8000        0           0           -19477.3  
6356.32   8000        0           0           -19489.8  
6416.32   8000        0           0           -19500.7  
6476.32   8000        0           0           -19509.8  
6536.32   8000        0           0           -19517.2  
6596.32   8000        0           0           -19522.9  
6656.32   8000        0           0           -19527.1  
6716.32   8000        0           0           -19529.8  
6776.32   8000        0           0           -19531.1  
6836.32   8000        0           0           -19531.5  
6896.32   8000        0           0           -19530.9  
6956.32   8000        0           0           -19529.6  
7016.32   8000        0           0           -19527.8  
7076.32   8000        0           0           -19525.4  
7136.32   8000        0           0           -19522.6  
7196.32   8000        0           0           -19519.3  
7256.32   8000        0           0           -19515.5  
7316.32   8000        0           0           -19511.2  
7376.32   8000        0           0           -19506.2  
7436.32   8000        0           0           -19500.2  
7496.32   8000        0           0           -19493.3  
7556.32   8000        0           0           -19485.9  
7616.32   8000        0           0           -19477.4  
7676.32   8000        0           0           -19467.4  
7736.32   8000        0           0           -19456.7  
7796.32   8000        0           0           -19445    
7856.32   8000        0           0           -19432.6  
7916.32   8000        0           0           -19419.4  
7976.32   8000        0           0           -19405.6  
8036.32   8000        0           0           -19391.3  
8096.32   8000        0           0           -19376.4  
8156.32   8000        0           0           -19360.9  
8216.32   8000        0           0           -19344.9  
8276.32   8000        0           0           -19328.2  
8336.32   8000        0           0           -19310.8  
8396.32   8000        0           0           -19292.7  
8456.32   8000        0           0           -19273.9  
8516.32   8000        0           0           -19254.2  
8576.32   8000        0           0           -19233.6  
8636.32   8000        0           0           -19211.8  
8696.32   8000        0           0           -19189.2  
8756.32   8000        0           0           -19165.5  
8816.32   8000        0           0           -19139.3  
8876.32   8000        0           0           -19112    
8936.32   8000        0           0           -19083    
8996.32   8000        0           0           -19052.5  
9056.32   8000        0           0           -19021.8  
9116.32   8000        0           0           -18990.2  
9176.32   8000        0           0           -18957.8  
9236.32   8000        0           0           -18924.7  
9296.32   8000        0           0           -18891.2  
9356.32   8000        0           0           -18857.8  
9416.32   8000        0           0           -18824.5  
9476.32   8000        0           0           -18791.2  
9536.32   8000        0           0           -18757.9  
9596.32   8000        0           0           -18724.2  
9656.32   8000        0           0           -18690.2  
9716.32   8000        0           0           -18654.3  
9776.32   8000        0           0           -18617.3  
9836.32   8000        0           0           -18578.7  
9896.32   8000        0           0           -18539.4  
9956.32   8000        0           0           -18500.1  
10016.3   8000        0           0           -18460.4  
10076.3   8000        0           0           -18419.8  
10136.3   8000        0           0           -18378.2  
10196.3   8000        0           0           -18335.4  
10256.3   8000        0           0           -18291.3  
10316.3   8000        0           0           -18246    
10376.3   8000        0           0           -18199.6  
10436.3   8000        0           0           -18152.2  
10496.3   8000        0           0           -18103.8  
10556.3   8000        0           0           -18054.4  
10616.3   8000        0           0           -18003.3  
10676.3   8000        0           0           -17949.4  
10706.3   8000        0           0           -17921.2  
10766.3   8000        0           0           -17864.5  
10826.3   8000        0           0           -17808.2  
10886.3   8000        0           0           -17752.6  
10946.3   8000        0           0           -17696    
11006.3   8000        0           0           -17637.1  
11066.3   8000        0           0           -17576.5  
11126.3   8000        0           0           -17516.6  
11186.3   8000        0           0           -17457.3  
11246.3   8000        0           0           -17398.3  
11306.3   8000        0           0           -17339.3  
11366.3   8000        0           0           -17280.3  
11426.3   8000        0           0           -17220.1  
11486.3   8000        0           0           -17158.3  
11546.3   8000        0           0           -17093.6  
11606.3   8000        0           0           -17024.9  
11666.3   8000        0           0           -16953.3  
11726.3   8000        0           0           -16880.5  
11786.3   8000        0           0           -16806.2  
11846.3   8000        0           0           -16732.4  
11906.3   8000        0           0           -16658    
11966.3   8000        0           0           -16582.3  
12026.3   8000        0           0           -16501.4  
12086.3   8000        0           0           -16419.1  
12146.3   8000        0           0           -16336.2  
12206.3   8000        0           0           -16252.2  
12266.3   8000        0           0           -16165.3  
12326.3   8000        0           0           -16077.8  
12386.3   8000        0           0           -15993.3  
12446.3   8000        0           0           -15909.1  
12506.3   8000        0           0           -15827.2  
12566.3   8000        0           0           -15740.2  
12626.3   8000        0           0           -15630.5  
12686.3   8000        0           0           -15542.1  
12701.3   8000        0           0           -15523.1  
12722.2   8000        0           0           -15509.5  
12736.3   8000        0           0           -15510.4  
12756.1   8000        0           0           -15579.6  
12767.2   8000        0           0           -15698.8  
