Results for well: RES1_PROD.out in the reservoir: RES1_PROD.out

  t       BHP	     q(Gas)       q(Oil)    q(Water)
(days)   (psia)    (MSCF/day)   (STB/day)  (STB/day)
0         4320        0           0           0         
1         2895.32     25400       20000       1.51014e-008
2         2773.86     25400       20000       2.42423e-008
3.15013   2681.57     25400       20000       3.10853e-008
4.85457   2592.28     25400       20000       3.76225e-008
7.42359   2504.75     25400       20000       4.39532e-008
11.3351   2418.26     25400       20000       5.01326e-008
17.3277   2351.49     25208.855   20000       5.45053e-008
26.5916   2278.17     24783.915   20000       5.89178e-008
41.7335   2177.43     24836.273   20000       6.50136e-008
66.4501   2054.76     24942.268   20000       7.26213e-008
102.895   1933.84     24428.149   20000       8.03516e-008
155.513   1792.91     24012.671   20000       8.9506e-008
215.513   1440.41     28534.196   20000       7.24922e-005
275.513   1016.39     33391.964   20000       0.000223133
305.148   1016.39     32449.008   19133       0.000254606
330.195   1016.39     32039.333   18571.1     0.000271775
356.398   1016.39     31755.815   18016.9     0.000286833
385.023   1016.39     31528.976   17490.7     0.000300269
415.023   1016.39     31366.378   17016       0.000311611
475.023   1016.39     31132.907   16257.8     0.000328864
535.023   1016.39     30948.071   15642.1     0.000342302
565.023   1016.39     30872.572   15365       0.000348113
568.773   1016.39     30863.346   15331       0.000348819
579.649   1016.39     30839.115   15235.4     0.000350779
609.165   1016.39     30799.317   14988.2     0.000355568
669.165   1016.39     30827.671   14502.4     0.000363747
729.165   1016.39     31047.572   14028.6     0.000371018
789.165   1016.39     31731.672   13570.1     0.00037897
849.165   1016.39     32452.388   13116.5     0.000386328
909.165   1016.39     33271.363   12648       0.000393257
969.165   1016.39     34233.058   12160.4     0.000399638
1029.16   1016.39     35513.239   11647.8     0.000404729
1089.16   1016.39     36932.1     11142       0.00040882
1104.16   1016.39     37289.933   11015.5     0.000409813
1114.19   1016.39     37530.917   10930.5     0.000410471
1141.94   1016.39     38149.787   10716.2     0.000412066
1201.94   1016.39     39537.993   10258.2     0.0004151 
1261.94   1016.39     41025.952   9778.7      0.000418039
1321.94   1016.39     42678.848   9305.64     0.000420018
1381.94   1016.39     44311.597   8845.22     0.000421801
1441.94   1016.39     45920.748   8372.98     0.000423894
1501.94   1016.39     47488.025   7899.24     0.00042616
1531.94   1016.39     48518.378   7645.08     0.000426527
1591.94   1016.39     50640.953   7125.02     0.00042721
1606.94   1016.39     51153.513   6996.82     0.000427424
1627.26   1016.39     51813.18    6829.38     0.000427745
1633.91   1016.39     52023.959   6775.2      0.00042786
1652.95   1016.39     52597.164   6625.02     0.000428226
1677.11   1016.39     53278.829   6440.27     0.000428774
1737.11   1016.39     55542.838   6045.44     0.000431909
1797.11   1016.39     57934.79    5687.73     0.000436467
1857.11   1016.39     59914.861   5341.68     0.00044153
1917.11   1016.39     61556.918   5008.57     0.000446768
1977.11   1016.39     63692.919   4645.98     0.000451286
2037.11   1016.39     65561.971   4286.52     0.000455995
2097.11   1016.39     66751.252   3950.82     0.000461068
2157.11   1016.39     66732.767   3690.59     0.00046627
2217.11   1016.39     65880.385   3487.07     0.000471144
2277.11   1016.39     64648.371   3312.48     0.000475368
2337.11   1016.39     63188.072   3155.32     0.000478867
2352.11   1016.39     62807.473   3117.57     0.000479617
2372.16   1016.39     62278.91    3068.71     0.000480544
2423.99   1016.39     60827.268   2951.43     0.000482517
2483.99   1016.39     59059.599   2826.97     0.000484034
2513.99   1016.39     58149.43    2766.88     0.000484491
2573.99   1016.39     56266.925   2654.3      0.000484787
2633.99   1016.39     54372.31    2550.81     0.000484279
2663.99   1016.39     53439.401   2501.27     0.00048374
2723.99   1016.39     51631.133   2407.51     0.000482158
2753.99   1016.39     50740.232   2362.98     0.000481123
2783.99   1016.39     49864.44    2319.96     0.000479942
2798.99   1016.39     49436.627   2299.17     0.000479296
2809.25   1016.39     49149.975   2285.32     0.000478832
2838.15   1016.39     48355.244   2246.79     0.000477442
2853.15   1016.39     47946.566   2227        0.000476669
2873.72   1016.39     47391.194   2200.06     0.000475553
2880.55   1016.39     47207.644   2191.18     0.000475169
2890.36   1016.39     46944.858   2178.44     0.000474603
2918.04   1016.39     46210.017   2142.8      0.000472931
2948.04   1016.39     45422.425   2104.75     0.000470994
3008.04   1016.39     43980.202   2027.38     0.000466737
3038.04   1016.39     43268.328   1990.24     0.00046444
3045.54   1016.39     43090.356   1981.12     0.000463848
3066.9    1016.39     42584.697   1955.9      0.000462141
3080.8    1016.39     42256.924   1939.8      0.000461006
3118.79   1016.39     41388.288   1898.01     0.000457885
3148.79   1016.39     40727.323   1865.88     0.000455361
3163.79   1016.39     40403.141   1850.09     0.000454077
3169.01   1016.39     40291.182   1844.64     0.000453627
3176.61   1016.39     40129.21    1836.76     0.00045297
3198.53   1016.39     39672.965   1814.53     0.000451079
3227.65   1016.39     39079.359   1785.43     0.000448522
3242.65   1016.39     38775.842   1770.47     0.000447172
3283.61   1016.39     37956.882   1729.94     0.000443388
3313.61   1016.39     37358.426   1700.26     0.000440496
3343.61   1016.39     36760.428   1670.69     0.000437502
3373.61   1016.39     36163.97    1641.43     0.000434422
3433.61   1016.39     34997.614   1585.6      0.000428161
