Results for well: RES1_INJ.out in the reservoir: RES1_INJ.out

  t       BHP	     q(Gas)       q(Oil)    q(Water)
(days)   (psia)    (MSCF/day)   (STB/day)  (STB/day)
0         8000        0           0           0         
1         8000        0           0           -52732.6  
2         8000        0           0           -41480.3  
3.15013   8000        0           0           -33082.6  
4.85457   8000        0           0           -24633.5  
7.42359   8000        0           0           -16879.4  
11.3351   8000        0           0           -11659.6  
17.3277   8000        0           0           -8020.69  
26.5916   8000        0           0           -6109.6   
41.7335   8000        0           0           -5909.51  
66.4501   8000        0           0           -5743.95  
102.895   8000        0           0           -5916.28  
155.513   8000        0           0           -7142.82  
215.513   8000        0           0           -7998.13  
275.513   8000        0           0           -8534.32  
334.782   8000        0           0           -8790.29  
394.782   8000        0           0           -9164.48  
454.782   8000        0           0           -9431.77  
514.782   8000        0           0           -9595.06  
574.782   8000        0           0           -9726.09  
634.782   8000        0           0           -9730.43  
694.782   8000        0           0           -9592.28  
754.782   8000        0           0           -9492.8   
814.782   8000        0           0           -9541.2   
874.782   8000        0           0           -9623.52  
934.782   8000        0           0           -9727.74  
994.782   8000        0           0           -9873.11  
1054.78   8000        0           0           -9994     
1114.78   8000        0           0           -10079.9  
1174.78   8000        0           0           -10176.2  
1234.78   8000        0           0           -10323.8  
1294.78   8000        0           0           -10465.6  
1354.78   8000        0           0           -10602.1  
1414.78   8000        0           0           -10780.8  
1474.78   8000        0           0           -10975.4  
1534.78   8000        0           0           -11169.2  
1594.78   8000        0           0           -11370.1  
1654.78   8000        0           0           -11586.4  
1714.78   8000        0           0           -11795.9  
1774.78   8000        0           0           -11989.4  
1834.78   8000        0           0           -12192.4  
1894.78   8000        0           0           -12403.1  
1954.78   8000        0           0           -12610.6  
2014.78   8000        0           0           -12823    
2074.78   8000        0           0           -13046.8  
2134.78   8000        0           0           -13270.5  
2194.78   8000        0           0           -13503.5  
2254.78   8000        0           0           -13746.8  
2314.78   8000        0           0           -13990.8  
2374.78   8000        0           0           -14221.2  
2434.78   8000        0           0           -14437.6  
2494.78   8000        0           0           -14637.4  
2554.78   8000        0           0           -14817.9  
2614.78   8000        0           0           -14993.5  
2674.78   8000        0           0           -15173.9  
2734.78   8000        0           0           -15357.6  
2794.78   8000        0           0           -15542.7  
2854.78   8000        0           0           -15726.4  
2914.78   8000        0           0           -15906    
2974.78   8000        0           0           -16080.4  
3034.78   8000        0           0           -16247.9  
3094.78   8000        0           0           -16408    
3154.78   8000        0           0           -16565.8  
3214.78   8000        0           0           -16721    
3274.78   8000        0           0           -16868.6  
3334.78   8000        0           0           -17006.5  
3394.78   8000        0           0           -17134.6  
3454.78   8000        0           0           -17256.4  
3514.78   8000        0           0           -17374.6  
3574.78   8000        0           0           -17490    
3634.78   8000        0           0           -17603.3  
3694.78   8000        0           0           -17715.5  
3754.78   8000        0           0           -17826.7  
3814.78   8000        0           0           -17937.9  
3874.78   8000        0           0           -18049.4  
3934.78   8000        0           0           -18160.9  
3994.78   8000        0           0           -18271.4  
4054.78   8000        0           0           -18380.2  
4114.78   8000        0           0           -18487.5  
4174.78   8000        0           0           -18590.6  
4234.78   8000        0           0           -18688.8  
4294.78   8000        0           0           -18782.9  
4354.78   8000        0           0           -18873.8  
4414.78   8000        0           0           -18961.8  
4474.78   8000        0           0           -19047.5  
4534.78   8000        0           0           -19131    
4594.78   8000        0           0           -19212.6  
4654.78   8000        0           0           -19292.6  
4714.78   8000        0           0           -19370.9  
4774.78   8000        0           0           -19447.4  
4834.78   8000        0           0           -19522.3  
4894.78   8000        0           0           -19595.2  
4954.78   8000        0           0           -19666    
5014.78   8000        0           0           -19734.9  
5074.78   8000        0           0           -19801.9  
5134.78   8000        0           0           -19867.3  
5194.78   8000        0           0           -19931.2  
5254.78   8000        0           0           -19993.6  
5314.78   8000        0           0           -20054.7  
5374.78   8000        0           0           -20114.4  
5434.78   8000        0           0           -20172.6  
5494.78   8000        0           0           -20229.4  
5554.78   8000        0           0           -20285.4  
5614.78   8000        0           0           -20340.7  
5674.78   8000        0           0           -20395.3  
5734.78   8000        0           0           -20448.7  
5794.78   8000        0           0           -20500.9  
5854.78   8000        0           0           -20551.9  
5914.78   8000        0           0           -20601.3  
5974.78   8000        0           0           -20648.7  
6034.78   8000        0           0           -20694.2  
6094.78   8000        0           0           -20737.4  
6154.78   8000        0           0           -20778.7  
6214.78   8000        0           0           -20818.8  
6274.78   8000        0           0           -20857    
6334.78   8000        0           0           -20893.2  
6394.78   8000        0           0           -20928    
6454.78   8000        0           0           -20961.6  
6514.78   8000        0           0           -20993.8  
6574.78   8000        0           0           -21024.9  
6634.78   8000        0           0           -21054.7  
6694.78   8000        0           0           -21083.5  
6754.78   8000        0           0           -21111.2  
6814.78   8000        0           0           -21137.8  
6874.78   8000        0           0           -21163.4  
6934.78   8000        0           0           -21187.8  
6994.78   8000        0           0           -21211.1  
7054.78   8000        0           0           -21233.1  
7114.78   8000        0           0           -21253.8  
7174.78   8000        0           0           -21272.9  
7234.78   8000        0           0           -21290.3  
7294.78   8000        0           0           -21306    
7354.78   8000        0           0           -21319.9  
7414.78   8000        0           0           -21332.2  
7474.78   8000        0           0           -21342.9  
7534.78   8000        0           0           -21351.9  
7594.78   8000        0           0           -21359.5  
7654.78   8000        0           0           -21365.6  
7714.78   8000        0           0           -21370.2  
7774.78   8000        0           0           -21373.2  
7834.78   8000        0           0           -21374.6  
7894.78   8000        0           0           -21374.3  
7954.78   8000        0           0           -21372.3  
8014.78   8000        0           0           -21368.6  
8074.78   8000        0           0           -21363.2  
8134.78   8000        0           0           -21355.9  
8194.78   8000        0           0           -21347.2  
8254.78   8000        0           0           -21337    
8314.78   8000        0           0           -21325.4  
8374.78   8000        0           0           -21312.3  
8434.78   8000        0           0           -21297.4  
8494.78   8000        0           0           -21280.9  
8554.78   8000        0           0           -21263.1  
8614.78   8000        0           0           -21243.9  
8674.78   8000        0           0           -21223.2  
8734.78   8000        0           0           -21200.9  
8794.78   8000        0           0           -21177.2  
8854.78   8000        0           0           -21152    
8914.78   8000        0           0           -21125.4  
8974.78   8000        0           0           -21097.8  
9034.78   8000        0           0           -21069.3  
9094.78   8000        0           0           -21040    
9154.78   8000        0           0           -21010    
9214.78   8000        0           0           -20979.3  
9274.78   8000        0           0           -20947.6  
9334.78   8000        0           0           -20914.6  
9394.78   8000        0           0           -20880.2  
9454.78   8000        0           0           -20844.5  
9484.78   8000        0           0           -20826.3  
9544.78   8000        0           0           -20788.3  
9604.78   8000        0           0           -20747.5  
9664.78   8000        0           0           -20705    
9724.78   8000        0           0           -20660.8  
9784.78   8000        0           0           -20616.1  
9844.78   8000        0           0           -20570.5  
9904.78   8000        0           0           -20524    
9964.78   8000        0           0           -20476.3  
10024.8   8000        0           0           -20428.2  
10084.8   8000        0           0           -20379.9  
10144.8   8000        0           0           -20331.6  
10204.8   8000        0           0           -20283.2  
10264.8   8000        0           0           -20234.5  
10324.8   8000        0           0           -20185.4  
10384.8   8000        0           0           -20135.9  
10444.8   8000        0           0           -20086.4  
10474.8   8000        0           0           -20060.2  
10534.8   8000        0           0           -20008.4  
10594.8   8000        0           0           -19955.6  
10624.8   8000        0           0           -19928.8  
10684.8   8000        0           0           -19876.1  
10744.8   8000        0           0           -19823    
10774.8   8000        0           0           -19796.3  
10834.8   8000        0           0           -19742.5  
10894.8   8000        0           0           -19691.3  
10954.8   8000        0           0           -19640.1  
11014.8   8000        0           0           -19588.3  
11074.8   8000        0           0           -19536.2  
11134.8   8000        0           0           -19483.8  
11194.8   8000        0           0           -19430.4  
11254.8   8000        0           0           -19376.6  
11314.8   8000        0           0           -19323    
11374.8   8000        0           0           -19271.2  
11434.8   8000        0           0           -19221.7  
11494.8   8000        0           0           -19174.1  
11554.8   8000        0           0           -19128.4  
11614.8   8000        0           0           -19084.6  
11674.8   8000        0           0           -19039.5  
11734.8   8000        0           0           -18992.7  
11794.8   8000        0           0           -18945.3  
11854.8   8000        0           0           -18897.5  
11914.8   8000        0           0           -18850.4  
11974.8   8000        0           0           -18804.1  
12034.8   8000        0           0           -18759.1  
12094.8   8000        0           0           -18715.7  
12154.8   8000        0           0           -18672.4  
12214.8   8000        0           0           -18630.8  
12274.8   8000        0           0           -18590.8  
12334.8   8000        0           0           -18552.3  
12394.8   8000        0           0           -18516.1  
12424.8   8000        0           0           -18497.8  
12484.8   8000        0           0           -18457.5  
12514.8   8000        0           0           -18436.7  
12544.8   8000        0           0           -18415.8  
12604.8   8000        0           0           -18374.3  
12664.8   8000        0           0           -18334.6  
12724.8   8000        0           0           -18296    
12784.8   8000        0           0           -18258.9  
12844.8   8000        0           0           -18224.4  
12904.8   8000        0           0           -18191.6  
12964.8   8000        0           0           -18160.7  
12994.8   8000        0           0           -18145.8  
13054.8   8000        0           0           -18117.7  
13114.8   8000        0           0           -18091.4  
13129.8   8000        0           0           -18084.9  
13150.4   8000        0           0           -18075.4  
13198     8000        0           0           -18047.7  
13205.5   8000        0           0           -18043.1  
13208.2   8000        0           0           -18041.5  
13209.2   8000        0           0           -18040.9  
13210     8000        0           0           -18040.4  
13210.1   8000        0           0           -18040.3  
13210.2   8000        0           0           -18040.3  
13210.2   8000        0           0           -18040.3  
